DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2008-10-29,30-207,GSW,HOME,NOH,L (-5),1,48:00,.525,.500,2.2,5.6,3.7,18.5,2.1,0.0,16.8,27.3,97,116,13.3,-2.5,Stephen Jackson
2008-10-31,30-209,GSW,AWAY,TOR,L (-4),1,44:51,.455,.450,0.0,23.6,10.1,17.5,1.2,0.0,19.3,25.4,90,116,6.6,-6.6,Stephen Jackson
2008-11-01,30-210,GSW,AWAY,NJN,W (+8),1,40:54,.576,.531,5.5,8.2,6.8,39.5,1.2,1.9,13.1,23.5,121,106,20.0,8.6,Stephen Jackson
2008-11-03,30-212,GSW,AWAY,MEM,L (-11),1,43:58,.373,.333,4.1,5.2,4.6,20.6,1.2,1.6,18.0,26.5,76,102,5.3,-3.5,Stephen Jackson
2008-11-05,30-214,GSW,HOME,DEN,W (+10),1,43:35,.523,.386,2.2,5.1,3.5,23.2,1.1,0.0,15.3,31.1,106,108,17.0,-1.8,Stephen Jackson
2008-11-07,30-216,GSW,HOME,MEM,L (-5),1,44:02,.505,.429,4.3,2.4,3.4,16.6,1.1,1.5,7.0,27.2,107,118,17.3,0.0,Stephen Jackson
2008-11-09,30-218,GSW,AWAY,SAC,L (-17),1,33:00,.528,.458,2.8,3.4,3.1,27.5,1.4,0.0,12.3,19.2,111,119,10.8,-1.8,Stephen Jackson
2008-11-11,30-220,GSW,HOME,MIN,W (+3),1,48:17,.623,.571,0.0,5.7,3.4,21.2,3.2,1.3,14.2,26.7,119,107,23.0,5.6,Stephen Jackson
2008-11-13,30-222,GSW,HOME,DET,L (-5),1,45:54,.347,.289,1.9,9.1,5.2,29.6,0.0,0.0,12.2,21.2,84,111,7.3,-5.1,Stephen Jackson
2008-11-15,30-224,GSW,AWAY,LAC,W (+18),1,41:53,.462,.395,2.9,7.2,5.2,28.7,2.4,0.0,12.2,24.2,110,107,16.7,0.4,Stephen Jackson
