DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-10-31,21-269,TOR,HOME,IND,L (-2),0,6:24,.000,.000,0.0,20.8,8.5,0.0,0.0,0.0,0.0,13.7,0,106,-1.1,-18.2,Terrence Ross
2012-11-04,21-273,TOR,HOME,MIN,W (+19),0,7:13,.250,.250,0.0,21.5,8.9,19.9,0.0,0.0,33.3,36.8,46,98,-2.6,-32.1,Terrence Ross
2012-11-06,21-275,TOR,AWAY,OKC,L (-20),0,13:54,.714,.714,0.0,19.2,8.3,21.3,3.5,0.0,12.5,24.7,115,107,7.2,11.8,Terrence Ross
2012-11-07,21-276,TOR,AWAY,DAL,L (-5),0,7:47,.333,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,71,128,-0.5,-17.0,Terrence Ross
2012-11-10,21-279,TOR,HOME,PHI,L (-10),0,12:38,.600,.600,0.0,10.3,4.7,17.0,4.3,0.0,16.7,23.3,95,101,3.5,4.4,Terrence Ross
2012-11-12,21-281,TOR,HOME,UTA,L (-7),0,3:02,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,131,-0.7,-22.8,Terrence Ross
2012-11-13,21-282,TOR,AWAY,IND,W (+2),0,12:55,.700,.700,0.0,0.0,0.0,0.0,4.5,0.0,0.0,20.1,130,89,5.3,15.0,Terrence Ross
2012-11-17,21-286,TOR,AWAY,BOS,L (-18),0,23:56,.776,.833,0.0,24.3,11.1,9.1,2.3,3.3,31.8,19.2,86,116,6.8,1.6,Terrence Ross
2012-11-18,21-287,TOR,HOME,ORL,W (+11),0,4:15,.000,.000,0.0,29.7,14.1,0.0,0.0,0.0,0.0,11.3,0,97,-0.4,-15.0,Terrence Ross
2012-11-21,21-290,TOR,AWAY,CHA,L (-1),0,14:57,.611,.611,8.7,17.8,13.2,15.3,3.4,4.8,0.0,28.1,127,98,8.8,8.5,Terrence Ross
2012-11-23,21-292,TOR,AWAY,DET,L (-1),0,16:58,.000,.000,0.0,13.2,6.8,0.0,3.2,0.0,16.7,17.0,0,101,-3.7,-20.5,Terrence Ross
2012-11-25,21-294,TOR,HOME,SAS,L (-5),0,20:43,.375,.375,4.5,11.0,7.4,7.5,0.0,0.0,0.0,8.4,100,105,2.2,-2.1,Terrence Ross
2012-11-27,21-296,TOR,AWAY,HOU,L (-16),0,35:44,.559,.559,6.1,10.1,8.0,4.5,0.0,0.0,5.6,22.5,111,129,11.9,-2.8,Terrence Ross
2012-11-28,21-297,TOR,AWAY,MEM,L (-21),0,30:17,.288,.308,3.9,4.2,4.0,14.0,5.2,0.0,12.6,24.8,60,109,1.5,-5.5,Terrence Ross
2012-11-30,21-299,TOR,HOME,PHO,W (+4),0,14:12,.500,.500,0.0,9.7,4.5,0.0,7.3,0.0,0.0,22.8,101,94,4.8,1.7,Terrence Ross
