DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2021-02-25,23-155,BRK,HOME,ORL,W (+37),0,6:22,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.8,0,95,-1.8,-17.1,Tyler Cook
2021-02-27,23-157,BRK,HOME,DAL,L (-17),0,7:37,.333,.333,14.3,16.2,15.2,43.9,0.0,0.0,0.0,16.7,117,126,2.7,3.0,Tyler Cook
2021-03-01,23-159,BRK,AWAY,SAS,W (+11),0,0:14,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,0.0,-10.4,Tyler Cook
2021-03-03,23-161,BRK,AWAY,HOU,W (+18),0,2:22,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,0.0,-6.2,Tyler Cook
2021-03-19,23-177,DET,AWAY,HOU,W (+13),0,9:06,.500,.500,24.5,36.0,30.3,0.0,0.0,0.0,0.0,9.6,141,104,3.3,-1.9,Tyler Cook
2021-03-21,23-179,DET,HOME,CHI,L (-14),0,9:03,,,10.4,14.0,11.9,0.0,0.0,0.0,100.0,5.0,48,113,-0.4,-14.0,Tyler Cook
2021-03-24,23-182,DET,AWAY,IND,L (-5),0,8:17,.644,.667,0.0,24.7,14.9,0.0,0.0,0.0,0.0,21.1,124,120,3.5,-4.5,Tyler Cook
2021-03-26,23-184,DET,HOME,BRK,L (-2),0,11:30,.500,.500,10.4,27.8,19.6,0.0,0.0,0.0,0.0,8.1,123,121,2.6,-3.6,Tyler Cook
2021-03-27,23-185,DET,AWAY,WAS,L (-14),0,16:01,.500,.500,6.2,7.0,6.6,0.0,2.9,0.0,33.3,16.0,68,103,1.2,-8.8,Tyler Cook
2021-03-29,23-187,DET,HOME,TOR,W (+14),0,13:19,.452,.500,9.7,32.0,22.0,21.0,3.7,0.0,23.1,14.4,102,98,3.7,-0.3,Tyler Cook
2021-03-31,23-189,DET,HOME,POR,L (-23),0,15:20,.902,1.000,7.5,16.9,11.9,10.2,0.0,0.0,0.0,11.1,185,130,6.1,0.4,Tyler Cook
2021-04-01,23-190,DET,HOME,WAS,W (+29),0,23:26,.400,.400,8.9,4.9,7.0,0.0,0.0,0.0,44.4,15.8,55,94,-1.8,-16.2,Tyler Cook
2021-04-03,23-192,DET,HOME,NYK,L (-44),0,5:03,.568,,0.0,25.0,10.9,0.0,0.0,0.0,0.0,8.0,123,141,0.9,-6.7,Tyler Cook
2021-04-05,23-194,DET,AWAY,OKC,W (+24),0,23:59,.654,.667,4.8,8.0,6.5,9.8,0.0,0.0,0.0,11.5,148,111,7.1,-4.9,Tyler Cook
2021-04-06,23-195,DET,AWAY,DEN,L (-15),0,12:00,1.017,1.000,0.0,11.1,5.4,12.5,8.5,0.0,0.0,13.4,212,127,9.1,16.2,Tyler Cook
2021-04-10,23-199,DET,AWAY,POR,L (-15),0,1:01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,0.0,-10.5,Tyler Cook
2021-04-16,23-205,DET,HOME,OKC,W (+6),0,20:51,.457,.429,8.7,16.2,12.6,0.0,0.0,0.0,18.6,20.1,84,102,3.7,-11.5,Tyler Cook
2021-04-17,23-206,DET,AWAY,WAS,L (-21),0,14:50,1.025,1.000,0.0,28.1,13.9,0.0,0.0,0.0,29.1,9.9,132,120,4.6,-1.6,Tyler Cook
2021-04-19,23-208,DET,HOME,CLE,W (+4),1,30:01,.505,.545,4.0,7.4,5.8,9.9,1.6,0.0,7.8,18.4,102,107,7.8,-3.9,Tyler Cook
2021-04-21,23-210,DET,AWAY,DAL,L (-10),0,6:05,1.000,1.000,20.2,17.2,18.6,24.6,0.0,0.0,50.0,14.9,121,132,2.0,-1.2,Tyler Cook
2021-04-22,23-211,DET,AWAY,SAS,L (-15),0,15:34,1.000,1.000,15.0,34.3,25.1,0.0,0.0,0.0,50.0,5.9,117,113,3.6,-2.9,Tyler Cook
2021-04-26,23-215,DET,HOME,ATL,W (+14),0,2:41,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,33.3,51.3,57,100,0.0,-22.7,Tyler Cook
