DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2022-10-19,21-085,UTA,HOME,DEN,W (+21),0,23:40,.785,1.000,11.3,38.6,26.0,6.4,2.0,0.0,11.6,15.2,138,96,12.6,6.8,Walker Kessler
2022-10-21,21-087,UTA,AWAY,MIN,W (+6),0,17:42,.694,.667,15.5,10.7,13.1,13.9,0.0,16.2,18.8,12.0,140,111,9.8,5.7,Walker Kessler
2022-10-23,21-089,UTA,AWAY,NOP,W (+1),0,22:16,.509,.500,31.0,16.6,24.1,13.3,0.0,6.3,0.0,13.0,144,114,10.7,2.4,Walker Kessler
2022-10-24,21-090,UTA,AWAY,HOU,L (-6),0,8:28,.000,.000,0.0,11.8,5.9,0.0,5.7,10.3,66.7,14.2,0,103,-2.3,-22.5,Walker Kessler
2022-10-26,21-092,UTA,HOME,HOU,W (+8),0,11:03,.725,.000,0.0,7.8,4.3,11.4,0.0,8.0,26.6,13.8,123,100,3.2,-2.3,Walker Kessler
2022-11-02,21-099,UTA,AWAY,DAL,L (-3),0,4:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,117,-0.4,-12.1,Walker Kessler
2022-11-04,21-101,UTA,AWAY,LAL,W (+14),0,10:36,.800,.800,29.5,10.8,20.6,0.0,0.0,15.9,0.0,19.6,175,114,9.9,12.9,Walker Kessler
2022-11-06,21-103,UTA,AWAY,LAC,W (+8),0,16:11,1.000,1.000,8.5,30.4,20.0,0.0,0.0,11.0,0.0,5.6,208,96,6.3,6.4,Walker Kessler
2022-11-07,21-104,UTA,HOME,LAL,W (+23),0,18:12,.667,.667,22.0,41.6,32.1,6.2,0.0,9.1,0.0,13.3,159,107,9.8,2.0,Walker Kessler
2022-11-09,21-106,UTA,AWAY,ATL,W (+6),0,16:20,.932,1.000,17.6,17.3,17.5,11.1,0.0,10.9,0.0,16.1,193,110,14.8,16.2,Walker Kessler
2022-11-12,21-109,UTA,AWAY,WAS,L (-9),0,15:18,.500,.500,6.7,23.0,14.3,0.0,0.0,0.0,0.0,5.7,120,123,2.2,-8.0,Walker Kessler
2022-11-13,21-110,UTA,AWAY,PHI,L (-7),0,11:58,.170,.200,40.9,40.1,40.6,0.0,0.0,20.1,25.4,26.1,54,90,2.5,-9.4,Walker Kessler
2022-11-15,21-112,UTA,HOME,NYK,L (-7),0,17:56,1.000,1.000,17.8,22.8,20.4,10.6,2.7,4.4,33.3,13.8,125,111,9.7,5.1,Walker Kessler
2022-11-18,21-115,UTA,HOME,PHO,W (+1),0,20:22,.129,.000,11.5,6.4,9.1,9.2,2.3,0.0,0.0,7.8,95,128,1.4,-7.8,Walker Kessler
2022-11-19,21-116,UTA,AWAY,POR,W (+5),0,10:40,1.000,1.000,20.5,32.9,26.5,15.8,0.0,0.0,0.0,11.8,210,113,7.7,11.8,Walker Kessler
2022-11-21,21-118,UTA,AWAY,LAC,L (-7),0,11:53,1.000,1.000,9.0,9.9,9.4,12.7,0.0,0.0,33.3,10.4,134,128,3.3,-3.0,Walker Kessler
2022-11-23,21-120,UTA,HOME,DET,L (-9),0,21:03,.868,1.000,12.3,29.2,21.0,0.0,0.0,17.5,41.0,10.5,106,114,6.4,-3.3,Walker Kessler
2022-11-25,21-122,UTA,AWAY,GSW,L (-11),0,20:44,1.031,1.000,9.6,10.8,10.2,0.0,0.0,12.4,0.0,7.6,216,128,11.2,4.4,Walker Kessler
2022-11-26,21-123,UTA,AWAY,PHO,L (-1),0,16:48,.798,1.000,7.5,17.1,13.0,0.0,0.0,0.0,0.0,5.3,173,124,3.1,-3.9,Walker Kessler
2022-11-28,21-125,UTA,HOME,CHI,L (-7),0,5:21,,,19.5,36.6,28.3,0.0,0.0,12.6,100.0,8.5,58,105,1.0,-6.6,Walker Kessler
2022-11-30,21-127,UTA,HOME,LAC,W (+13),0,21:52,.579,.667,0.0,17.6,10.3,0.0,0.0,13.9,18.8,10.5,92,110,4.7,-2.4,Walker Kessler
2022-12-02,21-129,UTA,HOME,IND,W (+20),0,24:56,.951,1.000,22.6,28.1,25.8,5.9,0.0,6.6,8.7,18.0,182,102,21.5,11.2,Walker Kessler
2022-12-03,21-130,UTA,HOME,POR,L (-5),0,16:31,1.000,1.000,12.4,37.9,25.0,0.0,0.0,14.5,0.0,10.6,206,106,10.9,8.8,Walker Kessler
2022-12-07,21-134,UTA,HOME,GSW,W (+1),1,23:59,.833,.833,21.6,35.6,29.3,5.6,0.0,17.9,14.3,12.5,157,107,14.6,6.2,Walker Kessler
2022-12-09,21-136,UTA,HOME,MIN,L (-10),1,21:24,.750,.750,13.5,26.4,18.7,0.0,2.3,0.0,20.0,10.1,131,117,6.5,-3.4,Walker Kessler
2022-12-10,21-137,UTA,AWAY,DEN,L (-5),0,22:04,.683,.667,10.1,34.3,21.5,0.0,0.0,10.9,0.0,14.8,149,113,11.5,4.0,Walker Kessler
2022-12-13,21-140,UTA,HOME,NOP,W (+21),0,23:18,.506,.500,26.3,37.5,32.3,0.0,0.0,9.4,0.0,17.6,132,84,14.1,4.3,Walker Kessler
2022-12-15,21-142,UTA,HOME,NOP,W (+3),0,28:19,.955,1.000,9.1,21.6,16.1,5.4,1.7,8.1,25.8,11.7,145,112,12.4,4.4,Walker Kessler
2022-12-17,21-144,UTA,AWAY,MIL,L (-26),0,14:24,1.000,1.000,7.2,18.0,12.0,10.3,0.0,6.4,0.0,6.5,212,132,6.1,4.1,Walker Kessler
2022-12-19,21-146,UTA,AWAY,CLE,L (-23),1,25:29,.814,1.000,6.7,31.4,14.1,7.1,1.9,8.6,12.9,12.5,138,118,11.0,4.2,Walker Kessler
2022-12-20,21-147,UTA,AWAY,DET,W (+15),1,27:11,.635,.714,15.4,17.7,16.4,4.6,0.0,6.3,11.3,13.8,131,113,10.2,-2.2,Walker Kessler
2022-12-22,21-149,UTA,HOME,WAS,W (+8),1,32:23,.761,.714,17.6,38.1,26.9,4.3,0.0,4.9,11.3,12.4,158,114,15.6,4.0,Walker Kessler
2022-12-26,21-153,UTA,AWAY,SAS,L (-4),1,21:05,.527,.500,8.9,13.0,10.6,0.0,0.0,0.0,0.0,12.1,125,123,4.2,-8.9,Walker Kessler
2022-12-28,21-155,UTA,AWAY,GSW,L (-5),0,20:09,.521,.500,14.0,14.3,14.2,7.4,0.0,17.0,0.0,12.0,131,105,8.6,3.2,Walker Kessler
2022-12-30,21-157,UTA,AWAY,SAC,L (-1),0,23:31,.935,1.000,5.8,35.7,21.8,5.7,0.0,0.0,14.5,12.7,155,124,10.8,2.6,Walker Kessler
2022-12-31,21-158,UTA,HOME,MIA,L (-3),0,30:21,.363,.333,22.1,22.1,22.1,0.0,1.6,9.5,12.7,10.7,107,119,8.5,-4.4,Walker Kessler
2023-01-03,21-161,UTA,HOME,SAC,L (-2),0,17:22,.773,.667,6.1,42.5,23.0,0.0,5.4,5.1,20.5,11.6,130,100,7.7,3.9,Walker Kessler
2023-01-05,21-163,UTA,AWAY,HOU,W (+17),0,17:16,.667,.667,12.6,11.8,12.2,8.0,2.8,11.1,0.0,15.1,150,110,10.1,4.2,Walker Kessler
2023-01-07,21-165,UTA,AWAY,CHI,L (-8),0,13:16,.667,.667,16.4,46.4,30.5,9.3,0.0,0.0,25.0,13.0,120,124,3.3,-8.2,Walker Kessler
2023-01-08,21-166,UTA,AWAY,MEM,L (-5),0,23:28,.714,.714,18.0,32.1,26.5,5.9,0.0,19.2,12.5,13.9,135,103,15.1,8.6,Walker Kessler
2023-01-10,21-168,UTA,HOME,CLE,W (+2),1,30:23,.333,.333,21.1,17.2,19.1,9.5,0.0,3.0,10.0,13.4,103,116,6.1,-5.0,Walker Kessler
2023-01-13,21-171,UTA,HOME,ORL,W (+4),1,26:51,.752,.833,27.2,6.7,16.3,0.0,3.4,20.9,18.8,15.3,134,89,18.8,10.6,Walker Kessler
2023-01-14,21-172,UTA,HOME,PHI,L (-1),1,31:48,1.008,1.000,11.9,28.9,21.3,0.0,1.6,6.0,11.8,11.6,178,115,18.7,8.5,Walker Kessler
2023-01-16,21-174,UTA,AWAY,MIN,W (+1),1,31:03,.678,.692,35.7,35.7,35.7,19.9,0.0,5.2,6.3,21.3,155,118,26.4,11.0,Walker Kessler
2023-01-18,21-176,UTA,HOME,LAC,W (+23),1,28:25,.658,.667,15.7,23.2,19.8,14.5,1.8,5.8,9.2,17.6,144,100,16.7,6.3,Walker Kessler
2023-01-20,21-178,UTA,HOME,BRK,L (-11),1,24:36,.205,.250,11.9,15.0,13.3,0.0,2.1,5.0,0.0,8.8,79,123,2.7,-9.6,Walker Kessler
2023-01-23,21-181,UTA,HOME,CHO,W (+18),1,22:28,.838,.833,21.4,22.3,21.9,0.0,0.0,0.0,20.5,18.4,141,102,10.7,-1.7,Walker Kessler
2023-01-25,21-183,UTA,AWAY,POR,L (-10),1,18:22,.615,.750,12.2,23.8,17.2,13.3,0.0,4.9,29.1,16.4,106,134,4.8,-6.8,Walker Kessler
2023-01-28,21-186,UTA,HOME,DAL,W (+8),1,25:03,.799,.857,10.4,40.1,26.3,13.9,0.0,28.2,0.0,15.5,170,94,19.3,16.1,Walker Kessler
2023-02-01,21-190,UTA,HOME,TOR,W (+3),1,29:54,.751,.800,28.1,18.4,22.3,5.2,1.6,12.9,8.1,17.6,155,116,23.8,9.4,Walker Kessler
2023-02-03,21-192,UTA,HOME,ATL,L (-7),1,17:41,.500,.500,5.3,21.3,13.3,0.0,5.5,4.7,33.3,7.1,80,101,3.4,-1.5,Walker Kessler
2023-02-06,21-195,UTA,HOME,DAL,L (-13),1,26:48,.689,.667,17.1,20.4,18.7,5.9,1.9,11.0,9.6,16.8,138,120,15.8,7.3,Walker Kessler
2023-02-08,21-197,UTA,HOME,MIN,L (-25),1,30:10,.656,.600,10.6,21.5,14.8,4.6,1.6,8.7,0.0,15.9,152,133,19.1,2.9,Walker Kessler
2023-02-10,21-199,UTA,AWAY,TOR,W (+6),1,32:26,.763,.833,14.8,16.1,15.5,4.6,0.0,0.0,0.0,19.1,156,114,21.6,5.4,Walker Kessler
2023-02-11,21-200,UTA,AWAY,NYK,L (-6),1,35:10,.667,.667,12.7,31.9,22.7,3.2,0.0,4.6,25.0,4.9,137,123,8.7,-2.2,Walker Kessler
2023-02-13,21-202,UTA,AWAY,IND,W (+6),1,19:12,1.000,1.000,0.0,29.1,16.0,0.0,5.0,8.8,40.0,11.0,97,99,6.4,1.8,Walker Kessler
2023-02-15,21-204,UTA,AWAY,MEM,L (-6),1,32:32,.536,.500,20.1,18.7,19.3,0.0,0.0,6.6,24.4,14.9,100,110,10.5,-3.3,Walker Kessler
2023-02-23,21-212,UTA,HOME,OKC,W (+1),1,37:01,.717,.875,11.2,32.9,23.0,7.6,0.0,13.4,0.0,5.3,162,96,17.1,8.6,Walker Kessler
2023-02-25,21-214,UTA,HOME,SAS,W (+16),1,27:01,.654,.667,7.6,35.5,22.0,9.9,1.7,14.1,0.0,10.3,150,85,15.9,8.9,Walker Kessler
2023-02-28,21-217,UTA,HOME,SAS,L (-8),1,32:35,.571,.571,17.7,28.2,22.8,12.2,0.0,4.5,0.0,10.7,141,98,13.6,1.5,Walker Kessler
2023-03-03,21-220,UTA,AWAY,OKC,L (-27),1,25:12,1.000,1.000,14.7,31.1,23.8,0.0,0.0,12.5,16.7,10.1,161,119,14.0,3.7,Walker Kessler
2023-03-05,21-222,UTA,AWAY,OKC,L (-10),1,31:37,.715,.727,14.1,24.0,18.7,0.0,0.0,15.2,14.4,18.2,125,123,17.0,1.1,Walker Kessler
2023-03-09,21-226,UTA,AWAY,ORL,W (+7),1,31:41,1.028,1.000,17.3,21.1,19.4,11.0,0.0,7.6,32.2,12.4,151,121,16.1,4.4,Walker Kessler
2023-03-11,21-228,UTA,AWAY,CHO,W (+8),1,31:47,.781,.800,23.2,23.7,23.5,4.5,0.0,7.8,8.4,14.6,158,108,21.8,7.7,Walker Kessler
2023-03-13,21-230,UTA,AWAY,MIA,L (-4),1,30:02,.717,.750,7.3,27.3,16.9,4.2,0.0,3.6,0.0,6.7,162,123,8.7,-2.0,Walker Kessler
2023-03-18,21-235,UTA,HOME,BOS,W (+1),1,34:10,.652,.714,21.6,19.2,20.5,4.0,0.0,11.4,0.0,11.4,159,119,17.3,1.2,Walker Kessler
2023-03-20,21-237,UTA,HOME,SAC,W (+8),1,30:02,.644,.667,7.8,19.2,14.1,8.1,0.0,17.8,11.4,12.7,129,108,12.5,1.3,Walker Kessler
2023-03-22,21-239,UTA,HOME,POR,L (-12),1,23:44,.546,.667,9.4,12.9,11.2,6.5,0.0,11.7,0.0,12.9,119,115,8.9,0.1,Walker Kessler
2023-03-24,21-241,UTA,HOME,MIL,L (-28),1,16:42,.509,.500,14.1,35.9,22.8,18.3,0.0,11.7,0.0,15.2,130,128,8.4,0.0,Walker Kessler
2023-03-25,21-242,UTA,AWAY,SAC,L (-8),1,33:48,.832,.875,14.6,20.7,18.0,10.5,1.5,2.7,5.1,24.5,159,120,29.6,11.4,Walker Kessler
2023-03-27,21-244,UTA,HOME,PHO,L (-14),1,29:55,.738,.800,3.9,20.4,13.4,6.4,1.7,17.3,0.0,17.7,147,106,21.6,14.6,Walker Kessler
2023-03-29,21-246,UTA,AWAY,SAS,W (+11),1,20:51,.533,.500,18.2,35.0,27.4,23.1,0.0,7.7,10.6,18.9,127,104,12.0,3.7,Walker Kessler
2023-03-31,21-248,UTA,AWAY,BOS,L (-8),1,33:51,.769,.769,15.8,14.5,15.1,8.9,0.0,9.5,13.3,17.7,142,116,21.0,6.8,Walker Kessler
2023-04-02,21-250,UTA,AWAY,BRK,L (-1),1,21:36,.510,.600,20.2,18.5,19.3,0.0,0.0,0.0,0.0,11.3,124,113,6.5,-3.2,Walker Kessler
