DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-17,24-017,MEM,AWAY,IND,L (-28),0,6:00,.833,.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,143,128,3.7,13.2,Wayne Selden
2018-10-19,24-019,MEM,HOME,ATL,W (+14),0,7:32,1.064,1.000,17.7,0.0,7.9,0.0,0.0,0.0,51.5,21.3,105,118,2.0,-8.6,Wayne Selden
2018-10-22,24-022,MEM,AWAY,UTA,W (+8),0,21:51,.444,.357,4.7,9.6,7.1,16.5,2.3,0.0,11.3,18.5,93,92,4.4,-1.2,Wayne Selden
2018-10-24,24-024,MEM,AWAY,SAC,L (-5),0,24:59,.650,.650,0.0,3.8,1.8,14.6,2.0,0.0,16.7,20.1,109,104,7.5,3.7,Wayne Selden
2018-10-27,24-027,MEM,HOME,PHO,W (+21),0,25:22,.829,.813,0.0,4.6,2.6,11.6,3.9,0.0,10.6,17.7,141,97,12.7,4.4,Wayne Selden
2018-10-30,24-030,MEM,HOME,WAS,W (+12),0,8:04,.375,.375,0.0,0.0,0.0,0.0,0.0,0.0,33.3,34.8,45,112,-1.4,-24.8,Wayne Selden
2018-11-02,24-033,MEM,AWAY,UTA,W (+10),0,15:28,.644,.833,0.0,0.0,0.0,9.8,0.0,0.0,0.0,11.9,127,119,2.0,-5.4,Wayne Selden
2018-11-04,24-035,MEM,AWAY,PHO,L (-2),0,9:17,1.500,1.500,0.0,19.9,7.7,0.0,0.0,0.0,33.3,15.2,139,119,3.9,5.8,Wayne Selden
2018-11-05,24-036,MEM,AWAY,GSW,L (-16),0,19:22,.389,.389,0.0,21.9,9.8,16.2,0.0,4.3,0.0,21.8,81,126,4.5,-6.9,Wayne Selden
2018-11-07,24-038,MEM,HOME,DEN,W (+2),0,14:37,.868,.750,0.0,8.0,4.3,12.3,0.0,0.0,0.0,9.7,185,107,4.2,4.4,Wayne Selden
2018-11-10,24-041,MEM,HOME,PHI,W (+6),0,17:04,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,111,108,0.5,-7.0,Wayne Selden
2018-11-12,24-043,MEM,HOME,UTA,L (-8),0,18:16,.615,.500,6.0,5.6,5.8,18.9,5.5,0.0,38.1,19.7,86,98,4.2,-0.2,Wayne Selden
2018-11-14,24-045,MEM,AWAY,MIL,W (+3),0,20:50,.533,.500,11.8,0.0,5.9,14.1,0.0,0.0,0.0,18.4,125,122,7.4,-1.8,Wayne Selden
2018-11-16,24-047,MEM,HOME,SAC,W (+8),0,29:44,.417,.417,3.8,0.0,2.0,9.2,0.0,3.4,0.0,17.8,99,113,6.0,-5.7,Wayne Selden
2018-11-18,24-049,MEM,AWAY,MIN,W (+13),0,10:23,.000,.000,0.0,10.8,5.0,0.0,0.0,0.0,25.0,17.6,0,102,-3.2,-25.5,Wayne Selden
2018-11-19,24-050,MEM,HOME,DAL,W (+10),0,16:25,.338,.250,0.0,6.2,3.3,8.6,3.1,0.0,40.3,21.7,46,97,-1.2,-16.5,Wayne Selden
2018-11-21,24-052,MEM,AWAY,SAS,W (+1),0,18:27,.145,.000,0.0,17.0,9.4,6.7,0.0,0.0,12.7,20.7,35,115,-2.0,-19.0,Wayne Selden
2018-11-23,24-054,MEM,AWAY,LAC,L (-5),0,13:54,.375,.375,8.3,7.8,8.0,0.0,0.0,5.4,0.0,26.3,79,106,2.9,-5.8,Wayne Selden
2018-11-25,24-056,MEM,HOME,NYK,L (-5),0,10:54,.500,.500,0.0,18.0,9.1,39.3,0.0,6.4,0.0,13.0,126,111,4.3,5.7,Wayne Selden
2018-11-27,24-058,MEM,HOME,TOR,L (-8),0,15:10,.357,.357,0.0,0.0,0.0,34.5,0.0,0.0,0.0,20.7,107,140,3.3,-5.4,Wayne Selden
2018-12-08,24-069,MEM,HOME,LAL,L (-23),0,20:53,.660,.625,14.7,10.0,12.4,51.3,4.8,4.0,13.4,32.0,125,112,16.4,16.9,Wayne Selden
2018-12-12,24-073,MEM,HOME,POR,W (+9),0,16:59,.255,.200,11.5,0.0,6.0,9.1,0.0,0.0,0.0,15.9,80,94,0.4,-9.8,Wayne Selden
2018-12-14,24-075,MEM,HOME,MIA,L (-3),0,10:55,.000,.000,0.0,0.0,0.0,0.0,5.0,0.0,0.0,17.4,0,114,-2.6,-22.6,Wayne Selden
