DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-19,23-303,ORL,HOME,CHO,L (-32),0,14:52,.417,.364,11.7,14.7,13.0,0.0,3.2,0.0,0.0,37.0,94,117,7.1,0.2,Wes Iwundu
2018-10-20,23-304,ORL,AWAY,PHI,L (-1),0,18:03,.000,.000,11.3,11.1,11.2,0.0,0.0,0.0,0.0,9.4,40,128,-1.6,-18.7,Wes Iwundu
2018-10-27,23-311,ORL,AWAY,MIL,L (-22),0,12:08,.592,.400,6.4,22.0,12.1,0.0,0.0,0.0,12.9,25.7,110,113,4.8,-2.3,Wes Iwundu
2018-11-02,23-317,ORL,HOME,LAC,L (-25),0,31:13,.396,.400,0.0,14.6,6.8,4.2,0.0,0.0,24.0,11.8,63,124,-0.2,-12.1,Wes Iwundu
2018-11-04,23-319,ORL,AWAY,SAS,W (+7),1,13:51,.205,.000,0.0,8.3,4.0,0.0,0.0,6.5,17.0,19.1,40,118,-1.6,-18.9,Wes Iwundu
2018-11-05,23-320,ORL,HOME,CLE,W (+2),1,12:55,.410,.250,0.0,9.8,4.5,0.0,0.0,0.0,0.0,16.7,93,113,1.5,-11.1,Wes Iwundu
2018-11-07,23-322,ORL,HOME,DET,L (-7),1,17:47,.667,.667,0.0,0.0,0.0,0.0,2.6,0.0,0.0,7.3,124,107,2.9,-3.6,Wes Iwundu
2018-11-09,23-324,ORL,HOME,WAS,W (+9),1,14:36,.515,.333,8.4,0.0,4.3,8.1,0.0,0.0,20.5,14.7,107,116,1.9,-9.0,Wes Iwundu
2018-11-11,23-326,ORL,AWAY,NYK,W (+26),1,31:38,.438,.438,3.0,19.3,11.5,7.7,0.0,2.5,20.0,13.3,82,89,4.3,-7.3,Wes Iwundu
2018-11-12,23-327,ORL,AWAY,WAS,L (-8),1,15:12,.901,1.000,0.0,9.6,4.2,37.7,0.0,0.0,0.0,13.2,185,129,8.3,12.8,Wes Iwundu
2018-11-14,23-329,ORL,HOME,PHI,W (+5),1,18:44,.935,.900,0.0,6.1,3.3,0.0,5.5,0.0,0.0,15.1,184,108,11.4,13.0,Wes Iwundu
2018-11-17,23-332,ORL,HOME,LAL,W (+13),1,20:03,.000,.000,0.0,0.0,0.0,4.8,0.0,8.0,33.3,6.2,23,115,-1.5,-8.3,Wes Iwundu
2018-11-18,23-333,ORL,HOME,NYK,W (+14),1,15:20,1.136,,9.8,7.0,8.1,13.0,0.0,0.0,0.0,2.5,236,125,4.4,2.8,Wes Iwundu
2018-11-20,23-335,ORL,HOME,TOR,L (-2),1,22:39,.735,.667,0.0,9.6,4.6,21.4,2.2,0.0,17.4,11.5,133,96,7.6,5.7,Wes Iwundu
2018-11-23,23-338,ORL,AWAY,DEN,L (-25),1,23:31,.375,.375,0.0,13.6,7.0,13.6,0.0,0.0,0.0,8.1,88,121,1.7,-5.9,Wes Iwundu
2018-11-25,23-340,ORL,AWAY,LAL,W (+4),1,5:27,.000,.000,0.0,0.0,0.0,21.0,0.0,0.0,0.0,23.6,21,108,-1.8,-23.8,Wes Iwundu
2018-11-26,23-341,ORL,AWAY,GSW,L (-6),0,3:28,1.000,1.000,0.0,0.0,0.0,0.0,14.1,0.0,0.0,12.6,200,95,2.7,20.7,Wes Iwundu
2018-11-28,23-343,ORL,AWAY,POR,L (-3),0,11:31,.500,.500,0.0,8.9,5.0,0.0,0.0,0.0,0.0,8.2,93,126,0.9,-8.3,Wes Iwundu
2018-12-07,23-352,ORL,HOME,IND,L (-22),0,4:08,.500,.500,0.0,0.0,0.0,95.2,0.0,0.0,0.0,21.4,129,122,2.4,15.3,Wes Iwundu
