DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2013-11-06,27-030,MIN,HOME,GSW,L (-13),0,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+3,A.J. Price
2013-11-10,27-034,MIN,AWAY,LAL,W (+23),0,3:12,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1,A.J. Price
2013-11-13,27-037,MIN,HOME,CLE,W (+29),0,12:12,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.9,-3,A.J. Price
2013-11-16,27-040,MIN,HOME,BOS,W (+18),0,2:57,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,2.3,0,A.J. Price
2013-11-22,27-046,MIN,HOME,BRK,W (+30),0,8:06,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,1,2,2.0,-3,A.J. Price
2013-11-23,27-047,MIN,AWAY,HOU,L (-11),0,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,+3,A.J. Price
2013-12-01,27-055,MIN,AWAY,OKC,L (-10),0,1:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,A.J. Price
2013-12-07,27-061,MIN,HOME,MIA,L (-21),0,9:18,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,1.0,-3,A.J. Price
2013-12-10,27-064,MIN,AWAY,DET,W (+27),0,2:36,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,1,0,5,3.0,+3,A.J. Price
2013-12-20,27-074,MIN,AWAY,LAL,L (-13),0,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,A.J. Price
2013-12-27,27-081,MIN,HOME,WAS,W (+22),0,2:05,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+1,A.J. Price
2013-12-28,27-082,MIN,AWAY,MIL,W (+22),0,1:37,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+2,A.J. Price
2014-01-01,27-086,MIN,HOME,NOP,W (+12),0,2:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,A.J. Price
2014-01-06,27-091,MIN,AWAY,PHI,W (+31),0,6:24,4,6,.667,1,2,.500,0,0,,0,0,0,1,0,0,0,1,9,6.7,+2,A.J. Price
2014-01-10,27-095,MIN,HOME,CHA,W (+27),0,5:37,1,3,.333,1,2,.500,0,1,.000,0,2,2,1,0,0,1,0,3,1.2,+4,A.J. Price
2014-01-12,27-097,MIN,AWAY,SAS,L (-18),0,3:54,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,0,0,4,3.7,-2,A.J. Price
2014-01-17,27-102,MIN,AWAY,TOR,L (-5),0,4:17,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+2,A.J. Price
2014-01-24,27-109,MIN,AWAY,GSW,W (+1),0,4:17,1,3,.333,0,1,.000,0,1,.000,1,0,1,0,0,0,1,0,2,-0.4,+1,A.J. Price
2014-01-25,27-110,MIN,AWAY,POR,L (-11),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,A.J. Price
2014-02-01,27-117,MIN,AWAY,ATL,L (-7),0,5:00,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,+1,A.J. Price
2014-02-04,27-120,MIN,HOME,LAL,W (+10),0,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,A.J. Price
2014-02-05,27-121,MIN,AWAY,OKC,L (-9),0,1:18,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+4,A.J. Price
2014-02-10,27-126,MIN,HOME,HOU,L (-18),0,1:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1,A.J. Price
2014-02-12,27-128,MIN,HOME,DEN,W (+27),0,7:34,2,4,.500,0,2,.000,0,0,,0,1,1,1,0,0,1,0,4,2.0,-6,A.J. Price
2014-02-19,27-135,MIN,HOME,IND,W (+13),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,A.J. Price
2014-02-22,27-138,MIN,AWAY,UTA,W (+17),0,2:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,A.J. Price
2014-02-23,27-139,MIN,AWAY,POR,L (-11),0,3:37,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,0,0,5,3.0,+4,A.J. Price
