DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2001-10-30,30-028,NJN,HOME,IND,W (+6),0,27:28,3,8,.375,0,0,,4,6,.667,2,4,6,2,1,1,1,1,10,9.1,+7,Aaron Williams
2001-10-31,30-029,NJN,AWAY,BOS,W (+3),0,18:14,2,6,.333,0,0,,0,0,,1,4,5,1,0,1,1,5,4,0.9,0,Aaron Williams
2001-11-02,30-031,NJN,AWAY,DET,L (-14),0,27:44,1,3,.333,0,0,,1,2,.500,2,4,6,1,0,2,0,3,3,4.4,-8,Aaron Williams
2001-11-03,30-032,NJN,HOME,CHH,W (+10),0,20:14,1,2,.500,0,0,,2,2,1.000,2,1,3,0,1,2,0,3,4,5.9,+7,Aaron Williams
2001-11-08,30-037,NJN,HOME,SEA,W (+12),0,9:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-2,Aaron Williams
2001-11-10,30-039,NJN,HOME,CLE,W (+3),0,13:49,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,1,2,1.9,-2,Aaron Williams
2001-11-13,30-042,NJN,AWAY,IND,W (+9),0,24:08,5,7,.714,0,0,,1,4,.250,1,4,5,0,0,3,0,3,11,9.7,+7,Aaron Williams
2001-11-16,30-045,NJN,HOME,NYK,W (+26),0,19:32,1,6,.167,0,0,,2,4,.500,3,2,5,1,1,2,1,1,4,3.8,+4,Aaron Williams
2001-11-17,30-046,NJN,HOME,PHI,L (-12),0,12:50,2,7,.286,0,0,,0,0,,2,2,4,0,0,1,1,2,4,0.8,+6,Aaron Williams
2001-11-19,30-048,NJN,AWAY,DEN,L (-3),0,9:21,2,2,1.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,4,2.8,-2,Aaron Williams
2001-11-21,30-050,NJN,AWAY,UTA,W (+1),0,12:21,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,3,3,2,-3.2,+4,Aaron Williams
