DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-10-29,33-144,DEN,AWAY,UTA,L (-4),1,38:25,6,13,.462,0,0,,6,7,.857,0,1,1,8,1,0,3,2,18,14.0,-9,Allen Iverson
2008-10-31,33-146,DEN,AWAY,LAC,W (+10),1,47:12,9,19,.474,1,5,.200,6,10,.600,3,1,4,5,1,0,3,1,25,17.2,+10,Allen Iverson
2008-11-01,33-147,DEN,HOME,LAL,L (-7),1,37:16,3,8,.375,1,3,.333,6,8,.750,0,3,3,7,1,1,4,0,13,11.3,+2,Allen Iverson
2008-11-07,33-153,DET,AWAY,NJN,L (-7),1,37:06,6,12,.500,1,3,.333,11,13,.846,2,1,3,6,1,0,4,4,24,18.5,-7,Allen Iverson
2008-11-09,33-155,DET,HOME,BOS,L (-12),1,31:19,4,11,.364,0,1,.000,2,4,.500,2,2,4,4,1,1,4,3,10,4.4,-1,Allen Iverson
2008-11-11,33-157,DET,AWAY,SAC,W (+8),1,45:38,9,19,.474,3,5,.600,9,10,.900,1,6,7,9,2,0,3,1,30,27.3,+7,Allen Iverson
2008-11-13,33-159,DET,AWAY,GSW,W (+5),1,42:49,8,23,.348,2,3,.667,5,6,.833,0,5,5,9,2,0,3,3,23,15.3,+9,Allen Iverson
2008-11-14,33-160,DET,AWAY,LAL,W (+11),1,40:53,7,12,.583,0,1,.000,11,12,.917,1,3,4,4,4,0,3,2,25,23.6,+13,Allen Iverson
2008-11-16,33-162,DET,AWAY,PHO,L (-18),1,36:23,4,17,.235,1,5,.200,0,0,,1,3,4,7,1,0,5,2,9,0.4,-15,Allen Iverson
2008-11-19,33-165,DET,HOME,CLE,W (+7),1,43:34,8,16,.500,1,4,.250,6,6,1.000,0,1,1,4,4,0,4,1,23,17.7,+7,Allen Iverson
2008-11-20,33-166,DET,AWAY,BOS,L (-18),1,34:45,5,13,.385,1,3,.333,5,5,1.000,1,0,1,4,2,0,4,0,16,10.4,-9,Allen Iverson
2008-11-23,33-169,DET,HOME,MIN,L (-26),1,29:23,3,11,.273,0,2,.000,3,4,.750,0,4,4,2,0,0,2,0,9,2.7,-14,Allen Iverson
2008-11-26,33-172,DET,HOME,NYK,W (+14),1,31:13,6,16,.375,0,0,,4,5,.800,1,2,3,5,2,0,1,2,16,11.8,+15,Allen Iverson
2008-11-28,33-174,DET,HOME,MIL,W (+10),0,27:44,4,10,.400,0,0,,9,12,.750,0,5,5,7,3,0,3,1,17,16.4,+19,Allen Iverson
2008-11-30,33-176,DET,HOME,POR,L (-11),1,31:46,2,9,.222,0,0,,5,6,.833,0,1,1,3,1,0,1,2,9,4.7,-28,Allen Iverson
2008-12-02,33-178,DET,AWAY,SAS,W (+12),1,41:45,8,17,.471,2,5,.400,1,1,1.000,0,2,2,6,4,0,3,1,19,15.7,+1,Allen Iverson
2008-12-05,33-181,DET,HOME,PHI,L (-5),1,40:13,6,14,.429,0,1,.000,5,6,.833,0,3,3,7,0,0,3,1,17,11.6,+1,Allen Iverson
2008-12-07,33-183,DET,AWAY,NYK,L (-12),1,42:01,6,18,.333,0,2,.000,5,7,.714,1,3,4,7,2,0,1,2,17,12.7,-6,Allen Iverson
2008-12-09,33-185,DET,AWAY,WAS,L (-13),1,37:54,6,13,.462,0,1,.000,1,1,1.000,1,3,4,4,0,0,3,1,13,7.3,-9,Allen Iverson
2008-12-12,33-188,DET,HOME,IND,W (+4),1,41:21,6,12,.500,0,0,,5,6,.833,0,1,1,12,1,0,4,2,17,15.5,+5,Allen Iverson
2008-12-13,33-189,DET,AWAY,CHA,W (+4),1,32:54,7,13,.538,4,5,.800,2,6,.333,1,3,4,3,1,0,1,0,20,15.8,+18,Allen Iverson
2008-12-17,33-193,DET,HOME,WAS,W (+14),1,42:13,10,16,.625,1,2,.500,7,9,.778,0,6,6,3,1,0,2,3,28,21.7,+19,Allen Iverson
2008-12-19,33-195,DET,HOME,UTA,L (-6),1,53:46,13,24,.542,1,3,.333,11,11,1.000,1,4,5,7,3,0,6,1,38,29.8,-10,Allen Iverson
2008-12-21,33-197,DET,AWAY,ATL,L (-7),1,40:47,4,11,.364,0,0,,2,2,1.000,1,4,5,6,1,0,1,1,10,9.6,-8,Allen Iverson
2008-12-23,33-199,DET,HOME,CHI,W (+6),1,24:02,0,7,.000,0,1,.000,5,6,.833,0,4,4,8,1,0,1,1,5,6.1,-1,Allen Iverson
