DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2001-10-30,28-271,ORL,HOME,TOR,W (+29),1,12:21,0,0,,0,0,,3,4,.750,0,3,3,2,3,0,1,5,3,4.9,+12,Andrew DeClercq
2001-11-02,28-274,ORL,AWAY,IND,L (-10),1,14:10,2,3,.667,0,0,,2,2,1.000,2,1,3,1,0,1,0,3,6,6.6,+3,Andrew DeClercq
2001-11-03,28-275,ORL,AWAY,CLE,W (+30),1,14:25,1,3,.333,0,0,,0,0,,3,1,4,0,0,1,0,4,2,1.8,+7,Andrew DeClercq
2001-11-05,28-277,ORL,HOME,SEA,L (-4),1,18:03,4,8,.500,0,0,,1,1,1.000,2,1,3,1,0,0,1,3,9,5.2,+5,Andrew DeClercq
2001-11-06,28-278,ORL,AWAY,SAS,L (-15),1,9:47,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-3.3,+4,Andrew DeClercq
2001-11-11,28-283,ORL,AWAY,LAL,L (-13),0,6:21,0,0,,0,0,,1,2,.500,0,1,1,0,1,0,0,3,1,0.7,-7,Andrew DeClercq
2001-11-17,28-289,ORL,AWAY,MIN,L (-8),0,1:41,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,4.0,+6,Andrew DeClercq
2001-11-23,28-295,ORL,AWAY,CHH,W (+10),0,4:02,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-1.5,-2,Andrew DeClercq
2001-11-29,28-301,ORL,HOME,BOS,L (-10),0,6:35,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-4,Andrew DeClercq
2001-12-03,28-305,ORL,HOME,MEM,W (+42),0,10:20,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,+9,Andrew DeClercq
2001-12-05,28-307,ORL,HOME,CHI,W (+28),0,10:02,3,4,.750,0,0,,1,2,.500,2,2,4,1,2,1,1,2,7,8.6,-7,Andrew DeClercq
2001-12-07,28-309,ORL,HOME,ATL,W (+35),0,8:24,1,4,.250,0,0,,0,0,,0,0,0,0,0,1,2,3,2,-2.9,+3,Andrew DeClercq
2001-12-10,28-312,ORL,AWAY,LAC,L (-8),0,6:52,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-1.5,-9,Andrew DeClercq
2001-12-11,28-313,ORL,AWAY,SAC,L (-12),0,1:14,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,-2,Andrew DeClercq
2001-12-13,28-315,ORL,AWAY,GSW,W (+5),0,8:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,5,2,-1.7,-2,Andrew DeClercq
2001-12-15,28-317,ORL,AWAY,POR,L (-11),0,6:45,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,0,2,2.0,+4,Andrew DeClercq
2001-12-16,28-318,ORL,AWAY,SEA,L (-23),0,4:08,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-2.1,-8,Andrew DeClercq
2001-12-19,28-321,ORL,HOME,UTA,W (+8),1,20:00,2,4,.500,0,0,,1,2,.500,1,3,4,0,2,2,1,2,5,5.8,+1,Andrew DeClercq
