DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2012-11-04,27-038,ATL,AWAY,OKC,W (+9),0,13:50,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,3,0,0,1,5,7.3,+5,Anthony Morrow
2012-11-09,27-043,ATL,HOME,MIA,L (-6),0,15:29,6,11,.545,2,2,1.000,3,3,1.000,1,0,1,0,0,0,0,2,17,11.6,+5,Anthony Morrow
2012-11-12,27-046,ATL,AWAY,POR,W (+8),0,12:54,2,5,.400,1,2,.500,0,0,,0,0,0,0,1,1,0,3,5,2.8,+4,Anthony Morrow
2012-11-14,27-048,ATL,AWAY,GSW,L (-4),0,12:19,1,5,.200,0,2,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,-0.1,-13,Anthony Morrow
2012-11-16,27-050,ATL,AWAY,SAC,W (+16),0,4:41,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-3,Anthony Morrow
2012-11-19,27-053,ATL,HOME,ORL,W (+9),0,21:06,3,7,.429,1,3,.333,0,0,,0,0,0,1,2,0,0,2,7,5.2,+5,Anthony Morrow
2012-11-21,27-055,ATL,HOME,WAS,W (+1),0,3:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-8,Anthony Morrow
2012-11-23,27-057,ATL,AWAY,CHA,W (+10),0,5:01,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2,0.2,+3,Anthony Morrow
2012-11-24,27-058,ATL,HOME,LAC,W (+11),0,24:40,3,8,.375,1,1,1.000,2,2,1.000,0,2,2,0,1,0,1,2,9,4.4,-2,Anthony Morrow
2012-11-28,27-062,ATL,HOME,CHA,W (+3),0,15:46,3,5,.600,1,1,1.000,1,2,.500,1,1,2,0,0,0,1,2,8,4.5,-1,Anthony Morrow
2012-11-30,27-064,ATL,HOME,CLE,L (-2),0,6:08,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,0,2,5,3.9,-7,Anthony Morrow
2012-12-05,27-069,ATL,HOME,DEN,W (+4),0,6:30,2,6,.333,0,2,.000,0,0,,2,1,3,0,0,0,0,0,4,2.3,+7,Anthony Morrow
2012-12-07,27-071,ATL,HOME,WAS,W (+9),0,11:36,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,3.3,-10,Anthony Morrow
2012-12-08,27-072,ATL,AWAY,MEM,W (+10),0,19:28,1,5,.200,0,3,.000,4,5,.800,1,4,5,3,0,0,1,3,6,4.3,-2,Anthony Morrow
2012-12-10,27-074,ATL,AWAY,MIA,L (-9),0,16:04,3,4,.750,0,1,.000,0,0,,0,3,3,0,1,0,1,1,6,4.9,+2,Anthony Morrow
2012-12-12,27-076,ATL,AWAY,ORL,W (+6),1,24:44,2,11,.182,0,5,.000,0,0,,0,0,0,1,1,0,0,1,4,-1.6,+4,Anthony Morrow
2012-12-13,27-077,ATL,HOME,CHA,W (+23),0,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-2,Anthony Morrow
2012-12-19,27-083,ATL,HOME,OKC,L (-8),0,10:54,2,6,.333,1,3,.333,3,3,1.000,2,0,2,0,0,0,0,2,8,5.2,-16,Anthony Morrow
2012-12-21,27-085,ATL,AWAY,PHI,L (-19),0,19:13,1,2,.500,1,1,1.000,0,0,,0,0,0,2,1,0,0,0,3,4.4,-5,Anthony Morrow
2012-12-22,27-086,ATL,HOME,CHI,W (+17),0,20:57,3,7,.429,0,1,.000,1,1,1.000,2,0,2,1,0,0,0,1,7,5.0,-11,Anthony Morrow
2012-12-26,27-090,ATL,HOME,DET,W (+7),0,17:31,6,10,.600,3,5,.600,1,1,1.000,1,0,1,0,1,0,0,0,16,13.1,+3,Anthony Morrow
2012-12-28,27-092,ATL,AWAY,CLE,W (+8),0,6:58,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,+8,Anthony Morrow
