DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-10-29,33-132,TOR,AWAY,PHI,W (+11),1,37:41,3,11,.273,3,5,.600,0,0,,0,1,1,3,2,0,0,2,9,6.1,+11,Anthony Parker
2008-10-31,33-134,TOR,HOME,GSW,W (+4),1,40:39,7,10,.700,3,5,.600,6,6,1.000,3,2,5,0,4,0,0,1,23,25.1,+8,Anthony Parker
2008-11-01,33-135,TOR,AWAY,MIL,W (+4),1,43:52,4,10,.400,1,3,.333,2,2,1.000,0,1,1,3,4,0,2,2,11,9.2,+10,Anthony Parker
2008-11-05,33-139,TOR,HOME,DET,L (-7),1,36:05,3,9,.333,2,3,.667,1,1,1.000,0,3,3,2,0,1,1,0,9,5.9,+2,Anthony Parker
2008-11-07,33-141,TOR,AWAY,ATL,L (-18),1,19:50,2,9,.222,0,1,.000,0,0,,1,1,2,5,0,1,3,4,4,-0.9,-10,Anthony Parker
2008-11-09,33-143,TOR,AWAY,CHA,W (+10),1,35:32,4,12,.333,0,5,.000,1,3,.333,0,3,3,3,0,0,1,2,9,2.6,+12,Anthony Parker
2008-11-10,33-144,TOR,AWAY,BOS,L (-7),1,32:15,6,13,.462,3,5,.600,0,1,.000,0,0,0,0,0,0,3,3,15,3.7,-17,Anthony Parker
2008-11-12,33-146,TOR,HOME,PHI,L (-10),1,36:34,4,16,.250,0,6,.000,1,2,.500,0,3,3,3,3,0,1,1,9,3.6,+2,Anthony Parker
2008-11-16,33-150,TOR,HOME,MIA,W (+11),1,32:27,3,5,.600,2,4,.500,2,2,1.000,1,2,3,1,2,1,2,3,10,9.2,+6,Anthony Parker
2008-11-18,33-152,TOR,AWAY,ORL,L (-13),1,37:46,2,6,.333,0,0,,0,0,,0,3,3,0,2,1,2,1,4,1.8,-6,Anthony Parker
2008-11-19,33-153,TOR,AWAY,MIA,W (+6),1,35:13,6,12,.500,5,5,1.000,2,2,1.000,1,5,6,1,0,0,0,2,19,15.1,+8,Anthony Parker
2008-11-21,33-155,TOR,HOME,NJN,L (-2),1,42:32,3,9,.333,1,6,.167,1,2,.500,1,5,6,6,2,0,1,2,8,9.1,+10,Anthony Parker
2008-11-23,33-157,TOR,HOME,BOS,L (-15),1,31:01,5,12,.417,4,5,.800,0,0,,0,1,1,0,2,0,2,3,14,6.7,-25,Anthony Parker
2008-11-26,33-160,TOR,HOME,CHA,W (+7),1,37:15,2,4,.500,1,2,.500,0,0,,1,4,5,5,3,0,2,0,5,9.4,+2,Anthony Parker
2008-11-28,33-162,TOR,HOME,ATL,W (+5),1,34:34,3,5,.600,1,1,1.000,0,0,,1,2,3,2,2,0,1,2,7,7.6,-13,Anthony Parker
2008-11-30,33-164,TOR,AWAY,LAL,L (-13),1,27:32,6,12,.500,4,6,.667,3,4,.750,1,1,2,2,0,1,0,3,19,14.5,-2,Anthony Parker
2008-12-02,33-166,TOR,AWAY,DEN,L (-39),1,21:03,2,11,.182,0,3,.000,0,0,,0,3,3,1,1,0,0,1,4,-0.7,-30,Anthony Parker
2008-12-05,33-169,TOR,AWAY,UTA,L (-27),1,24:29,3,5,.600,0,0,,2,2,1.000,0,0,0,4,1,0,0,0,8,9.5,-18,Anthony Parker
2008-12-07,33-171,TOR,HOME,POR,L (-1),1,34:53,3,7,.429,2,3,.667,0,0,,0,3,3,5,3,0,0,2,8,10.9,-5,Anthony Parker
2008-12-09,33-173,TOR,AWAY,CLE,L (-20),1,28:41,3,8,.375,3,5,.600,0,0,,0,5,5,1,1,0,2,3,9,4.6,-13,Anthony Parker
2008-12-10,33-174,TOR,HOME,IND,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Anthony Parker
2008-12-12,33-176,TOR,AWAY,NJN,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Anthony Parker
2008-12-14,33-178,TOR,HOME,NOH,L (-8),0,22:48,1,7,.143,1,5,.200,0,0,,1,3,4,2,1,0,1,3,3,0.3,-9,Anthony Parker
2008-12-15,33-179,TOR,HOME,NJN,L (-7),0,14:46,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-4.5,-2,Anthony Parker
2008-12-17,33-181,TOR,HOME,DAL,L (-10),0,23:57,3,7,.429,0,0,,2,2,1.000,0,2,2,2,1,0,1,1,8,5.9,-8,Anthony Parker
2008-12-19,33-183,TOR,AWAY,OKC,L (-8),0,31:52,3,10,.300,0,3,.000,2,2,1.000,0,3,3,1,2,0,0,4,8,4.2,-2,Anthony Parker
2008-12-20,33-184,TOR,AWAY,SAS,L (-10),0,23:48,3,5,.600,0,0,,2,2,1.000,0,2,2,1,0,0,1,1,8,5.6,-19,Anthony Parker
2008-12-22,33-186,TOR,AWAY,LAC,W (+22),0,28:34,5,7,.714,2,3,.667,0,0,,0,7,7,2,1,0,3,1,12,10.2,+12,Anthony Parker
2008-12-26,33-190,TOR,AWAY,SAC,W (+6),0,27:44,2,7,.286,0,2,.000,1,2,.500,0,2,2,2,1,0,1,1,5,2.1,-3,Anthony Parker
2008-12-27,33-191,TOR,AWAY,POR,L (-13),0,22:13,2,6,.333,2,4,.500,0,0,,0,3,3,3,1,0,1,0,6,5.6,-7,Anthony Parker
2008-12-29,33-193,TOR,AWAY,GSW,L (-6),0,26:51,2,8,.250,1,4,.250,0,0,,0,2,2,3,0,0,0,3,5,1.7,+6,Anthony Parker
2008-12-31,33-195,TOR,HOME,DEN,L (-7),1,42:54,5,10,.500,2,4,.500,0,0,,1,3,4,6,3,0,1,4,12,13.2,+5,Anthony Parker
2009-01-02,33-197,TOR,HOME,HOU,W (+21),1,26:27,3,8,.375,0,2,.000,2,2,1.000,0,8,8,1,3,0,2,0,8,7.7,+18,Anthony Parker
2009-01-04,33-199,TOR,HOME,ORL,W (+6),1,36:27,13,16,.813,0,0,,0,0,,0,4,4,2,2,0,2,2,26,21.8,+4,Anthony Parker
2009-01-05,33-200,TOR,AWAY,MIL,L (-10),1,38:31,5,8,.625,1,2,.500,1,2,.500,0,2,2,5,2,0,0,2,12,13.3,-10,Anthony Parker
2009-01-07,33-202,TOR,AWAY,WAS,W (+6),1,39:04,6,9,.667,2,3,.667,1,2,.500,0,7,7,2,1,2,4,2,15,11.8,+11,Anthony Parker
2009-01-09,33-204,TOR,HOME,MEM,W (+21),1,21:28,1,5,.200,0,1,.000,1,2,.500,1,0,1,5,0,0,0,1,3,3.3,+10,Anthony Parker
2009-01-11,33-206,TOR,HOME,BOS,L (-6),1,27:42,2,12,.167,1,4,.250,0,0,,1,2,3,0,1,0,0,1,5,-0.7,-12,Anthony Parker
2009-01-12,33-207,TOR,AWAY,BOS,L (-6),1,34:16,4,10,.400,1,4,.250,2,2,1.000,1,3,4,3,0,0,1,2,11,7.5,-7,Anthony Parker
2009-01-14,33-209,TOR,HOME,CHI,L (-4),1,38:59,7,11,.636,1,2,.500,0,0,,1,5,6,4,1,0,2,1,15,13.7,0,Anthony Parker
2009-01-16,33-211,TOR,AWAY,IND,L (-7),1,36:12,5,14,.357,0,5,.000,6,6,1.000,0,5,5,5,3,0,2,3,16,13.0,+2,Anthony Parker
2009-01-18,33-213,TOR,HOME,PHO,L (-4),1,43:58,10,17,.588,2,3,.667,4,4,1.000,1,6,7,5,0,1,2,2,26,22.0,0,Anthony Parker
2009-01-19,33-214,TOR,AWAY,ATL,L (-3),1,40:41,6,12,.500,0,4,.000,0,0,,1,8,9,9,1,2,4,1,12,13.4,+2,Anthony Parker
2009-01-21,33-216,TOR,AWAY,DET,L (-19),1,36:13,4,11,.364,0,2,.000,2,2,1.000,1,1,2,8,1,0,3,2,10,7.7,-13,Anthony Parker
2009-01-23,33-218,TOR,AWAY,CHI,W (+20),1,35:54,6,12,.500,2,4,.500,0,0,,1,4,5,7,1,0,2,3,14,12.6,+31,Anthony Parker
2009-01-25,33-220,TOR,HOME,SAC,W (+16),1,38:52,5,10,.500,1,2,.500,0,0,,2,5,7,7,2,1,3,1,11,13.1,+23,Anthony Parker
2009-01-28,33-223,TOR,AWAY,NJN,W (+1),1,35:25,7,12,.583,3,7,.429,4,6,.667,0,7,7,6,0,0,4,0,21,16.9,+3,Anthony Parker
2009-01-30,33-225,TOR,HOME,MIL,L (-11),1,31:46,3,7,.429,1,1,1.000,5,5,1.000,0,2,2,4,1,0,3,2,12,8.9,-16,Anthony Parker
2009-02-01,33-227,TOR,HOME,ORL,L (-23),1,22:27,2,7,.286,0,2,.000,0,0,,0,2,2,0,0,0,0,2,4,-0.3,-20,Anthony Parker
2009-02-03,33-229,TOR,AWAY,CLE,L (-18),1,35:47,1,7,.143,0,2,.000,3,4,.750,0,4,4,8,0,0,1,3,5,4.7,-12,Anthony Parker
2009-02-04,33-230,TOR,HOME,LAL,L (-8),1,32:29,6,13,.462,3,6,.500,3,3,1.000,1,4,5,9,0,0,1,2,18,17.7,-7,Anthony Parker
2009-02-06,33-232,TOR,AWAY,NOH,L (-9),1,39:49,4,11,.364,2,4,.500,2,3,.667,2,3,5,4,1,0,1,2,12,9.8,-2,Anthony Parker
2009-02-07,33-233,TOR,AWAY,MEM,L (-8),1,40:17,2,11,.182,0,4,.000,0,0,,0,5,5,2,2,0,0,3,4,0.8,-18,Anthony Parker
2009-02-10,33-236,TOR,AWAY,MIN,W (+8),1,29:32,2,6,.333,0,1,.000,0,0,,0,3,3,5,0,0,1,2,4,3.2,+3,Anthony Parker
2009-02-11,33-237,TOR,HOME,SAS,W (+2),1,38:14,4,8,.500,1,2,.500,1,2,.500,0,6,6,4,0,0,2,3,10,7.0,-6,Anthony Parker
2009-02-18,33-244,TOR,HOME,CLE,L (-17),1,35:03,3,13,.231,1,4,.250,2,2,1.000,1,6,7,2,2,0,4,3,9,1.8,-7,Anthony Parker
2009-02-20,33-246,TOR,AWAY,NYK,L (-30),1,19:18,0,2,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,0,0,-0.8,-16,Anthony Parker
2009-02-22,33-248,TOR,HOME,NYK,W (+11),1,33:08,11,16,.688,1,2,.500,1,2,.500,0,6,6,3,2,0,3,4,24,18.1,+14,Anthony Parker
2009-02-24,33-250,TOR,HOME,MIN,W (+8),1,38:28,8,10,.800,3,3,1.000,5,6,.833,2,5,7,6,2,0,0,1,24,28.5,+12,Anthony Parker
2009-02-27,33-253,TOR,AWAY,PHO,L (-20),1,42:30,5,14,.357,2,6,.333,2,2,1.000,2,5,7,4,2,0,2,0,14,11.9,-13,Anthony Parker
2009-03-01,33-255,TOR,AWAY,DAL,L (-11),1,43:37,5,12,.417,3,4,.750,0,0,,1,8,9,7,1,0,1,3,13,13.4,-9,Anthony Parker
2009-03-03,33-257,TOR,AWAY,HOU,L (-10),1,33:37,1,8,.125,1,3,.333,0,0,,2,6,8,0,1,0,1,3,3,-0.2,+6,Anthony Parker
2009-03-06,33-260,TOR,HOME,MIA,L (-6),1,36:06,6,11,.545,0,0,,4,4,1.000,1,3,4,9,4,0,1,3,16,20.4,0,Anthony Parker
2009-03-08,33-262,TOR,HOME,UTA,L (-8),1,36:34,5,10,.500,2,3,.667,4,5,.800,0,2,2,7,1,0,3,3,16,12.9,+5,Anthony Parker
2009-03-11,33-265,TOR,AWAY,PHI,L (-9),1,37:41,5,10,.500,2,3,.667,0,0,,1,2,3,4,0,0,1,1,12,9.7,-3,Anthony Parker
2009-03-13,33-267,TOR,HOME,DET,L (-4),1,39:03,3,9,.333,0,0,,0,0,,0,4,4,2,1,0,1,2,6,2.7,-5,Anthony Parker
2009-03-15,33-269,TOR,HOME,IND,W (+23),1,26:05,4,7,.571,0,2,.000,2,2,1.000,0,2,2,4,1,0,1,4,10,8.5,+4,Anthony Parker
2009-03-16,33-270,TOR,AWAY,CHA,L (-26),1,36:54,3,10,.300,1,5,.200,4,5,.800,1,3,4,4,2,1,6,1,11,5.5,-11,Anthony Parker
