DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2005-11-04,28-240,LAC,HOME,ATL,W (+15),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Boniface N'Dong
2005-12-07,28-273,LAC,HOME,NYK,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Boniface N'Dong
2005-12-17,28-283,LAC,HOME,HOU,W (+8),0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Boniface N'Dong
2005-12-21,28-287,LAC,AWAY,IND,L (-22),0,2:01,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-3,Boniface N'Dong
2005-12-27,28-293,LAC,HOME,SAC,L (-17),0,11:33,3,6,.500,0,0,,0,0,,3,3,6,0,0,0,1,3,6,3.8,+4,Boniface N'Dong
2006-01-06,28-303,LAC,AWAY,SAC,L (-4),0,4:22,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-6,Boniface N'Dong
2006-01-10,28-307,LAC,HOME,ORL,W (+17),0,13:57,3,6,.500,0,0,,0,1,.000,1,2,3,0,0,2,1,0,6,4.3,-11,Boniface N'Dong
2006-01-14,28-311,LAC,HOME,SEA,W (+26),0,6:19,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,2,2,-0.1,+4,Boniface N'Dong
2006-01-27,28-324,LAC,AWAY,DEN,W (+18),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,+1,Boniface N'Dong
2006-01-28,28-325,LAC,HOME,DEN,W (+33),0,8:44,1,1,1.000,0,0,,2,2,1.000,2,2,4,1,0,0,0,0,4,6.4,0,Boniface N'Dong
2006-01-30,28-327,LAC,AWAY,MIA,L (-4),0,4:07,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,4,2.7,-4,Boniface N'Dong
2006-02-05,28-333,LAC,AWAY,TOR,W (+2),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Boniface N'Dong
2006-02-07,28-335,LAC,AWAY,NYK,W (+3),0,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Boniface N'Dong
2006-02-08,28-336,LAC,AWAY,DET,L (-10),0,5:37,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,-4,Boniface N'Dong
2006-02-14,28-342,LAC,HOME,HOU,L (-31),0,11:04,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,4,2,-2.0,-11,Boniface N'Dong
2006-03-01,28-357,LAC,HOME,NOK,W (+22),0,7:29,1,1,1.000,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,2.9,+6,Boniface N'Dong
2006-03-13,29-004,LAC,HOME,MIN,W (+8),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Boniface N'Dong
2006-03-17,29-008,LAC,HOME,PHI,W (+10),0,8:05,1,4,.250,0,0,,1,2,.500,3,2,5,0,1,1,0,1,3,4.2,+1,Boniface N'Dong
2006-03-20,29-011,LAC,AWAY,HOU,W (+8),0,3:21,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-4,Boniface N'Dong
2006-03-21,29-012,LAC,AWAY,NOK,L (-12),0,7:17,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,2,2,1.6,0,Boniface N'Dong
2006-03-26,29-017,LAC,AWAY,POR,W (+14),0,0:56,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2,Boniface N'Dong
2006-04-16,29-038,LAC,HOME,SEA,L (-16),0,18:21,1,5,.200,0,0,,0,0,,2,5,7,3,0,0,2,2,2,1.1,-4,Boniface N'Dong
2006-04-18,29-040,LAC,AWAY,MEM,L (-6),0,11:38,2,5,.400,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,2,6,3.5,-3,Boniface N'Dong
2006-04-19,29-041,LAC,AWAY,DAL,W (+14),1,22:38,2,8,.250,0,0,,0,0,,2,5,7,0,0,0,1,2,4,0.3,-4,Boniface N'Dong
