DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2014-10-29,23-096,PHI,AWAY,IND,L (-12),0,17:58,5,11,.455,0,2,.000,2,2,1.000,4,1,5,1,1,0,1,3,12,8.9,+1,Brandon Davies
2014-10-31,23-098,PHI,AWAY,MIL,L (-12),0,5:09,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,0,0,-1.1,-6,Brandon Davies
2014-11-01,23-099,PHI,HOME,MIA,L (-18),0,23:53,7,9,.778,1,2,.500,3,4,.750,0,3,3,0,3,0,3,3,18,13.8,-1,Brandon Davies
2014-11-03,23-101,PHI,HOME,HOU,L (-11),1,24:24,5,10,.500,1,3,.333,2,3,.667,2,2,4,3,0,1,0,2,13,11.6,-15,Brandon Davies
2014-11-05,23-103,PHI,HOME,ORL,L (-2),1,29:17,9,11,.818,1,1,1.000,1,4,.250,1,3,4,1,1,0,1,3,20,15.8,-1,Brandon Davies
2014-11-07,23-105,PHI,HOME,CHI,L (-3),0,24:28,3,7,.429,1,3,.333,0,0,,1,1,2,3,0,0,1,3,7,4.2,-18,Brandon Davies
2014-11-09,23-107,PHI,AWAY,TOR,L (-32),0,28:33,1,6,.167,1,3,.333,0,0,,1,6,7,3,1,0,5,2,3,-1.0,-16,Brandon Davies
2014-11-13,23-111,PHI,AWAY,DAL,L (-53),0,18:24,2,5,.400,1,2,.500,0,0,,4,0,4,1,0,0,3,3,5,1.6,-14,Brandon Davies
2014-11-14,23-112,PHI,AWAY,HOU,L (-1),1,28:30,3,12,.250,1,4,.250,0,2,.000,4,1,5,2,1,1,1,5,7,2.2,-2,Brandon Davies
2014-11-17,23-115,PHI,AWAY,SAS,L (-25),1,17:46,0,4,.000,0,1,.000,0,0,,0,4,4,4,1,0,0,0,0,2.2,-19,Brandon Davies
2014-11-19,23-117,PHI,HOME,BOS,L (-11),0,16:46,1,5,.200,0,1,.000,0,0,,0,2,2,1,1,0,1,4,2,-1.4,-3,Brandon Davies
