DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2001-10-31,27-040,CHH,HOME,CLE,W (+6),0,2:37,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,-2,Bryce Drew
2001-11-03,27-043,CHH,AWAY,NJN,L (-10),0,6:47,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,3,0,1.2,-8,Bryce Drew
2001-11-06,27-046,CHH,AWAY,DAL,L (-18),0,17:08,2,4,.500,1,2,.500,1,1,1.000,0,1,1,5,0,0,1,0,6,6.8,+12,Bryce Drew
2001-11-08,27-048,CHH,HOME,SAS,L (-10),0,9:18,2,4,.500,1,2,.500,1,2,.500,0,1,1,0,1,0,0,0,6,4.9,+5,Bryce Drew
2001-11-10,27-050,CHH,AWAY,CHI,W (+4),0,11:50,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,2,0,-2.2,+1,Bryce Drew
2001-11-14,27-054,CHH,AWAY,PHI,L (-14),0,6:41,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4,Bryce Drew
2001-11-16,27-056,CHH,AWAY,MIA,W (+9),0,5:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-1,Bryce Drew
2001-11-17,27-057,CHH,HOME,POR,L (-10),0,5:45,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,0.7,+2,Bryce Drew
2001-11-20,27-060,CHH,AWAY,WAS,W (+7),0,21:42,3,7,.429,0,2,.000,0,0,,0,0,0,1,4,0,0,0,6,7.0,-1,Bryce Drew
2001-11-21,27-061,CHH,HOME,DAL,L (-11),0,20:56,1,4,.250,1,1,1.000,0,0,,0,2,2,3,0,0,0,0,3,3.3,-14,Bryce Drew
2001-11-23,27-063,CHH,HOME,ORL,L (-10),0,9:44,0,5,.000,0,3,.000,0,0,,0,1,1,1,1,0,0,1,0,-1.9,+5,Bryce Drew
2001-11-24,27-064,CHH,AWAY,ORL,W (+2),0,17:39,3,7,.429,2,3,.667,0,0,,0,3,3,2,1,0,0,1,8,7.2,+12,Bryce Drew
2001-11-28,27-068,CHH,AWAY,DET,W (+8),0,17:22,1,2,.500,0,0,,0,0,,0,2,2,2,1,0,0,0,2,4.0,+3,Bryce Drew
2001-11-30,27-070,CHH,HOME,DET,L (-5),0,15:11,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,1,2,6,3.5,+2,Bryce Drew
2001-12-01,27-071,CHH,AWAY,CLE,L (-12),0,15:38,0,3,.000,0,1,.000,2,2,1.000,1,3,4,0,0,0,1,1,2,0.1,-5,Bryce Drew
2001-12-04,27-074,CHH,AWAY,UTA,L (-4),0,17:46,4,5,.800,4,4,1.000,0,0,,1,0,1,2,1,0,1,0,12,12.2,-1,Bryce Drew
2001-12-06,27-076,CHH,AWAY,POR,W (+6),0,8:30,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-1.5,-3,Bryce Drew
2001-12-07,27-077,CHH,AWAY,GSW,W (+17),0,9:55,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9,-5,Bryce Drew
2001-12-09,27-079,CHH,AWAY,LAC,L (-11),0,6:47,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2,Bryce Drew
2001-12-11,27-081,CHH,AWAY,DEN,W (+3),0,11:03,1,2,.500,0,1,.000,1,1,1.000,0,0,0,4,0,0,0,2,3,4.0,+9,Bryce Drew
2001-12-13,27-083,CHH,HOME,TOR,W (+14),0,6:14,1,1,1.000,0,0,,1,1,1.000,2,1,3,1,0,0,1,0,3,4.1,0,Bryce Drew
2001-12-15,27-085,CHH,HOME,BOS,L (-9),0,4:28,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+5,Bryce Drew
2001-12-18,27-088,CHH,HOME,NYK,L (-5),0,4:02,0,0,,0,0,,0,0,,0,0,0,2,1,0,1,1,0,1.0,-1,Bryce Drew
2001-12-19,27-089,CHH,AWAY,PHI,W (+9),0,3:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,Bryce Drew
2001-12-21,27-091,CHH,AWAY,MIN,L (-5),0,10:09,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-4,Bryce Drew
2001-12-22,27-092,CHH,AWAY,ATL,L (-13),0,6:45,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,1,0,0.6,-6,Bryce Drew
2001-12-26,27-096,CHH,HOME,WAS,W (+6),0,14:19,3,3,1.000,1,1,1.000,2,2,1.000,0,2,2,2,0,0,1,0,9,9.1,0,Bryce Drew
2001-12-28,27-098,CHH,HOME,MIL,L (-16),0,16:48,2,4,.500,1,3,.333,0,0,,0,0,0,1,0,0,0,2,5,2.9,-4,Bryce Drew
2001-12-29,27-099,CHH,AWAY,WAS,L (-17),0,19:21,1,3,.333,0,0,,0,0,,0,3,3,6,1,0,2,0,2,4.4,+9,Bryce Drew
2002-01-03,27-104,CHH,HOME,GSW,W (+12),0,17:43,3,7,.429,2,4,.500,4,4,1.000,1,0,1,4,0,0,0,0,12,11.8,+13,Bryce Drew
2002-01-05,27-106,CHH,HOME,NJN,L (-9),0,19:35,1,2,.500,1,2,.500,0,0,,0,1,1,3,0,0,0,2,3,3.6,-4,Bryce Drew
2002-01-07,27-108,CHH,HOME,DEN,W (+14),0,13:05,1,3,.333,0,2,.000,0,0,,0,0,0,1,0,0,1,0,2,0.0,+1,Bryce Drew
2002-01-09,27-110,CHH,HOME,ATL,W (+24),0,32:41,4,7,.571,1,2,.500,5,7,.714,0,3,3,4,2,0,2,2,14,12.8,+28,Bryce Drew
2002-01-11,27-112,CHH,HOME,LAC,W (+1),0,14:08,2,7,.286,2,4,.500,0,0,,1,0,1,3,0,0,0,2,6,3.9,+7,Bryce Drew
2002-01-12,27-113,CHH,AWAY,DET,L (-28),0,20:50,0,4,.000,0,2,.000,4,4,1.000,0,1,1,1,1,0,3,3,4,-1.0,-13,Bryce Drew
2002-01-15,27-116,CHH,AWAY,CHI,W (+8),0,9:48,3,4,.750,1,2,.500,0,0,,0,0,0,1,0,0,1,0,7,5.1,+3,Bryce Drew
2002-01-17,27-118,CHH,HOME,PHI,L (-5),0,12:08,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,1,1,4,1.3,-6,Bryce Drew
2002-01-19,27-120,CHH,HOME,TOR,L (-2),0,7:53,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2,Bryce Drew
2002-01-21,27-122,CHH,AWAY,NYK,W (+43),0,15:41,4,5,.800,1,1,1.000,1,1,1.000,1,0,1,2,1,0,2,1,10,8.8,+2,Bryce Drew
2002-01-23,27-124,CHH,HOME,SEA,W (+10),0,14:46,3,5,.600,3,3,1.000,1,1,1.000,0,0,0,4,0,0,0,0,10,10.5,+8,Bryce Drew
2002-01-25,27-126,CHH,AWAY,IND,L (-9),0,13:01,1,2,.500,1,1,1.000,0,0,,1,0,1,3,1,0,0,0,3,5.8,-8,Bryce Drew
2002-01-26,27-127,CHH,HOME,HOU,L (-7),0,12:46,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,4.4,-6,Bryce Drew
