DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2018-10-20,21-212,SAS,AWAY,POR,L (-13),0,3:28,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,1,0,0,2,2.6,+5,Chimezie Metu
2018-10-24,21-216,SAS,HOME,IND,L (-20),0,5:31,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,0.3,+5,Chimezie Metu
2018-10-31,21-223,SAS,AWAY,PHO,W (+30),0,6:45,1,4,.250,0,0,,2,2,1.000,0,2,2,0,1,0,0,0,4,3.2,+6,Chimezie Metu
2018-11-03,21-226,SAS,HOME,NOP,W (+14),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,0,Chimezie Metu
2018-11-04,21-227,SAS,HOME,ORL,L (-7),0,3:38,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,+6,Chimezie Metu
2018-11-10,21-233,SAS,HOME,HOU,W (+7),0,12:17,0,1,.000,0,0,,0,0,,2,0,2,0,0,1,4,0,0,-2.6,-14,Chimezie Metu
2018-11-12,21-235,SAS,AWAY,SAC,L (-5),0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,Chimezie Metu
2018-11-14,21-237,SAS,AWAY,PHO,L (-20),0,6:42,1,2,.500,0,0,,1,3,.333,0,2,2,0,0,0,1,1,3,0.4,0,Chimezie Metu
2018-11-19,21-242,SAS,AWAY,NOP,L (-14),0,13:29,4,5,.800,0,1,.000,0,0,,1,2,3,3,0,0,1,1,8,8.1,-3,Chimezie Metu
2018-11-23,21-246,SAS,AWAY,IND,W (+11),0,1:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Chimezie Metu
2018-11-28,21-251,SAS,AWAY,MIN,L (-39),0,12:00,0,4,.000,0,0,,2,2,1.000,1,3,4,2,0,0,0,1,2,1.8,-5,Chimezie Metu
2018-11-30,21-253,SAS,HOME,HOU,L (-31),0,5:22,3,6,.500,0,0,,0,0,,2,1,3,2,0,0,1,1,6,4.7,+2,Chimezie Metu
2018-12-02,21-255,SAS,HOME,POR,W (+13),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Chimezie Metu
2018-12-04,21-257,SAS,AWAY,UTA,L (-34),0,12:55,4,8,.500,0,0,,2,2,1.000,0,1,1,2,2,0,1,1,10,8.3,-2,Chimezie Metu
2018-12-07,21-260,SAS,HOME,LAL,W (+13),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Chimezie Metu
2018-12-09,21-262,SAS,HOME,UTA,W (+13),0,6:11,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,+5,Chimezie Metu
