DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
1999-11-14,24-048,DEN,AWAY,SAC,L (-10),0,8:11,0,2,.000,0,2,.000,0,0,,0,0,0,3,1,0,2,1,0,-0.7,-13,Chris Herren
1999-11-16,24-050,DEN,HOME,NYK,L (-7),0,11:55,2,3,.667,1,2,.500,2,2,1.000,0,2,2,1,0,0,1,5,7,4.0,-2,Chris Herren
1999-11-18,24-052,DEN,HOME,LAL,W (+11),0,7:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.0,-4,Chris Herren
1999-11-20,24-054,DEN,HOME,CHI,W (+9),0,13:32,0,1,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,1,0,0.6,+3,Chris Herren
1999-12-18,24-082,DEN,HOME,SAS,W (+2),0,7:19,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,1,0,1,3,3.3,0,Chris Herren
1999-12-20,24-084,DEN,HOME,POR,W (+9),0,5:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+3,Chris Herren
1999-12-23,24-087,DEN,AWAY,VAN,L (-2),0,4:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,Chris Herren
1999-12-28,24-092,DEN,HOME,LAC,W (+23),0,10:09,1,4,.250,1,1,1.000,2,2,1.000,0,3,3,2,0,0,0,0,5,4.9,+7,Chris Herren
1999-12-30,24-094,DEN,HOME,BOS,L (-8),0,9:43,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-3,Chris Herren
2000-01-03,24-098,DEN,AWAY,UTA,L (-20),0,12:27,0,3,.000,0,2,.000,1,2,.500,1,1,2,1,1,0,0,0,1,1.2,-9,Chris Herren
2000-01-04,24-099,DEN,HOME,DAL,W (+2),0,5:30,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4,Chris Herren
2000-01-06,24-101,DEN,HOME,IND,L (-15),0,10:09,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,+1,Chris Herren
2000-01-10,24-105,DEN,AWAY,LAL,L (-35),0,19:38,2,6,.333,1,3,.333,0,0,,0,3,3,4,2,0,1,1,5,5.9,+3,Chris Herren
2000-01-12,24-107,DEN,HOME,SEA,L (-10),0,5:56,0,2,.000,0,2,.000,0,0,,0,0,0,2,1,0,1,2,0,-0.8,-1,Chris Herren
2000-01-14,24-109,DEN,HOME,MIA,L (-5),1,31:15,4,8,.500,1,3,.333,0,0,,1,2,3,6,0,1,2,4,9,7.6,-3,Chris Herren
2000-01-16,24-111,DEN,AWAY,PHO,L (-13),0,17:01,1,4,.250,1,2,.500,0,0,,1,0,1,5,1,0,0,3,3,4.6,+13,Chris Herren
2000-01-20,24-115,DEN,AWAY,HOU,L (-7),0,11:21,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-4,Chris Herren
2000-01-21,24-116,DEN,HOME,PHO,L (-2),0,10:35,1,1,1.000,1,1,1.000,0,0,,1,0,1,3,0,0,1,3,3,3.3,+1,Chris Herren
