DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2006-11-03,20-312,MIL,AWAY,TOR,L (-17),0,4:28,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.3,+2,Damir Markota
2006-11-04,20-313,MIL,HOME,SAC,W (+13),0,4:16,0,1,.000,0,0,,0,2,.000,0,0,0,0,0,0,1,0,0,-2.5,-6,Damir Markota
2006-11-06,20-315,MIL,AWAY,CHI,L (-25),0,3:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,Damir Markota
2006-11-15,20-324,MIL,AWAY,NJN,L (-13),0,0:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Damir Markota
2006-11-25,20-334,MIL,HOME,BOS,L (-13),0,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Damir Markota
2006-12-04,20-343,MIL,AWAY,UTA,L (-13),0,3:44,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,1,1,2,0.5,+3,Damir Markota
2006-12-08,20-347,MIL,HOME,MEM,W (+6),0,1:07,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,+1,Damir Markota
2006-12-13,20-352,MIL,AWAY,NJN,L (-13),0,1:07,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-2,Damir Markota
2006-12-20,20-359,MIL,HOME,MIA,W (+26),0,3:47,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2,Damir Markota
2006-12-27,21-001,MIL,AWAY,MEM,W (+16),0,2:51,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,0,4,3.4,-5,Damir Markota
2006-12-29,21-003,MIL,AWAY,CLE,L (-10),0,1:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,Damir Markota
2006-12-30,21-004,MIL,HOME,WAS,W (+17),0,2:09,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-3,Damir Markota
2007-01-08,21-013,MIL,AWAY,DEN,L (-12),0,0:44,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Damir Markota
2007-01-10,21-015,MIL,HOME,TOR,L (-13),0,1:27,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Damir Markota
2007-01-12,21-017,MIL,AWAY,PHI,L (-13),0,2:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,Damir Markota
2007-01-19,21-024,MIL,AWAY,SEA,L (-27),0,12:00,0,4,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-1.1,+1,Damir Markota
2007-01-21,21-026,MIL,AWAY,POR,L (-4),0,12:37,1,3,.333,0,2,.000,0,0,,1,2,3,0,0,0,0,1,2,1.2,0,Damir Markota
2007-01-23,21-028,MIL,AWAY,LAC,L (-19),0,7:36,3,4,.750,2,2,1.000,0,0,,0,1,1,0,0,0,0,2,8,5.9,+4,Damir Markota
2007-01-30,21-035,MIL,AWAY,MIA,L (-30),0,7:30,0,0,,0,0,,0,0,,1,0,1,1,1,0,2,0,0,0.4,-1,Damir Markota
2007-01-31,21-036,MIL,AWAY,ORL,L (-25),0,2:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-5,Damir Markota
2007-03-25,21-089,MIL,HOME,DET,L (-26),0,6:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-2,Damir Markota
2007-03-30,21-094,MIL,AWAY,CHA,L (-16),0,18:18,1,4,.250,0,1,.000,3,4,.750,3,4,7,1,0,0,2,2,5,3.4,-7,Damir Markota
2007-04-01,21-096,MIL,HOME,WAS,L (-14),0,2:46,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,1,0,3,1.6,+1,Damir Markota
2007-04-03,21-098,MIL,HOME,NOK,L (-18),0,5:55,2,5,.400,0,1,.000,1,1,1.000,1,0,1,0,1,1,0,1,5,4.3,+2,Damir Markota
2007-04-04,21-099,MIL,HOME,BOS,W (+9),0,6:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-1,Damir Markota
2007-04-06,21-101,MIL,AWAY,ATL,L (-13),0,4:53,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-2.6,-9,Damir Markota
2007-04-09,21-104,MIL,HOME,ORL,L (-23),0,12:35,1,3,.333,1,1,1.000,0,0,,1,2,3,1,1,0,1,3,3,2.1,-4,Damir Markota
2007-04-14,21-109,MIL,HOME,CHA,L (-21),0,3:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-5,Damir Markota
2007-04-16,21-111,MIL,HOME,ATL,W (+6),0,5:57,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,1,2,2.0,-13,Damir Markota
2007-04-18,21-113,MIL,AWAY,CLE,L (-13),0,27:03,1,5,.200,1,3,.333,0,0,,0,4,4,1,0,0,0,4,3,0.2,+4,Damir Markota
