DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2006-11-01,24-078,IND,AWAY,CHA,W (+7),0,9:58,3,3,1.000,0,0,,1,1,1.000,0,2,2,0,0,1,1,4,7,4.8,+6,David Harrison
2006-11-03,24-080,IND,HOME,NOK,L (-9),0,3:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+1,David Harrison
2006-11-04,24-081,IND,AWAY,NYK,W (+14),0,6:06,0,1,.000,0,0,,1,2,.500,0,1,1,0,1,0,1,2,1,-0.6,-2,David Harrison
2006-11-07,24-084,IND,HOME,PHI,W (+11),0,3:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-7,David Harrison
2006-11-08,24-085,IND,AWAY,WAS,L (-26),1,18:01,1,2,.500,0,0,,1,2,.500,0,5,5,0,0,3,0,3,3,4.0,-3,David Harrison
2006-11-10,24-087,IND,HOME,ORL,W (+10),0,1:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,+4,David Harrison
2006-11-15,24-092,IND,AWAY,BOS,L (-26),0,5:44,1,3,.333,0,0,,0,0,,1,0,1,2,1,1,0,2,2,3.3,-1,David Harrison
2006-12-08,24-115,IND,HOME,POR,W (+13),0,5:55,1,1,1.000,0,0,,0,2,.000,0,3,3,0,0,0,1,2,2,0.0,-9,David Harrison
2006-12-09,24-116,IND,AWAY,CLE,L (-32),0,8:15,1,3,.333,0,0,,0,2,.000,1,1,2,0,0,1,2,2,2,-1.6,-3,David Harrison
2006-12-11,24-118,IND,AWAY,CHI,L (-15),0,12:39,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,5,4,1.7,-14,David Harrison
2007-02-03,24-172,IND,AWAY,MEM,W (+6),0,4:04,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,4.4,+3,David Harrison
2007-02-07,24-176,IND,HOME,SEA,L (-1),0,4:43,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9,-3,David Harrison
2007-03-03,24-200,IND,AWAY,LAC,L (-23),0,8:20,2,2,1.000,0,0,,1,4,.250,1,3,4,0,0,0,1,1,5,3.4,+2,David Harrison
2007-03-07,24-204,IND,AWAY,UTA,L (-22),0,9:07,2,4,.500,0,0,,2,2,1.000,1,3,4,0,0,0,6,4,6,-2.0,-4,David Harrison
2007-03-10,24-207,IND,HOME,PHI,L (-4),0,8:53,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,1,6,3.7,+11,David Harrison
2007-03-11,24-208,IND,AWAY,CLE,L (-11),0,15:57,5,8,.625,0,0,,1,1,1.000,1,4,5,0,0,2,1,3,11,8.5,+4,David Harrison
2007-03-13,24-210,IND,AWAY,MIN,L (-5),0,7:50,0,0,,0,0,,0,0,,0,1,1,0,0,1,2,1,0,-1.4,-9,David Harrison
