DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2018-10-22,20-147,PHO,AWAY,GSW,L (-20),0,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,De'Anthony Melton
2018-10-31,20-156,PHO,HOME,SAS,L (-30),0,19:43,3,12,.250,1,6,.167,0,0,,0,2,2,1,3,1,2,5,7,0.8,-18,De'Anthony Melton
2018-11-14,20-170,PHO,HOME,SAS,W (+20),0,10:22,1,1,1.000,1,1,1.000,0,0,,0,3,3,1,0,0,0,1,3,3.9,0,De'Anthony Melton
2018-11-17,20-173,PHO,HOME,OKC,L (-10),0,9:35,0,1,.000,0,1,.000,0,0,,0,3,3,0,1,0,2,1,0,-1.2,+3,De'Anthony Melton
2018-11-30,20-186,PHO,HOME,ORL,L (-14),0,4:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-10,De'Anthony Melton
2018-12-02,20-188,PHO,AWAY,LAL,L (-24),0,8:13,1,3,.333,1,3,.333,0,0,,0,2,2,3,0,0,0,1,3,3.6,-8,De'Anthony Melton
2018-12-04,20-190,PHO,HOME,SAC,L (-17),0,23:22,9,12,.750,3,4,.750,0,0,,1,1,2,5,1,0,1,4,21,19.1,+24,De'Anthony Melton
2018-12-06,20-192,PHO,AWAY,POR,L (-22),0,25:44,3,12,.250,0,4,.000,1,2,.500,1,4,5,4,2,0,1,3,7,3.9,-2,De'Anthony Melton
2018-12-07,20-193,PHO,HOME,MIA,L (-17),1,24:44,4,9,.444,3,5,.600,1,1,1.000,0,3,3,4,1,0,4,3,12,6.8,-17,De'Anthony Melton
2018-12-10,20-196,PHO,HOME,LAC,L (-4),1,35:48,5,16,.313,0,4,.000,3,3,1.000,1,3,4,8,2,0,2,3,13,9.8,+4,De'Anthony Melton
2018-12-11,20-197,PHO,AWAY,SAS,L (-25),1,33:14,7,16,.438,3,7,.429,0,0,,1,6,7,6,2,0,5,1,17,11.9,-3,De'Anthony Melton
2018-12-13,20-199,PHO,HOME,DAL,W (+10),1,21:21,0,4,.000,0,2,.000,0,0,,0,1,1,1,3,2,3,3,0,-1.6,-3,De'Anthony Melton
2018-12-15,20-201,PHO,HOME,MIN,W (+8),1,21:12,4,6,.667,1,2,.500,0,0,,0,3,3,5,2,0,3,3,9,8.6,+9,De'Anthony Melton
2018-12-17,20-203,PHO,AWAY,NYK,W (+18),1,20:44,1,4,.250,1,2,.500,0,0,,0,1,1,2,1,0,1,1,3,1.9,+15,De'Anthony Melton
2018-12-19,20-205,PHO,AWAY,BOS,W (+8),1,16:26,0,2,.000,0,1,.000,0,0,,1,0,1,5,1,0,3,2,0,0.0,-3,De'Anthony Melton
2018-12-22,20-208,PHO,AWAY,WAS,L (-3),1,19:58,4,5,.800,2,2,1.000,0,0,,1,1,2,3,3,0,1,2,10,12.4,+4,De'Anthony Melton
2018-12-23,20-209,PHO,AWAY,BRK,L (-8),1,25:24,0,6,.000,0,3,.000,0,0,,0,2,2,1,1,0,0,3,0,-3.1,-3,De'Anthony Melton
2018-12-26,20-212,PHO,AWAY,ORL,W (+2),1,18:11,2,3,.667,0,0,,0,0,,0,3,3,1,0,1,2,4,4,1.4,-13,De'Anthony Melton
2018-12-28,20-214,PHO,HOME,OKC,L (-16),1,24:27,1,5,.200,0,2,.000,2,2,1.000,2,1,3,2,1,1,3,2,4,1.9,-15,De'Anthony Melton
2018-12-29,20-215,PHO,HOME,DEN,L (-4),1,30:19,2,10,.200,1,4,.250,0,0,,0,3,3,4,3,0,0,4,5,3.9,+5,De'Anthony Melton
2018-12-31,20-217,PHO,HOME,GSW,L (-23),1,26:43,2,5,.400,1,2,.500,2,2,1.000,1,2,3,2,4,1,0,5,7,9.7,-20,De'Anthony Melton
2019-01-02,20-219,PHO,HOME,PHI,L (-5),1,22:40,3,6,.500,1,2,.500,3,4,.750,1,2,3,3,2,1,4,2,10,7.9,-20,De'Anthony Melton
2019-01-04,20-221,PHO,HOME,LAC,L (-10),1,16:06,3,6,.500,1,1,1.000,0,0,,0,0,0,2,1,1,0,1,7,6.7,-2,De'Anthony Melton
2019-01-06,20-223,PHO,HOME,CHO,L (-6),1,26:28,2,4,.500,1,3,.333,0,0,,0,7,7,4,1,0,2,5,5,4.9,-3,De'Anthony Melton
2019-01-08,20-225,PHO,HOME,SAC,W (+4),1,31:28,4,9,.444,1,4,.250,1,2,.500,1,3,4,8,4,2,4,2,10,12.7,+18,De'Anthony Melton
2019-01-09,20-226,PHO,AWAY,DAL,L (-10),1,24:50,2,5,.400,0,0,,0,0,,0,3,3,6,2,2,2,6,4,5.4,0,De'Anthony Melton
2019-01-12,20-229,PHO,HOME,DEN,W (+9),1,32:25,0,7,.000,0,3,.000,2,2,1.000,1,2,3,10,4,1,2,4,2,6.5,-6,De'Anthony Melton
2019-01-15,20-232,PHO,AWAY,IND,L (-34),1,22:03,1,7,.143,1,3,.333,0,0,,2,2,4,8,1,2,3,2,3,4.7,-30,De'Anthony Melton
2019-01-17,20-234,PHO,AWAY,TOR,L (-2),1,16:07,1,4,.250,0,2,.000,0,0,,0,3,3,2,1,1,0,4,2,2.0,-4,De'Anthony Melton
2019-01-19,20-236,PHO,AWAY,CHO,L (-20),1,13:14,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,1,1,1,3,3.7,-25,De'Anthony Melton
2019-01-20,20-237,PHO,AWAY,MIN,L (-2),1,13:03,2,4,.500,0,2,.000,0,0,,1,1,2,3,1,0,1,3,4,3.9,+4,De'Anthony Melton
2019-01-22,20-239,PHO,HOME,MIN,L (-27),1,22:16,2,6,.333,0,1,.000,0,0,,0,1,1,3,2,0,1,0,4,4.0,-15,De'Anthony Melton
2019-01-24,20-241,PHO,HOME,POR,L (-14),1,11:43,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,2,3,2,-1.2,-6,De'Anthony Melton
2019-02-23,20-271,PHO,AWAY,ATL,L (-8),0,13:38,2,3,.667,0,1,.000,0,0,,0,2,2,3,1,0,0,2,4,5.6,+11,De'Anthony Melton
2019-02-25,20-273,PHO,AWAY,MIA,W (+3),0,5:21,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.7,-1,De'Anthony Melton
2019-03-01,20-277,PHO,HOME,NOP,L (-14),0,17:04,2,7,.286,2,4,.500,0,0,,0,2,2,2,1,0,1,1,6,3.5,-5,De'Anthony Melton
2019-03-02,20-278,PHO,HOME,LAL,W (+9),0,15:36,3,5,.600,0,1,.000,0,0,,2,4,6,4,1,1,0,1,6,10.4,+9,De'Anthony Melton
2019-03-06,20-282,PHO,HOME,NYK,W (+11),0,7:24,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-8,De'Anthony Melton
2019-03-09,20-285,PHO,AWAY,POR,L (-7),0,8:05,0,0,,0,0,,0,0,,0,0,0,3,0,0,0,1,0,1.7,+3,De'Anthony Melton
2019-03-16,20-292,PHO,AWAY,NOP,W (+2),1,28:51,3,7,.429,0,1,.000,0,0,,0,8,8,5,3,0,1,4,6,8.6,-7,De'Anthony Melton
2019-03-18,20-294,PHO,HOME,CHI,L (-15),1,21:45,0,2,.000,0,1,.000,0,0,,0,2,2,4,1,0,1,2,0,1.2,-10,De'Anthony Melton
2019-03-21,20-297,PHO,HOME,DET,L (-20),0,21:26,3,4,.750,1,2,.500,0,0,,2,1,3,2,0,0,2,0,7,6.5,-4,De'Anthony Melton
2019-03-23,20-299,PHO,AWAY,SAC,L (-9),1,21:34,1,2,.500,1,2,.500,0,0,,0,3,3,3,1,2,2,4,3,3.8,+5,De'Anthony Melton
2019-03-25,20-301,PHO,AWAY,UTA,L (-33),1,22:15,0,1,.000,0,1,.000,0,2,.000,0,3,3,1,1,0,2,1,0,-1.3,-12,De'Anthony Melton
