DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2007-10-31,22-011,WAS,AWAY,IND,L (-9),0,1:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,Dominic McGuire
2007-11-02,22-013,WAS,AWAY,BOS,L (-20),0,4:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1,Dominic McGuire
2007-11-03,22-014,WAS,HOME,ORL,L (-12),0,5:10,0,2,.000,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-1.4,+7,Dominic McGuire
2007-11-09,22-020,WAS,HOME,DEN,L (-26),0,5:06,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,2,0.7,-8,Dominic McGuire
2007-11-17,22-028,WAS,HOME,POR,W (+19),0,3:47,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,2,0.2,-4,Dominic McGuire
2007-11-20,22-031,WAS,HOME,PHI,W (+15),0,12:51,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,1.4,-20,Dominic McGuire
2007-11-21,22-032,WAS,AWAY,CHA,W (+3),0,14:27,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,1,0,0,-0.7,0,Dominic McGuire
2007-11-23,22-034,WAS,HOME,GSW,L (-8),0,3:52,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.1,-2,Dominic McGuire
2007-11-24,22-035,WAS,AWAY,MEM,L (-6),0,3:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-5,Dominic McGuire
2007-11-28,22-039,WAS,AWAY,SAS,L (-15),0,2:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Dominic McGuire
2007-11-30,22-041,WAS,AWAY,PHI,L (-1),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Dominic McGuire
