DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-11-29,25-173,CHA,HOME,BOS,L (-5),0,13:19,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,2,1,-0.9,+2,Dwayne Jones
2008-12-01,25-175,CHA,HOME,MIN,W (+10),0,7:18,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,1,2,3,1.5,0,Dwayne Jones
2008-12-03,25-177,CHA,HOME,OKC,W (+6),0,5:57,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,2.6,-5,Dwayne Jones
2008-12-06,25-180,CHA,HOME,CLE,L (-20),0,17:34,1,3,.333,0,0,,0,0,,2,4,6,0,0,1,2,0,2,1.6,+7,Dwayne Jones
2008-12-08,25-182,CHA,AWAY,MIA,L (-4),0,2:52,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,0,0,2,3.1,+3,Dwayne Jones
2008-12-10,25-184,CHA,AWAY,NOH,L (-16),0,5:28,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,-5,Dwayne Jones
2006-02-10,22-246,BOS,HOME,POR,W (+32),0,10:28,1,1,1.000,0,0,,1,4,.250,2,2,4,0,0,1,1,3,3,2.0,+1,Dwayne Jones
2006-02-12,22-248,BOS,HOME,ORL,W (+8),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Dwayne Jones
2006-02-21,22-257,BOS,AWAY,UTA,W (+20),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Dwayne Jones
2006-02-24,22-260,BOS,AWAY,POR,W (+6),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Dwayne Jones
2006-03-05,22-269,BOS,AWAY,TOR,L (-6),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Dwayne Jones
2006-03-14,22-278,BOS,AWAY,MEM,L (-17),0,2:27,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,0,Dwayne Jones
2006-03-22,22-286,BOS,HOME,TOR,W (+14),0,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,Dwayne Jones
2006-03-29,22-293,BOS,AWAY,NYK,W (+25),0,6:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-2.1,-11,Dwayne Jones
2006-04-01,22-296,BOS,AWAY,CHI,L (-6),0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Dwayne Jones
2006-04-05,22-300,BOS,HOME,WAS,L (-17),0,0:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,Dwayne Jones
2006-04-09,22-304,BOS,HOME,NYK,L (-15),0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Dwayne Jones
2006-04-16,22-311,BOS,AWAY,NJN,L (-2),0,3:40,1,1,1.000,0,0,,0,1,.000,0,3,3,0,0,0,0,0,2,2.2,+7,Dwayne Jones
2006-04-17,22-312,BOS,HOME,CLE,L (-5),0,29:33,0,2,.000,0,0,,2,2,1.000,3,10,13,1,0,1,1,5,2,4.1,+16,Dwayne Jones
2006-04-19,22-314,BOS,HOME,MIA,W (+7),0,28:01,2,4,.500,0,0,,3,4,.750,5,5,10,1,1,0,0,4,7,9.7,+16,Dwayne Jones
2010-04-13,26-308,PHO,HOME,DEN,W (+22),0,5:38,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-2,Dwayne Jones
2010-04-14,26-309,PHO,AWAY,UTA,W (+14),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1,Dwayne Jones
2006-12-29,23-203,CLE,HOME,MIL,W (+10),0,6:10,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,1,0,-0.9,-1,Dwayne Jones
2007-01-30,23-235,CLE,HOME,GSW,W (+27),0,5:28,0,0,,0,0,,3,4,.750,0,1,1,0,0,0,0,0,3,2.9,+3,Dwayne Jones
2007-02-22,23-258,CLE,HOME,CHI,L (-6),0,3:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,0,Dwayne Jones
2007-03-13,23-277,CLE,HOME,SAC,W (+24),0,3:28,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,2,0,-1.2,0,Dwayne Jones
2007-10-31,24-144,CLE,HOME,DAL,L (-18),0,5:31,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-3,Dwayne Jones
2007-11-02,24-146,CLE,HOME,NYK,W (+4),0,17:34,1,1,1.000,0,0,,0,1,.000,1,2,3,0,0,2,0,4,2,2.4,+8,Dwayne Jones
2007-11-06,24-150,CLE,AWAY,GSW,W (+4),0,1:57,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-9,Dwayne Jones
2007-11-07,24-151,CLE,AWAY,UTA,L (-2),0,8:52,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-0.2,-5,Dwayne Jones
2007-11-09,24-153,CLE,AWAY,SAC,W (+2),0,6:05,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-2,Dwayne Jones
2007-11-11,24-155,CLE,AWAY,LAC,W (+8),0,1:05,0,0,,0,0,,0,2,.000,1,0,1,0,0,0,0,1,0,-0.5,-1,Dwayne Jones
2007-11-12,24-156,CLE,AWAY,DEN,L (-22),0,14:19,2,3,.667,0,0,,4,6,.667,5,5,10,0,0,1,0,1,8,11.2,+3,Dwayne Jones
2007-11-14,24-158,CLE,HOME,ORL,L (-1),0,10:24,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,0,2,0,0.2,-3,Dwayne Jones
2007-11-16,24-160,CLE,HOME,UTA,W (+5),0,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-0.9,0,Dwayne Jones
2007-11-20,24-164,CLE,HOME,MIL,L (-4),0,1:53,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,1.3,0,Dwayne Jones
2007-11-21,24-165,CLE,AWAY,MIN,W (+11),0,23:51,2,3,.667,0,0,,0,2,.000,4,6,10,1,0,0,0,2,4,6.4,0,Dwayne Jones
2007-11-25,24-169,CLE,AWAY,IND,W (+5),0,4:30,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,0,Dwayne Jones
2007-11-27,24-171,CLE,HOME,BOS,W (+5),0,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Dwayne Jones
2007-11-28,24-172,CLE,AWAY,DET,L (-35),0,20:58,2,2,1.000,0,0,,0,0,,2,3,5,0,1,0,0,4,4,5.1,-28,Dwayne Jones
2007-12-02,24-176,CLE,AWAY,BOS,L (-10),0,18:22,3,3,1.000,0,0,,0,0,,6,4,10,2,0,2,0,4,6,11.7,+15,Dwayne Jones
2007-12-04,24-178,CLE,HOME,NJN,L (-21),0,27:31,3,4,.750,0,0,,3,4,.750,8,4,12,1,1,0,1,5,9,12.5,-7,Dwayne Jones
2007-12-05,24-179,CLE,AWAY,WAS,L (-19),0,11:04,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,1,1,4,2.3,-12,Dwayne Jones
2007-12-08,24-182,CLE,AWAY,CHA,L (-3),0,9:17,1,2,.500,0,0,,0,2,.000,4,1,5,1,0,0,1,3,2,1.8,0,Dwayne Jones
2007-12-19,24-193,CLE,AWAY,NYK,L (-18),0,6:07,0,0,,0,0,,0,2,.000,1,2,3,0,1,0,2,2,0,-1.3,-2,Dwayne Jones
2007-12-25,24-199,CLE,HOME,MIA,W (+14),0,6:25,0,0,,0,0,,0,2,.000,1,2,3,0,0,0,0,3,0,-0.7,-10,Dwayne Jones
2007-12-29,24-203,CLE,AWAY,NOH,L (-10),0,1:06,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,+4,Dwayne Jones
2008-01-02,24-207,CLE,HOME,ATL,W (+4),0,8:13,0,0,,0,0,,0,0,,0,1,1,0,0,2,1,1,0,0.3,-2,Dwayne Jones
2008-01-04,24-209,CLE,HOME,SAC,W (+4),0,5:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,Dwayne Jones
2008-01-06,24-211,CLE,AWAY,TOR,W (+3),0,0:51,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,0,Dwayne Jones
2008-01-08,24-213,CLE,HOME,SEA,W (+16),0,5:54,0,0,,0,0,,0,0,,1,1,2,1,0,1,2,2,0,-0.4,-2,Dwayne Jones
2008-01-09,24-214,CLE,AWAY,ATL,L (-9),0,1:33,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-0.4,0,Dwayne Jones
2008-01-11,24-216,CLE,HOME,CHA,W (+7),0,2:38,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,0.6,-3,Dwayne Jones
2008-01-23,24-228,CLE,HOME,WAS,W (+36),0,12:00,1,2,.500,0,0,,4,6,.667,3,4,7,0,0,2,1,2,6,7.1,+4,Dwayne Jones
2008-01-30,24-235,CLE,AWAY,POR,W (+1),0,5:10,0,0,,0,0,,4,4,1.000,1,0,1,0,0,0,0,0,4,4.7,+3,Dwayne Jones
2008-01-31,24-236,CLE,AWAY,SEA,L (-6),0,25:16,1,1,1.000,0,0,,1,2,.500,5,2,7,0,1,3,1,2,3,7.7,+10,Dwayne Jones
2008-02-02,24-238,CLE,HOME,LAC,W (+14),0,12:29,0,0,,0,0,,1,4,.250,0,2,2,0,0,0,0,2,1,-0.4,-15,Dwayne Jones
2008-02-05,24-241,CLE,HOME,BOS,W (+1),0,12:52,1,1,1.000,0,0,,1,3,.333,0,2,2,0,0,0,1,3,3,0.3,+7,Dwayne Jones
2008-02-07,24-243,CLE,AWAY,HOU,L (-15),0,15:52,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-2,Dwayne Jones
2008-02-08,24-244,CLE,AWAY,ATL,W (+5),0,10:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-0.5,+3,Dwayne Jones
2008-02-10,24-246,CLE,HOME,DEN,L (-30),0,17:12,1,1,1.000,0,0,,0,0,,2,2,4,1,0,1,0,2,2,4.3,-3,Dwayne Jones
2008-02-11,24-247,CLE,AWAY,ORL,W (+7),0,22:27,0,1,.000,0,0,,2,2,1.000,0,5,5,0,0,1,0,5,2,1.5,0,Dwayne Jones
2008-02-13,24-249,CLE,HOME,SAS,L (-7),0,7:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0,Dwayne Jones
2008-02-19,24-255,CLE,HOME,HOU,L (-8),0,5:14,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.1,-1,Dwayne Jones
