DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2007-11-09,21-204,BOS,HOME,ATL,W (+23),0,3:21,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,4,4.1,+2,Gabe Pruitt
2007-11-14,21-209,BOS,HOME,NJN,W (+22),0,2:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,Gabe Pruitt
2007-11-29,21-224,BOS,HOME,NYK,W (+45),0,12:43,1,6,.167,0,1,.000,0,0,,0,1,1,3,0,0,0,1,2,0.2,+4,Gabe Pruitt
2007-12-14,21-239,BOS,HOME,MIL,W (+22),0,5:18,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,1,7,7.7,+1,Gabe Pruitt
2007-12-16,21-241,BOS,AWAY,TOR,W (+13),0,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Gabe Pruitt
2007-12-30,21-255,BOS,AWAY,LAL,W (+19),0,1:37,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,Gabe Pruitt
2008-01-09,21-265,BOS,HOME,CHA,L (-12),0,0:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Gabe Pruitt
2008-01-16,21-272,BOS,HOME,POR,W (+10),0,11:58,1,6,.167,0,3,.000,0,0,,0,2,2,1,1,0,0,2,2,-0.3,-3,Gabe Pruitt
2008-01-18,21-274,BOS,HOME,PHI,W (+27),0,9:17,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,2,0,3,0.3,+1,Gabe Pruitt
2008-01-27,21-283,BOS,AWAY,ORL,L (-3),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Gabe Pruitt
2008-01-29,21-285,BOS,AWAY,MIA,W (+30),0,10:12,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,0,0,-1.1,-9,Gabe Pruitt
2008-02-25,21-312,BOS,AWAY,LAC,W (+28),0,9:40,3,4,.750,0,1,.000,0,0,,0,0,0,1,1,0,1,1,6,4.7,+4,Gabe Pruitt
2008-04-11,21-358,BOS,HOME,MIL,W (+16),0,7:43,1,2,.500,0,0,,0,0,,0,0,0,2,1,0,1,1,2,2.0,-2,Gabe Pruitt
2008-04-14,21-361,BOS,AWAY,NYK,W (+6),0,6:40,0,2,.000,0,1,.000,1,2,.500,1,0,1,0,0,0,0,2,1,-0.9,-3,Gabe Pruitt
2008-04-16,21-363,BOS,HOME,NJN,W (+11),0,12:33,2,6,.333,1,1,1.000,0,0,,0,1,1,3,0,0,0,2,5,3.2,-1,Gabe Pruitt
2008-10-31,22-195,BOS,HOME,CHI,W (+16),0,6:03,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,3,3.0,-6,Gabe Pruitt
2008-11-01,22-196,BOS,AWAY,IND,L (-16),0,4:17,0,1,.000,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,0,1,0.3,+8,Gabe Pruitt
2008-11-07,22-202,BOS,HOME,MIL,W (+12),0,4:10,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-6,Gabe Pruitt
2008-11-14,22-209,BOS,HOME,DEN,L (-9),0,0:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Gabe Pruitt
2008-11-20,22-215,BOS,HOME,DET,W (+18),0,12:00,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,2,2,2,-1.9,-2,Gabe Pruitt
2008-11-21,22-216,BOS,AWAY,MIN,W (+17),0,4:26,1,2,.500,0,0,,3,4,.750,0,0,0,0,0,0,1,0,5,2.6,-2,Gabe Pruitt
2008-11-23,22-218,BOS,AWAY,TOR,W (+15),0,4:21,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,+1,Gabe Pruitt
2008-12-03,22-228,BOS,HOME,IND,W (+18),0,2:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Gabe Pruitt
2008-12-05,22-230,BOS,HOME,POR,W (+15),0,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Gabe Pruitt
2008-12-11,22-236,BOS,AWAY,WAS,W (+34),0,6:20,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7,+9,Gabe Pruitt
2008-12-15,22-240,BOS,HOME,UTA,W (+9),0,9:01,2,3,.667,2,3,.667,2,2,1.000,0,0,0,0,1,0,0,2,8,6.9,+2,Gabe Pruitt
2008-12-19,22-244,BOS,HOME,CHI,W (+18),0,13:30,1,3,.333,1,3,.333,0,0,,1,1,2,1,1,0,0,0,3,4.0,-9,Gabe Pruitt
2008-12-21,22-246,BOS,HOME,NYK,W (+19),0,5:08,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,0.3,-2,Gabe Pruitt
2008-12-23,22-248,BOS,HOME,PHI,W (+19),0,9:42,1,2,.500,1,2,.500,1,2,.500,1,1,2,2,0,0,0,2,4,4.2,-3,Gabe Pruitt
2008-12-26,22-251,BOS,AWAY,GSW,L (-10),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Gabe Pruitt
2008-12-28,22-253,BOS,AWAY,SAC,W (+45),0,12:00,2,4,.500,0,1,.000,1,2,.500,0,2,2,3,1,0,1,0,5,5.3,+9,Gabe Pruitt
2009-01-02,22-258,BOS,HOME,WAS,W (+25),0,11:48,0,4,.000,0,2,.000,2,2,1.000,1,1,2,0,0,0,0,1,2,-0.2,-6,Gabe Pruitt
2009-01-04,22-260,BOS,AWAY,NYK,L (-12),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+2,Gabe Pruitt
2009-01-06,22-262,BOS,AWAY,CHA,L (-8),0,6:29,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,1.3,+8,Gabe Pruitt
2009-01-07,22-263,BOS,HOME,HOU,L (-4),0,15:10,3,5,.600,1,2,.500,0,0,,0,1,1,0,0,0,1,1,7,3.6,0,Gabe Pruitt
2009-01-09,22-265,BOS,AWAY,CLE,L (-15),0,11:21,1,4,.250,0,1,.000,0,0,,0,3,3,2,0,0,1,0,2,0.9,+6,Gabe Pruitt
2009-01-11,22-267,BOS,AWAY,TOR,W (+6),0,5:29,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,0.6,-6,Gabe Pruitt
2009-01-12,22-268,BOS,HOME,TOR,W (+6),0,10:26,1,4,.250,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,1.3,0,Gabe Pruitt
2009-01-14,22-270,BOS,HOME,NJN,W (+32),0,19:06,2,4,.500,1,2,.500,4,4,1.000,1,2,3,4,1,0,0,4,9,10.5,+13,Gabe Pruitt
2009-01-17,22-273,BOS,AWAY,NJN,W (+20),0,18:25,1,4,.250,1,2,.500,0,0,,1,0,1,2,1,0,3,1,3,0.3,-2,Gabe Pruitt
2009-01-19,22-275,BOS,HOME,PHO,W (+17),0,12:00,1,4,.250,0,0,,0,0,,0,1,1,3,2,0,0,1,2,3.6,-14,Gabe Pruitt
2009-01-21,22-277,BOS,AWAY,MIA,W (+15),0,8:57,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,3,0,-3.2,-7,Gabe Pruitt
2009-01-22,22-278,BOS,AWAY,ORL,W (+10),0,6:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+2,Gabe Pruitt
2009-01-25,22-281,BOS,HOME,DAL,W (+24),0,14:23,2,7,.286,1,3,.333,0,0,,0,2,2,2,0,0,0,3,5,1.7,-2,Gabe Pruitt
2009-01-28,22-284,BOS,HOME,SAC,W (+19),0,8:33,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,1,1,2,2,0.9,+1,Gabe Pruitt
2009-02-11,22-298,BOS,AWAY,NOH,W (+12),0,17:00,1,6,.167,0,3,.000,0,0,,0,1,1,0,2,1,0,2,2,0.4,-1,Gabe Pruitt
2009-02-12,22-299,BOS,AWAY,DAL,W (+7),0,7:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,Gabe Pruitt
2009-02-19,22-306,BOS,AWAY,UTA,L (-5),0,15:17,1,5,.200,0,3,.000,0,0,,0,2,2,1,0,0,2,4,2,-3.4,-1,Gabe Pruitt
2009-02-22,22-309,BOS,AWAY,PHO,W (+20),0,5:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4,Gabe Pruitt
2009-02-23,22-310,BOS,AWAY,DEN,W (+38),0,17:20,2,4,.500,1,1,1.000,0,0,,0,2,2,3,1,0,0,2,5,5.9,+13,Gabe Pruitt
2009-02-25,22-312,BOS,AWAY,LAC,L (-2),0,5:38,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,+7,Gabe Pruitt
2009-03-08,22-323,BOS,HOME,ORL,L (-7),0,2:13,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-4,Gabe Pruitt
2009-03-11,22-326,BOS,AWAY,MIA,L (-8),0,6:25,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,0,0,0.0,+5,Gabe Pruitt
2009-03-13,22-328,BOS,HOME,MEM,W (+10),0,1:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4,Gabe Pruitt
2009-03-15,22-330,BOS,AWAY,MIL,L (-9),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Gabe Pruitt
2009-03-17,22-332,BOS,AWAY,CHI,L (-6),0,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Gabe Pruitt
2009-03-18,22-333,BOS,HOME,MIA,W (+4),0,4:20,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-8,Gabe Pruitt
2009-03-21,22-336,BOS,AWAY,MEM,W (+18),0,4:43,1,2,.500,0,0,,0,0,,1,0,1,2,0,0,0,0,2,3.1,-3,Gabe Pruitt
2009-03-23,22-338,BOS,HOME,LAC,W (+13),0,4:29,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-6,Gabe Pruitt
2009-03-29,22-344,BOS,HOME,OKC,W (+19),0,1:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+3,Gabe Pruitt
2009-04-12,22-358,BOS,AWAY,CLE,L (-31),0,2:04,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4,Gabe Pruitt
2009-04-15,22-361,BOS,HOME,WAS,W (+8),0,21:17,3,9,.333,1,4,.250,0,0,,0,3,3,6,3,0,1,0,7,9.0,+11,Gabe Pruitt
