DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2020-12-23,22-023,BOS,HOME,MIL,W (+1),0,14:35,1,5,.200,1,4,.250,0,0,,0,1,1,1,1,0,1,2,3,0.1,-19,Grant Williams
2020-12-25,22-025,BOS,HOME,BRK,L (-28),0,18:33,2,4,.500,0,1,.000,0,0,,2,4,6,4,0,1,0,3,4,6.9,-4,Grant Williams
2020-12-27,22-027,BOS,AWAY,IND,L (-1),0,22:53,2,4,.500,1,2,.500,1,4,.250,2,2,4,0,0,0,1,4,6,2.2,+3,Grant Williams
2020-12-29,22-029,BOS,AWAY,IND,W (+5),0,5:13,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,1.3,-10,Grant Williams
2020-12-30,22-030,BOS,HOME,MEM,W (+19),0,20:38,1,4,.250,0,2,.000,0,0,,0,2,2,0,2,0,0,4,2,0.6,+1,Grant Williams
2021-01-01,22-032,BOS,AWAY,DET,L (-3),0,19:23,4,6,.667,0,1,.000,0,0,,2,2,4,0,0,0,0,4,8,5.8,-3,Grant Williams
2021-01-04,22-035,BOS,AWAY,TOR,W (+12),0,23:56,5,9,.556,3,4,.750,1,1,1.000,2,4,6,0,0,3,3,5,14,9.4,+28,Grant Williams
2021-01-06,22-037,BOS,AWAY,MIA,W (+2),0,28:05,2,7,.286,1,2,.500,0,0,,3,3,6,1,2,1,1,2,5,5.5,+8,Grant Williams
2021-01-15,22-046,BOS,HOME,ORL,W (+27),1,23:00,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2,0.9,+14,Grant Williams
2021-01-17,22-048,BOS,HOME,NYK,L (-30),1,24:25,1,5,.200,0,4,.000,1,4,.250,1,1,2,1,1,0,1,5,3,-1.6,-18,Grant Williams
2021-01-20,22-051,BOS,AWAY,PHI,L (-8),1,15:49,1,3,.333,1,2,.500,1,2,.500,1,1,2,0,0,0,0,5,4,0.9,-10,Grant Williams
2021-01-22,22-053,BOS,AWAY,PHI,L (-12),1,11:10,1,3,.333,1,1,1.000,0,0,,1,0,1,2,0,0,1,4,3,0.8,-14,Grant Williams
2021-01-24,22-055,BOS,HOME,CLE,W (+38),0,12:00,1,3,.333,0,0,,0,0,,0,3,3,1,1,0,3,1,2,-0.5,+2,Grant Williams
2021-01-25,22-056,BOS,AWAY,CHI,W (+16),0,10:05,2,4,.500,2,3,.667,2,3,.667,1,3,4,1,0,0,1,3,8,5.7,+3,Grant Williams
2021-01-27,22-058,BOS,AWAY,SAS,L (-4),0,11:08,1,1,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,0,1,3,3.6,+5,Grant Williams
2021-02-02,22-064,BOS,AWAY,GSW,W (+4),0,27:21,4,4,1.000,3,3,1.000,4,6,.667,2,2,4,0,0,2,1,1,15,15.0,-13,Grant Williams
2021-02-03,22-065,BOS,AWAY,SAC,L (-5),0,14:59,1,3,.333,1,3,.333,2,4,.500,3,2,5,0,0,0,2,4,5,1.6,-10,Grant Williams
2021-02-05,22-067,BOS,AWAY,LAC,W (+4),1,31:49,3,6,.500,3,4,.750,2,2,1.000,0,4,4,2,0,0,0,3,11,9.4,+3,Grant Williams
2021-02-07,22-069,BOS,AWAY,PHO,L (-9),1,23:19,4,8,.500,2,6,.333,0,0,,0,1,1,3,0,1,1,2,10,7.3,-10,Grant Williams
2021-02-09,22-071,BOS,AWAY,UTA,L (-14),0,27:35,4,8,.500,1,3,.333,0,1,.000,0,4,4,1,2,1,2,5,9,5.2,-8,Grant Williams
