DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-10-29,26-113,MEM,AWAY,HOU,L (-11),0,14:43,3,4,.750,0,0,,2,4,.500,1,1,2,0,0,0,2,2,8,3.8,-3,Hakim Warrick
2008-10-31,26-115,MEM,HOME,ORL,W (+2),0,31:08,1,3,.333,0,0,,4,6,.667,2,1,3,0,0,0,0,3,6,4.0,+4,Hakim Warrick
2008-11-01,26-116,MEM,AWAY,CHI,L (-10),0,35:25,7,13,.538,0,0,,4,4,1.000,2,5,7,2,1,1,1,3,18,15.5,-2,Hakim Warrick
2008-11-03,26-118,MEM,HOME,GSW,W (+11),0,32:12,4,12,.333,0,0,,1,4,.250,3,4,7,1,0,0,1,3,9,2.8,+13,Hakim Warrick
2008-11-05,26-120,MEM,AWAY,SAC,L (-5),0,20:42,4,6,.667,0,0,,0,2,.000,1,2,3,0,1,0,2,0,8,4.9,-9,Hakim Warrick
2008-11-07,26-122,MEM,AWAY,GSW,W (+5),0,37:52,7,12,.583,0,0,,5,6,.833,3,7,10,3,1,0,0,3,19,19.1,+9,Hakim Warrick
2008-11-09,26-124,MEM,AWAY,DEN,L (-10),0,20:28,1,5,.200,0,0,,4,5,.800,0,1,1,1,0,1,1,3,6,2.0,-6,Hakim Warrick
2008-11-10,26-125,MEM,AWAY,PHO,L (-5),0,23:37,3,6,.500,0,0,,3,4,.750,0,5,5,0,1,1,2,1,9,6.4,+11,Hakim Warrick
2008-11-12,26-127,MEM,HOME,NYK,L (-29),0,16:34,2,7,.286,0,0,,2,2,1.000,3,5,8,0,0,0,0,0,6,5.5,-20,Hakim Warrick
2008-11-14,26-129,MEM,HOME,MIL,L (-5),0,29:37,3,8,.375,0,0,,2,2,1.000,3,7,10,1,2,1,2,6,8,6.8,+11,Hakim Warrick
2008-11-18,26-133,MEM,HOME,SAC,W (+15),0,34:01,7,12,.583,0,0,,7,9,.778,3,7,10,1,0,0,4,2,21,14.7,+10,Hakim Warrick
2008-11-21,26-136,MEM,AWAY,DAL,L (-15),0,26:13,2,6,.333,0,0,,0,0,,3,3,6,0,0,0,1,2,4,1.8,0,Hakim Warrick
2008-11-22,26-137,MEM,HOME,UTA,L (-9),0,14:45,0,2,.000,0,0,,4,4,1.000,0,3,3,0,0,0,1,3,4,1.3,-18,Hakim Warrick
2008-11-24,26-139,MEM,HOME,SAS,L (-13),0,6:47,1,4,.250,0,0,,1,2,.500,0,0,0,0,0,0,1,1,3,-1.2,-1,Hakim Warrick
2008-11-26,26-141,MEM,AWAY,UTA,L (-17),0,22:45,4,6,.667,0,0,,0,4,.000,1,4,5,1,1,0,5,5,8,0.4,-7,Hakim Warrick
2008-11-28,26-143,MEM,AWAY,SAS,L (-11),0,9:06,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,0,1,2,0.6,-10,Hakim Warrick
2008-11-29,26-144,MEM,HOME,OKC,L (-8),0,15:35,1,1,1.000,0,0,,1,2,.500,0,1,1,0,2,0,0,0,3,4.6,0,Hakim Warrick
2008-12-03,26-148,MEM,AWAY,ATL,L (-10),0,25:45,8,12,.667,0,0,,4,5,.800,1,1,2,1,2,0,0,3,20,16.9,+6,Hakim Warrick
2008-12-05,26-150,MEM,HOME,LAC,W (+12),0,27:43,5,10,.500,0,0,,4,4,1.000,1,3,4,0,2,1,0,0,14,13.3,+6,Hakim Warrick
2008-12-06,26-151,MEM,AWAY,NOH,L (-19),0,17:03,4,8,.500,0,0,,2,3,.667,0,3,3,2,0,1,2,2,10,5.8,-15,Hakim Warrick
2008-12-08,26-153,MEM,HOME,HOU,W (+12),0,34:47,6,12,.500,0,0,,6,11,.545,2,6,8,1,0,2,2,4,18,11.7,+7,Hakim Warrick
2008-12-10,26-155,MEM,AWAY,OKC,W (+6),0,15:19,2,5,.400,0,0,,5,6,.833,2,4,6,1,0,0,0,2,9,8.4,+6,Hakim Warrick
2008-12-12,26-157,MEM,HOME,CHI,W (+7),0,29:13,9,12,.750,0,0,,3,4,.750,3,3,6,0,0,0,0,4,21,17.2,+9,Hakim Warrick
2008-12-14,26-159,MEM,HOME,MIA,W (+16),0,21:27,1,5,.200,0,1,.000,2,2,1.000,0,5,5,1,1,0,2,3,4,0.9,-4,Hakim Warrick
2008-12-16,26-161,MEM,HOME,NOH,L (-7),0,18:08,3,4,.750,1,1,1.000,1,2,.500,1,3,4,0,0,1,1,4,8,5.7,+1,Hakim Warrick
2008-12-19,26-164,MEM,HOME,CHA,L (-29),0,19:05,3,6,.500,0,0,,3,4,.750,1,3,4,0,0,0,0,0,9,7.2,-4,Hakim Warrick
2008-12-22,26-167,MEM,HOME,LAL,L (-9),0,24:18,5,11,.455,0,0,,4,6,.667,1,3,4,3,0,0,0,1,14,10.8,+7,Hakim Warrick
2008-12-23,26-168,MEM,AWAY,DAL,L (-18),0,29:54,6,12,.500,0,0,,5,6,.833,1,4,5,3,0,0,1,3,17,12.4,-4,Hakim Warrick
2008-12-26,26-171,MEM,HOME,IND,W (+3),0,26:48,8,13,.615,0,1,.000,5,9,.556,1,4,5,1,0,2,0,2,21,16.7,+13,Hakim Warrick
2008-12-27,26-172,MEM,AWAY,SAS,L (-3),0,23:20,6,10,.600,0,1,.000,4,4,1.000,1,6,7,1,1,1,3,1,16,12.9,+12,Hakim Warrick
2008-12-29,26-174,MEM,AWAY,MIN,L (-10),0,27:03,4,12,.333,0,2,.000,4,5,.800,3,5,8,0,0,1,1,3,12,6.9,-5,Hakim Warrick
2008-12-30,26-175,MEM,HOME,PHO,L (-12),0,35:01,7,11,.636,0,0,,11,14,.786,2,1,3,2,3,1,1,4,25,23.1,-5,Hakim Warrick
2009-01-02,26-178,MEM,HOME,SAS,L (-11),0,34:14,7,16,.438,1,3,.333,1,1,1.000,3,3,6,1,0,2,2,0,16,10.7,-3,Hakim Warrick
2009-01-04,26-180,MEM,HOME,DAL,W (+20),0,30:30,6,13,.462,0,0,,6,6,1.000,3,4,7,1,2,1,0,3,18,16.8,+16,Hakim Warrick
2009-01-06,26-182,MEM,HOME,MIN,L (-7),0,36:47,7,16,.438,0,0,,8,10,.800,2,4,6,3,1,0,2,3,22,15.3,+3,Hakim Warrick
2009-01-07,26-183,MEM,AWAY,NJN,L (-11),0,32:59,4,12,.333,0,2,.000,2,5,.400,0,4,4,2,0,0,2,1,10,2.2,-6,Hakim Warrick
2009-01-09,26-185,MEM,AWAY,TOR,L (-21),0,26:51,5,9,.556,1,1,1.000,7,10,.700,3,3,6,1,1,0,1,0,18,16.2,-15,Hakim Warrick
2009-01-13,26-189,MEM,HOME,CLE,L (-15),0,26:48,7,11,.636,0,0,,2,6,.333,4,3,7,0,2,1,2,4,16,12.3,-11,Hakim Warrick
2009-01-16,26-192,MEM,HOME,UTA,L (-10),0,33:35,7,11,.636,0,0,,1,3,.333,4,1,5,2,1,3,1,2,15,15.1,-10,Hakim Warrick
2009-01-19,26-195,MEM,HOME,DET,L (-8),0,32:31,6,14,.429,0,1,.000,0,0,,2,9,11,0,0,1,1,3,12,7.2,-4,Hakim Warrick
