DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-10-22,19-057,CHO,AWAY,CLE,W (+11),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,JT Thor
2021-10-24,19-059,CHO,AWAY,BRK,W (+16),0,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,JT Thor
2021-12-05,19-101,CHO,AWAY,ATL,W (+3),0,12:28,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,3,0,-2.7,-4,JT Thor
2021-12-06,19-102,CHO,HOME,PHI,L (-3),0,20:24,3,5,.600,1,3,.333,1,2,.500,0,2,2,2,0,1,0,1,8,7.6,+7,JT Thor
2021-12-08,19-104,CHO,HOME,PHI,L (-4),0,14:41,2,3,.667,0,1,.000,1,2,.500,2,0,2,0,1,0,0,0,5,5.7,+1,JT Thor
2021-12-10,19-106,CHO,HOME,SAC,W (+1),0,27:51,2,6,.333,2,6,.333,1,2,.500,0,4,4,3,1,2,1,5,7,5.9,+9,JT Thor
2021-12-13,19-109,CHO,AWAY,DAL,L (-24),0,17:46,1,5,.200,0,2,.000,0,0,,2,0,2,1,2,0,1,3,2,0.8,-9,JT Thor
2021-12-27,19-123,CHO,HOME,HOU,W (+24),0,3:45,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,0,1,0,2,1.3,+1,JT Thor
2022-01-02,19-129,CHO,HOME,PHO,L (-34),0,6:25,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,3,0,1,2,2.7,+4,JT Thor
2022-01-05,19-132,CHO,HOME,DET,W (+29),0,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-6,JT Thor
2022-01-21,19-148,CHO,HOME,OKC,W (+23),0,4:20,0,2,.000,0,1,.000,2,2,1.000,1,2,3,1,0,0,0,0,2,2.6,0,JT Thor
2022-01-23,19-150,CHO,HOME,ATL,L (-22),0,2:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,JT Thor
2022-01-25,19-152,CHO,AWAY,TOR,L (-12),0,3:58,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,0,0,1,0,6,5.4,+7,JT Thor
2022-01-26,19-153,CHO,AWAY,IND,W (+32),0,4:52,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-3,JT Thor
2022-01-30,19-157,CHO,HOME,LAC,L (-25),0,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,JT Thor
2022-02-11,19-169,CHO,AWAY,DET,W (+22),0,3:46,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,5,5.7,-3,JT Thor
2022-02-12,19-170,CHO,HOME,MEM,L (-7),0,12:00,1,2,.500,0,0,,0,0,,0,2,2,2,1,1,0,2,2,3.9,+17,JT Thor
