DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2018-10-17,22-047,DAL,AWAY,PHO,L (-21),0,19:07,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,1,3,1.9,-3,Jalen Brunson
2018-10-20,22-050,DAL,HOME,MIN,W (+4),0,20:03,3,7,.429,1,4,.250,0,0,,0,0,0,1,1,0,1,0,7,4.0,+2,Jalen Brunson
2018-10-22,22-052,DAL,HOME,CHI,W (+6),0,14:33,2,7,.286,2,4,.500,0,0,,0,1,1,2,1,0,0,0,6,4.6,+4,Jalen Brunson
2018-10-24,22-054,DAL,AWAY,ATL,L (-7),0,18:33,3,9,.333,0,3,.000,0,0,,0,5,5,1,0,0,1,2,6,1.3,+5,Jalen Brunson
2018-10-26,22-056,DAL,AWAY,TOR,L (-9),1,29:41,3,11,.273,2,4,.500,0,0,,0,3,3,4,1,0,2,2,8,3.4,-3,Jalen Brunson
2018-10-28,22-058,DAL,HOME,UTA,L (-9),0,12:15,1,5,.200,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-0.8,-14,Jalen Brunson
2018-10-29,22-059,DAL,AWAY,SAS,L (-5),0,14:01,2,5,.400,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,1,6,2.6,-19,Jalen Brunson
2018-10-31,22-061,DAL,AWAY,LAL,L (-1),0,11:07,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,2,4,3.9,+12,Jalen Brunson
2018-11-02,22-063,DAL,HOME,NYK,L (-12),0,3:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,Jalen Brunson
2018-11-06,22-067,DAL,HOME,WAS,W (+19),0,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Jalen Brunson
2018-11-07,22-068,DAL,AWAY,UTA,L (-15),0,15:47,5,7,.714,1,2,.500,0,0,,1,1,2,2,1,0,2,0,11,9.5,+9,Jalen Brunson
2018-11-10,22-071,DAL,HOME,OKC,W (+15),0,1:38,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0.7,+2,Jalen Brunson
2018-11-12,22-073,DAL,AWAY,CHI,W (+5),0,12:54,1,3,.333,0,0,,0,2,.000,1,2,3,0,1,0,1,1,2,0.4,+12,Jalen Brunson
2018-11-14,22-075,DAL,HOME,UTA,W (+50),0,8:32,4,4,1.000,0,0,,1,1,1.000,0,2,2,4,0,0,1,1,9,9.8,+19,Jalen Brunson
2018-11-19,22-080,DAL,AWAY,MEM,L (-10),0,24:57,3,9,.333,0,1,.000,2,2,1.000,1,3,4,4,1,0,0,4,8,6.7,-5,Jalen Brunson
