DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-10-27,22-296,GSW,HOME,NOP,W (+16),0,2:31,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,2,4,2,-0.6,+2,James Michael McAdoo
2015-10-30,22-299,GSW,AWAY,HOU,W (+20),0,7:24,1,2,.500,0,0,,1,2,.500,0,1,1,1,0,0,1,3,3,0.4,-8,James Michael McAdoo
2015-10-31,22-300,GSW,AWAY,NOP,W (+14),0,3:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5,James Michael McAdoo
2015-11-02,22-302,GSW,HOME,MEM,W (+50),0,16:28,4,6,.667,0,0,,1,7,.143,1,6,7,1,0,0,0,1,9,6.8,+8,James Michael McAdoo
2015-11-04,22-304,GSW,HOME,LAC,W (+4),0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,James Michael McAdoo
2015-11-06,22-306,GSW,HOME,DEN,W (+15),0,9:54,1,4,.250,0,0,,1,4,.250,2,0,2,1,1,0,0,0,3,2.5,+2,James Michael McAdoo
2015-11-09,22-309,GSW,HOME,DET,W (+14),0,1:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,James Michael McAdoo
2015-11-11,22-311,GSW,AWAY,MEM,W (+16),0,4:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3,James Michael McAdoo
2015-11-12,22-312,GSW,AWAY,MIN,W (+13),0,2:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,James Michael McAdoo
2015-11-19,22-319,GSW,AWAY,LAC,W (+7),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,James Michael McAdoo
2015-11-20,22-320,GSW,HOME,CHI,W (+12),0,6:41,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,4,3.0,-1,James Michael McAdoo
2015-11-22,22-322,GSW,AWAY,DEN,W (+13),0,4:56,2,3,.667,0,0,,1,2,.500,3,0,3,0,1,0,1,0,5,5.4,-1,James Michael McAdoo
2015-11-30,22-330,GSW,AWAY,UTA,W (+3),0,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,James Michael McAdoo
2015-12-02,22-332,GSW,AWAY,CHO,W (+17),0,9:00,3,6,.500,0,0,,0,0,,0,0,0,0,0,1,2,3,6,0.5,-6,James Michael McAdoo
2015-12-05,22-335,GSW,AWAY,TOR,W (+3),0,3:19,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,-5,James Michael McAdoo
2015-12-06,22-336,GSW,AWAY,BRK,W (+16),0,2:11,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,James Michael McAdoo
2015-12-11,22-341,GSW,AWAY,BOS,W (+5),0,5:26,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,0,2,4,2.2,-9,James Michael McAdoo
2015-12-12,22-342,GSW,AWAY,MIL,L (-13),0,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,James Michael McAdoo
2015-12-16,22-346,GSW,HOME,PHO,W (+25),0,4:06,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-12,James Michael McAdoo
2015-12-18,22-348,GSW,HOME,MIL,W (+9),0,7:17,2,2,1.000,0,0,,0,0,,2,1,3,0,1,1,1,2,4,5.0,-6,James Michael McAdoo
2015-12-23,22-353,GSW,HOME,UTA,W (+18),0,6:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,James Michael McAdoo
2015-12-25,22-355,GSW,HOME,CLE,W (+6),0,2:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,James Michael McAdoo
2015-12-28,22-358,GSW,HOME,SAC,W (+19),0,16:47,3,6,.500,0,0,,1,2,.500,2,4,6,1,0,3,0,0,7,9.0,-5,James Michael McAdoo
2015-12-30,22-360,GSW,AWAY,DAL,L (-23),0,15:56,0,0,,0,0,,1,2,.500,0,0,0,2,1,0,1,2,1,1.2,-11,James Michael McAdoo
2015-12-31,22-361,GSW,AWAY,HOU,W (+4),0,9:27,2,3,.667,0,0,,3,4,.750,3,0,3,1,2,0,0,0,7,10.1,+7,James Michael McAdoo
2016-01-02,22-363,GSW,HOME,DEN,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,James Michael McAdoo
2016-01-04,23-000,GSW,HOME,CHO,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,James Michael McAdoo
2016-01-05,23-001,GSW,AWAY,LAL,W (+21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,James Michael McAdoo
2016-03-01,23-057,GSW,HOME,ATL,W (+4),0,4:41,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,1,0,2,0.7,-8,James Michael McAdoo
2016-03-06,23-062,GSW,AWAY,LAL,L (-17),0,6:59,2,5,.400,0,0,,3,3,1.000,2,0,2,2,0,0,0,0,7,7.1,+2,James Michael McAdoo
2016-03-07,23-063,GSW,HOME,ORL,W (+6),0,5:48,1,2,.500,0,0,,3,6,.500,1,0,1,0,0,0,0,1,5,3.1,-13,James Michael McAdoo
2016-03-09,23-065,GSW,HOME,UTA,W (+21),0,3:48,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-1.1,-1,James Michael McAdoo
2016-03-11,23-067,GSW,HOME,POR,W (+16),0,8:31,0,0,,0,0,,3,4,.750,1,2,3,0,0,0,0,0,3,3.9,-7,James Michael McAdoo
2016-03-14,23-070,GSW,HOME,NOP,W (+18),0,13:16,5,6,.833,0,0,,1,1,1.000,3,2,5,1,0,0,2,2,11,9.4,0,James Michael McAdoo
2016-03-16,23-072,GSW,HOME,NYK,W (+36),0,7:37,3,4,.750,1,1,1.000,0,0,,0,1,1,1,1,0,1,2,7,5.6,+4,James Michael McAdoo
2016-03-18,23-074,GSW,AWAY,DAL,W (+18),0,11:34,1,4,.250,0,0,,1,2,.500,2,1,3,1,0,0,1,2,3,0.8,-12,James Michael McAdoo
2016-03-19,23-075,GSW,AWAY,SAS,L (-8),0,8:34,2,2,1.000,0,0,,0,0,,1,0,1,1,0,0,0,3,4,3.6,-1,James Michael McAdoo
2016-03-21,23-077,GSW,AWAY,MIN,W (+5),1,17:34,3,8,.375,0,0,,1,2,.500,4,2,6,0,1,0,0,2,7,5.8,+3,James Michael McAdoo
2016-03-23,23-079,GSW,HOME,LAC,W (+16),0,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,James Michael McAdoo
2016-03-25,23-081,GSW,HOME,DAL,W (+8),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+2,James Michael McAdoo
2016-03-27,23-083,GSW,HOME,PHI,W (+12),0,6:32,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,2,4,1.9,-4,James Michael McAdoo
2016-03-29,23-085,GSW,HOME,WAS,W (+8),0,5:10,1,2,.500,0,0,,1,4,.250,0,0,0,0,0,1,0,1,3,1.1,-13,James Michael McAdoo
2016-04-03,23-090,GSW,HOME,POR,W (+25),0,10:06,2,3,.667,0,0,,0,0,,0,1,1,0,1,1,0,3,4,3.5,+7,James Michael McAdoo
2016-04-13,23-100,GSW,HOME,MEM,W (+21),0,2:56,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-0.7,+1,James Michael McAdoo
2017-11-11,24-311,PHI,AWAY,GSW,L (-21),0,6:52,1,4,.250,1,4,.250,2,2,1.000,0,0,0,0,0,0,1,0,5,1.6,-1,James Michael McAdoo
2017-12-23,24-353,PHI,AWAY,TOR,L (-16),0,3:41,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,0,James Michael McAdoo
2018-01-05,25-001,PHI,HOME,DET,W (+36),0,7:24,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,2.2,+2,James Michael McAdoo
2016-11-01,23-302,GSW,AWAY,POR,W (+23),0,8:51,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,0,0,5,3.6,-11,James Michael McAdoo
2016-11-03,23-304,GSW,HOME,OKC,W (+26),0,7:03,0,2,.000,0,0,,0,0,,0,0,0,1,0,1,0,0,0,0.0,-1,James Michael McAdoo
2016-11-04,23-305,GSW,AWAY,LAL,L (-20),0,4:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,James Michael McAdoo
2016-11-09,23-310,GSW,HOME,DAL,W (+21),0,4:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2,James Michael McAdoo
2016-11-18,23-319,GSW,AWAY,BOS,W (+16),0,7:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-8,James Michael McAdoo
2016-11-21,23-322,GSW,AWAY,IND,W (+37),0,8:18,0,4,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-1.8,+4,James Michael McAdoo
