DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2013-10-30,26-184,SAS,HOME,MEM,W (+7),0,11:21,1,1,1.000,0,0,,0,0,,0,2,2,2,0,1,2,4,2,0.8,-1,Jeff Ayres
2013-11-01,26-186,SAS,AWAY,LAL,W (+6),0,13:09,0,3,.000,0,0,,0,0,,1,4,5,1,0,0,3,3,0,-3.7,+11,Jeff Ayres
2013-11-02,26-187,SAS,AWAY,POR,L (-10),0,8:28,2,2,1.000,0,0,,0,1,.000,2,1,3,0,0,0,0,2,4,3.9,-2,Jeff Ayres
2013-11-05,26-190,SAS,AWAY,DEN,W (+8),0,5:47,0,0,,0,0,,1,2,.500,0,2,2,0,1,0,0,0,1,2.2,+4,Jeff Ayres
2013-11-06,26-191,SAS,HOME,PHO,W (+3),0,2:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-1.7,-3,Jeff Ayres
2013-11-08,26-193,SAS,HOME,GSW,W (+2),0,6:29,0,1,.000,0,0,,2,2,1.000,0,1,1,2,0,0,2,1,2,0.6,+4,Jeff Ayres
2013-11-10,26-195,SAS,AWAY,NYK,W (+31),0,13:35,0,3,.000,0,0,,0,0,,2,2,4,1,1,1,0,2,0,1.5,+4,Jeff Ayres
2013-11-11,26-196,SAS,AWAY,PHI,W (+24),0,24:20,3,9,.333,0,0,,0,0,,2,4,6,2,0,0,0,4,6,3.3,+9,Jeff Ayres
2013-11-13,26-198,SAS,HOME,WAS,W (+13),0,16:00,3,3,1.000,0,0,,0,0,,0,4,4,1,0,1,0,1,6,7.3,+8,Jeff Ayres
2013-11-15,26-200,SAS,AWAY,UTA,W (+9),0,7:45,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,1.2,-4,Jeff Ayres
2013-11-20,26-205,SAS,HOME,BOS,W (+11),0,8:06,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-0.2,+3,Jeff Ayres
2013-11-22,26-207,SAS,AWAY,MEM,W (+16),0,15:53,3,4,.750,0,0,,0,0,,0,2,2,0,0,0,1,3,6,2.8,+10,Jeff Ayres
2013-11-23,26-208,SAS,HOME,CLE,W (+30),0,28:08,3,6,.500,0,0,,0,0,,1,1,2,2,3,0,4,3,6,3.2,-2,Jeff Ayres
2013-11-25,26-210,SAS,HOME,NOP,W (+19),0,13:51,1,2,.500,0,0,,0,2,.000,0,2,2,1,0,0,1,2,2,-0.3,+12,Jeff Ayres
2013-11-27,26-212,SAS,AWAY,OKC,L (-6),0,11:43,0,0,,0,0,,0,0,,2,1,3,1,0,0,1,2,0,0.6,-8,Jeff Ayres
2013-11-29,26-214,SAS,AWAY,ORL,W (+18),0,10:52,2,5,.400,0,0,,0,0,,1,5,6,0,0,0,0,0,4,3.5,+9,Jeff Ayres
2013-12-02,26-217,SAS,HOME,ATL,W (+2),0,7:14,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,0,1,1,1.2,0,Jeff Ayres
2013-12-07,26-222,SAS,HOME,IND,L (-11),0,9:18,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,2,3,0,-3.6,-6,Jeff Ayres
2013-12-10,26-225,SAS,AWAY,TOR,W (+13),1,9:10,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,3,4,1.5,-18,Jeff Ayres
2013-12-11,26-226,SAS,AWAY,MIL,W (+32),1,25:12,0,0,,0,0,,0,0,,3,7,10,1,0,0,0,1,0,4.5,+26,Jeff Ayres
2013-12-13,26-228,SAS,HOME,MIN,W (+7),1,20:24,1,3,.333,0,0,,0,0,,2,6,8,0,0,2,0,4,2,3.3,-6,Jeff Ayres
2013-12-14,26-229,SAS,AWAY,UTA,W (+16),1,11:54,0,4,.000,0,0,,0,0,,3,1,4,1,0,0,1,2,0,-1.5,-8,Jeff Ayres
2013-12-16,26-231,SAS,AWAY,LAC,L (-23),0,9:10,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,1.2,-2,Jeff Ayres
2013-12-18,26-233,SAS,AWAY,PHO,W (+7),0,11:44,2,2,1.000,0,0,,0,0,,0,3,3,0,1,0,1,1,4,3.9,+2,Jeff Ayres
2013-12-19,26-234,SAS,AWAY,GSW,W (+2),0,10:49,2,2,1.000,0,0,,0,0,,2,3,5,0,0,0,1,1,4,4.3,+5,Jeff Ayres
2013-12-23,26-238,SAS,HOME,TOR,W (+13),0,9:41,1,2,.500,0,0,,2,2,1.000,2,3,5,4,1,1,0,0,4,9.8,+7,Jeff Ayres
2013-12-25,26-240,SAS,HOME,HOU,L (-13),0,7:32,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,2,1.9,+4,Jeff Ayres
2013-12-26,26-241,SAS,AWAY,DAL,W (+9),0,8:04,1,3,.333,0,0,,2,2,1.000,0,3,3,0,0,0,0,3,4,2.0,+13,Jeff Ayres
2013-12-31,26-246,SAS,HOME,BRK,W (+21),0,21:23,1,3,.333,0,0,,2,2,1.000,3,5,8,2,0,1,0,2,4,7.2,-4,Jeff Ayres
2014-01-02,26-248,SAS,HOME,NYK,L (-4),0,9:45,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,0,2,2,1.8,+4,Jeff Ayres
2014-01-04,26-250,SAS,HOME,LAC,W (+24),0,15:04,3,5,.600,0,0,,0,0,,2,5,7,3,0,0,2,3,6,5.5,+12,Jeff Ayres
2014-01-07,26-253,SAS,AWAY,MEM,W (+2),1,22:23,1,1,1.000,0,0,,0,0,,2,1,3,1,0,1,1,3,2,2.6,-3,Jeff Ayres
2014-01-08,26-254,SAS,HOME,DAL,W (+22),0,11:17,2,2,1.000,0,0,,0,0,,3,6,9,0,0,0,0,3,4,6.1,+13,Jeff Ayres
2014-01-12,26-258,SAS,HOME,MIN,W (+18),0,19:30,4,7,.571,0,0,,0,0,,2,5,7,2,0,1,2,4,8,6.1,+9,Jeff Ayres
2014-01-13,26-259,SAS,AWAY,NOP,W (+6),1,16:31,1,1,1.000,0,0,,1,2,.500,1,4,5,0,0,1,0,2,3,4.1,+5,Jeff Ayres
2014-01-15,26-261,SAS,HOME,UTA,W (+4),1,28:38,5,6,.833,0,0,,0,0,,1,3,4,2,0,0,2,4,10,7.2,-9,Jeff Ayres
2014-01-17,26-263,SAS,HOME,POR,L (-9),0,15:42,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,1,1,2,0.6,+6,Jeff Ayres
2014-01-19,26-265,SAS,HOME,MIL,W (+28),0,14:43,5,6,.833,0,0,,3,3,1.000,2,4,6,0,0,0,1,2,13,11.6,+17,Jeff Ayres
2014-01-22,26-268,SAS,HOME,OKC,L (-6),1,22:10,1,3,.333,0,0,,1,2,.500,1,1,2,4,0,0,1,2,3,2.9,-6,Jeff Ayres
2014-01-24,26-270,SAS,AWAY,ATL,W (+26),1,12:02,2,3,.667,0,0,,2,2,1.000,2,2,4,0,0,0,0,3,6,5.5,+4,Jeff Ayres
2014-01-26,26-272,SAS,AWAY,MIA,L (-12),0,15:09,3,3,1.000,0,0,,1,2,.500,1,3,4,2,0,0,1,1,7,7.3,-4,Jeff Ayres
2014-01-28,26-274,SAS,AWAY,HOU,L (-7),0,7:57,0,0,,0,0,,0,0,,1,1,2,2,0,0,0,1,0,2.0,-4,Jeff Ayres
2014-01-29,26-275,SAS,HOME,CHI,L (-10),1,15:39,0,1,.000,0,0,,0,0,,1,0,1,2,0,0,2,4,0,-2.2,+2,Jeff Ayres
2014-02-01,26-278,SAS,HOME,SAC,W (+2),0,13:39,1,2,.500,0,0,,0,0,,1,4,5,1,0,0,2,3,2,0.4,-3,Jeff Ayres
2014-02-05,26-282,SAS,AWAY,WAS,W (+7),0,6:14,0,0,,0,0,,1,2,.500,0,1,1,2,0,0,1,1,1,0.9,-7,Jeff Ayres
2014-02-06,26-283,SAS,AWAY,BRK,L (-14),0,14:28,0,1,.000,0,0,,1,2,.500,2,3,5,1,0,1,2,2,1,0.8,-3,Jeff Ayres
2014-02-08,26-285,SAS,AWAY,CHA,W (+4),0,22:17,3,4,.750,0,0,,2,2,1.000,1,3,4,4,1,2,0,1,8,12.8,+14,Jeff Ayres
2014-02-10,26-287,SAS,AWAY,DET,L (-9),0,17:17,4,4,1.000,0,0,,0,0,,0,1,1,0,1,0,2,5,8,4.1,+2,Jeff Ayres
2014-02-12,26-289,SAS,AWAY,BOS,W (+12),0,10:34,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-7,Jeff Ayres
2014-02-18,26-295,SAS,AWAY,LAC,W (+10),0,14:36,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,2,1,2,0.6,+2,Jeff Ayres
2014-02-19,26-296,SAS,AWAY,POR,W (+2),0,14:21,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,1,5,2,-0.7,-3,Jeff Ayres
2014-02-21,26-298,SAS,AWAY,PHO,L (-21),0,10:26,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,2,0,-1.2,-15,Jeff Ayres
2014-02-26,26-303,SAS,HOME,DET,W (+10),0,12:00,1,1,1.000,0,0,,0,0,,2,2,4,0,1,0,0,1,2,4.3,-10,Jeff Ayres
2014-02-28,26-305,SAS,HOME,CHA,W (+10),0,2:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,Jeff Ayres
2014-03-04,26-309,SAS,AWAY,CLE,W (+21),0,10:21,0,0,,0,0,,0,0,,2,2,4,1,0,1,2,0,0,1.4,+9,Jeff Ayres
2014-03-11,26-316,SAS,AWAY,CHI,W (+8),0,7:19,1,1,1.000,0,0,,0,0,,2,1,3,0,0,0,0,2,2,2.6,-15,Jeff Ayres
2014-03-12,26-317,SAS,HOME,POR,W (+13),0,2:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Jeff Ayres
2014-03-14,26-319,SAS,HOME,LAL,W (+34),0,14:05,4,6,.667,0,0,,2,4,.500,2,5,7,1,0,0,2,3,10,7.0,+2,Jeff Ayres
2014-03-16,26-321,SAS,HOME,UTA,W (+18),0,2:40,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,0,Jeff Ayres
2014-03-21,26-326,SAS,AWAY,SAC,W (+20),0,1:47,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,+5,Jeff Ayres
2014-03-22,26-327,SAS,AWAY,GSW,W (+9),0,6:59,1,1,1.000,0,0,,0,0,,2,0,2,0,0,1,3,2,2,0.0,-5,Jeff Ayres
2014-03-24,26-329,SAS,HOME,PHI,W (+22),0,19:41,2,3,.667,0,0,,1,2,.500,3,3,6,0,0,0,2,4,5,2.7,+18,Jeff Ayres
2014-03-28,26-333,SAS,AWAY,DEN,W (+31),0,19:56,0,0,,0,0,,0,0,,0,2,2,0,0,2,2,3,0,-1.2,+15,Jeff Ayres
2014-03-29,26-334,SAS,HOME,NOP,W (+16),0,17:05,4,6,.667,0,0,,1,2,.500,2,1,3,2,0,1,1,3,9,7.6,-4,Jeff Ayres
2014-03-31,26-336,SAS,AWAY,IND,W (+26),0,3:37,2,2,1.000,0,0,,2,3,.667,2,0,2,0,1,0,0,1,6,7.0,+4,Jeff Ayres
2014-04-02,26-338,SAS,HOME,GSW,W (+21),0,13:41,4,5,.800,0,0,,1,1,1.000,1,4,5,2,0,0,1,2,9,8.6,+5,Jeff Ayres
2014-04-03,26-339,SAS,AWAY,OKC,L (-12),0,13:29,1,2,.500,0,0,,0,0,,2,1,3,2,0,0,0,2,2,3.3,-1,Jeff Ayres
2014-04-06,26-342,SAS,HOME,MEM,W (+20),0,13:26,1,2,.500,0,0,,2,2,1.000,1,4,5,0,0,2,1,4,4,3.7,-1,Jeff Ayres
2014-04-08,26-344,SAS,AWAY,MIN,L (-19),0,20:19,3,4,.750,0,0,,1,2,.500,3,1,4,0,1,1,0,2,7,8.3,+9,Jeff Ayres
2014-04-10,26-346,SAS,AWAY,DAL,W (+9),0,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Jeff Ayres
2014-04-11,26-347,SAS,HOME,PHO,W (+8),0,19:55,2,3,.667,0,0,,0,0,,5,5,10,1,0,2,1,2,4,8.0,+10,Jeff Ayres
2014-04-14,26-350,SAS,AWAY,HOU,L (-6),0,19:25,5,7,.714,0,0,,2,3,.667,0,3,3,1,0,0,0,2,12,9.5,-4,Jeff Ayres
2014-04-16,26-352,SAS,HOME,LAL,L (-13),0,21:40,1,4,.250,0,0,,0,0,,2,4,6,2,0,1,1,3,2,2.1,-5,Jeff Ayres
2016-01-24,28-270,LAC,AWAY,TOR,L (-18),0,4:58,0,0,,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,2,3.0,+3,Jeff Ayres
2016-01-29,28-275,LAC,HOME,LAL,W (+12),0,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,2,0,0,0,1.4,-2,Jeff Ayres
2016-01-31,28-277,LAC,HOME,CHI,W (+27),0,2:37,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,0,0,1.7,+6,Jeff Ayres
2016-02-05,28-282,LAC,AWAY,ORL,W (+14),0,2:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-2,Jeff Ayres
2016-02-10,28-287,LAC,AWAY,BOS,L (-5),0,2:10,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3.7,-3,Jeff Ayres
2016-03-19,28-325,LAC,AWAY,MEM,L (-11),0,1:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,Jeff Ayres
2016-03-23,28-329,LAC,AWAY,GSW,L (-16),0,2:29,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,0,Jeff Ayres
2016-03-27,28-333,LAC,HOME,DEN,W (+15),0,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Jeff Ayres
2016-03-28,28-334,LAC,HOME,BOS,W (+24),0,5:14,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,3,4,1.5,0,Jeff Ayres
2016-03-30,28-336,LAC,AWAY,MIN,W (+20),0,6:19,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,-11,Jeff Ayres
2016-03-31,28-337,LAC,AWAY,OKC,L (-2),0,17:27,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,1,3,4,1.5,-6,Jeff Ayres
2016-04-05,28-342,LAC,HOME,LAL,W (+22),0,6:55,1,1,1.000,0,0,,0,0,,1,3,4,1,0,0,0,0,2,4.0,+1,Jeff Ayres
2016-04-06,28-343,LAC,AWAY,LAL,W (+10),0,12:35,1,4,.250,0,1,.000,0,0,,0,2,2,0,0,0,0,1,2,-0.2,-2,Jeff Ayres
2016-04-08,28-345,LAC,AWAY,UTA,W (+3),0,12:47,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-2.6,-20,Jeff Ayres
2016-04-10,28-347,LAC,HOME,DAL,W (+7),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Jeff Ayres
2016-04-12,28-349,LAC,HOME,MEM,W (+26),0,5:20,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,0.2,+5,Jeff Ayres
2016-04-13,28-350,LAC,AWAY,PHO,L (-9),0,18:52,3,8,.375,0,0,,2,2,1.000,0,5,5,1,0,0,2,3,8,2.6,-12,Jeff Ayres
2014-10-31,27-185,SAS,AWAY,PHO,L (-5),0,5:29,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,2,2,0.5,-11,Jeff Ayres
2014-11-05,27-190,SAS,HOME,ATL,W (+2),0,12:42,0,1,.000,0,0,,0,0,,2,3,5,1,0,1,1,2,0,1.2,-3,Jeff Ayres
2014-11-06,27-191,SAS,AWAY,HOU,L (-17),0,22:37,2,7,.286,0,0,,2,2,1.000,2,4,6,0,0,0,1,3,6,2.3,-2,Jeff Ayres
2014-11-08,27-193,SAS,HOME,NOP,L (-1),0,1:01,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+1,Jeff Ayres
2014-11-11,27-196,SAS,AWAY,GSW,W (+13),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Jeff Ayres
2014-11-14,27-199,SAS,AWAY,LAL,W (+13),0,6:51,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,3,2,0.5,-9,Jeff Ayres
2014-11-15,27-200,SAS,AWAY,SAC,L (-3),0,3:15,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,1,2,0,-0.8,+1,Jeff Ayres
2014-11-17,27-202,SAS,HOME,PHI,W (+25),0,16:50,1,4,.250,0,0,,2,2,1.000,0,5,5,1,1,1,1,1,4,4.1,+4,Jeff Ayres
2014-11-21,27-206,SAS,AWAY,MIN,W (+29),0,12:00,2,4,.500,0,0,,0,0,,2,1,3,2,0,1,1,2,4,4.0,0,Jeff Ayres
