DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-10-30,33-360,DAL,HOME,HOU,L (-10),0,17:47,1,6,.167,0,2,.000,0,0,,0,1,1,1,0,0,1,1,2,-2.2,-21,Jerry Stackhouse
2008-11-01,33-362,DAL,AWAY,MIN,W (+10),1,11:36,1,5,.200,0,2,.000,0,0,,0,1,1,0,0,0,1,0,2,-1.8,+3,Jerry Stackhouse
2008-11-04,33-365,DAL,AWAY,SAS,W (+17),0,18:09,1,5,.200,0,1,.000,1,1,1.000,0,1,1,0,0,0,1,0,3,-0.8,-15,Jerry Stackhouse
2008-11-07,34-002,DAL,AWAY,DEN,L (-3),0,13:33,1,8,.125,0,4,.000,0,0,,3,1,4,2,0,0,1,1,2,-0.8,-19,Jerry Stackhouse
2008-11-09,34-004,DAL,AWAY,LAC,L (-11),0,23:35,5,9,.556,0,1,.000,0,0,,0,0,0,3,2,0,1,1,10,8.4,+2,Jerry Stackhouse
2008-11-11,34-006,DAL,HOME,LAL,L (-7),0,23:56,5,12,.417,3,5,.600,4,4,1.000,1,1,2,1,1,0,2,1,17,10.9,-11,Jerry Stackhouse
2008-11-13,34-008,DAL,AWAY,CHI,L (-7),0,12:39,1,5,.200,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,1,4,1.1,0,Jerry Stackhouse
2008-11-14,34-009,DAL,HOME,ORL,L (-2),0,19:29,1,5,.200,0,0,,0,0,,1,3,4,2,1,0,1,0,2,1.9,-11,Jerry Stackhouse
2009-02-20,34-107,DAL,AWAY,HOU,L (-7),0,8:26,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-0.8,+4,Jerry Stackhouse
2009-02-21,34-108,DAL,HOME,SAC,W (+21),0,13:08,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,1,0,0,-0.7,-8,Jerry Stackhouse
2001-10-30,26-359,DET,AWAY,DAL,L (-7),1,44:24,7,19,.368,1,4,.250,12,14,.857,3,5,8,6,0,0,5,4,27,16.9,-3,Jerry Stackhouse
2001-11-01,26-361,DET,AWAY,MEM,W (+10),1,40:08,12,29,.414,1,4,.250,9,9,1.000,1,2,3,2,1,0,2,2,34,19.4,+9,Jerry Stackhouse
2001-11-02,26-362,DET,HOME,NJN,W (+14),1,32:36,5,13,.385,1,4,.250,13,17,.765,1,3,4,4,3,2,4,4,24,18.5,+9,Jerry Stackhouse
2001-11-04,26-364,DET,HOME,WAS,W (+22),1,27:05,12,17,.706,2,4,.500,2,2,1.000,0,4,4,4,0,0,1,2,28,23.1,+26,Jerry Stackhouse
2001-11-07,27-002,DET,AWAY,CHI,W (+24),1,39:16,2,8,.250,0,2,.000,2,3,.667,1,4,5,8,3,0,7,3,6,3.1,+26,Jerry Stackhouse
2001-11-11,27-006,DET,HOME,POR,L (-2),1,36:51,12,25,.480,3,7,.429,2,3,.667,1,2,3,7,1,1,3,1,29,20.4,-5,Jerry Stackhouse
2001-11-15,27-010,DET,HOME,DAL,W (+26),1,32:32,11,20,.550,4,6,.667,2,2,1.000,3,5,8,8,1,2,3,3,28,25.8,+11,Jerry Stackhouse
2001-11-17,27-012,DET,HOME,IND,W (+6),1,42:39,5,12,.417,0,3,.000,8,9,.889,2,6,8,6,1,0,3,2,18,15.8,+7,Jerry Stackhouse
2001-11-20,27-015,DET,AWAY,TOR,W (+4),1,36:18,5,20,.250,1,3,.333,8,10,.800,0,4,4,6,0,1,2,0,19,10.3,+4,Jerry Stackhouse
2001-11-21,27-016,DET,AWAY,PHI,L (-5),1,20:29,2,9,.222,0,2,.000,0,0,,1,3,4,3,1,0,0,0,4,3.2,+3,Jerry Stackhouse
2001-11-23,27-018,DET,AWAY,ATL,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerry Stackhouse
