DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2012-10-31,22-266,GSW,AWAY,PHO,W (+2),1,33:45,6,16,.375,4,7,.571,0,0,,2,6,8,1,0,0,4,2,16,6.3,-10,Klay Thompson
2012-11-02,22-268,GSW,HOME,MEM,L (-10),1,38:27,4,10,.400,1,2,.500,2,2,1.000,0,3,3,5,1,1,1,1,11,10.3,-5,Klay Thompson
2012-11-03,22-269,GSW,AWAY,LAC,W (+4),1,28:19,6,17,.353,2,6,.333,3,3,1.000,3,5,8,3,1,0,2,4,17,10.6,+2,Klay Thompson
2012-11-05,22-271,GSW,AWAY,SAC,L (-2),1,39:17,7,17,.412,3,9,.333,5,6,.833,0,7,7,3,2,0,1,2,22,16.9,-2,Klay Thompson
2012-11-07,22-273,GSW,HOME,CLE,W (+10),1,22:20,4,10,.400,1,5,.200,4,6,.667,1,1,2,1,1,0,4,4,13,3.9,+2,Klay Thompson
2012-11-09,22-275,GSW,AWAY,LAL,L (-24),1,29:13,6,16,.375,3,8,.375,0,0,,0,2,2,1,0,0,2,4,15,3.9,-12,Klay Thompson
2012-11-10,22-276,GSW,HOME,DEN,L (-6),1,54:48,9,26,.346,5,15,.333,0,2,.000,0,5,5,1,0,2,3,4,23,6.6,+4,Klay Thompson
2012-11-14,22-280,GSW,HOME,ATL,W (+4),1,35:23,2,11,.182,1,5,.200,2,2,1.000,0,1,1,4,0,0,3,2,7,-0.6,-1,Klay Thompson
2012-11-16,22-282,GSW,AWAY,MIN,W (+8),1,27:47,5,14,.357,1,6,.167,1,2,.500,0,3,3,2,1,0,2,3,12,3.9,+17,Klay Thompson
2012-11-18,22-284,GSW,AWAY,OKC,L (-10),1,23:02,2,8,.250,0,3,.000,0,0,,0,4,4,1,0,1,1,1,4,0.4,-18,Klay Thompson
2012-11-19,22-285,GSW,AWAY,DAL,W (+4),1,41:45,2,14,.143,1,6,.167,2,2,1.000,1,2,3,2,1,1,4,4,7,-3.2,+6,Klay Thompson
2012-11-21,22-287,GSW,HOME,BRK,W (+9),1,37:56,10,19,.526,3,6,.500,0,0,,0,1,1,3,0,0,2,3,23,12.9,+9,Klay Thompson
2012-11-23,22-289,GSW,AWAY,DEN,L (-11),1,35:50,6,12,.500,4,7,.571,0,0,,0,1,1,3,0,0,0,2,16,11.6,-15,Klay Thompson
2012-11-24,22-290,GSW,HOME,MIN,W (+11),1,31:53,8,17,.471,1,8,.125,7,8,.875,0,3,3,1,0,0,1,1,24,15.1,0,Klay Thompson
2012-11-29,22-295,GSW,HOME,DEN,W (+1),1,42:47,10,19,.526,1,6,.167,0,0,,0,9,9,3,0,1,3,2,21,13.4,+1,Klay Thompson
2012-12-01,22-297,GSW,HOME,IND,W (+11),1,43:16,8,23,.348,4,10,.400,2,2,1.000,2,5,7,0,0,1,3,1,22,9.3,+4,Klay Thompson
2012-12-03,22-299,GSW,HOME,ORL,L (-8),1,30:26,3,12,.250,2,6,.333,0,0,,0,2,2,4,0,0,1,4,8,1.6,+7,Klay Thompson
2012-12-05,22-301,GSW,AWAY,DET,W (+7),1,38:15,9,13,.692,5,8,.625,4,4,1.000,0,4,4,1,2,1,0,1,27,25.7,+9,Klay Thompson
2012-12-07,22-303,GSW,AWAY,BRK,W (+7),1,36:19,5,11,.455,3,7,.429,0,0,,1,4,5,2,2,0,1,4,13,10.0,+2,Klay Thompson
2012-12-08,22-304,GSW,AWAY,WAS,W (+4),1,38:47,8,14,.571,5,9,.556,2,2,1.000,1,5,6,5,0,2,3,2,23,19.7,+5,Klay Thompson
2012-12-10,22-306,GSW,AWAY,CHA,W (+8),1,36:12,4,7,.571,2,5,.400,0,0,,1,1,2,6,0,1,1,4,10,10.0,+1,Klay Thompson
2012-12-12,22-308,GSW,AWAY,MIA,W (+2),1,43:58,11,22,.500,5,14,.357,0,0,,0,7,7,4,2,1,3,1,27,20.2,0,Klay Thompson
2012-12-14,22-310,GSW,AWAY,ORL,L (-14),1,32:57,3,13,.231,3,8,.375,0,0,,2,2,4,4,2,1,1,2,9,6.8,-7,Klay Thompson
2012-12-15,22-311,GSW,AWAY,ATL,W (+22),1,22:41,3,9,.333,1,3,.333,0,0,,0,4,4,1,0,0,1,5,7,0.8,+16,Klay Thompson
2012-12-18,22-314,GSW,HOME,NOH,W (+7),1,35:10,5,15,.333,3,8,.375,6,6,1.000,0,4,4,2,3,0,1,2,19,14.3,+8,Klay Thompson
2012-12-19,22-315,GSW,AWAY,SAC,L (-4),1,36:27,3,9,.333,3,6,.500,2,2,1.000,0,5,5,5,2,1,0,3,11,12.4,0,Klay Thompson
2012-12-21,22-317,GSW,HOME,CHA,W (+15),1,29:03,7,15,.467,4,8,.500,2,2,1.000,0,3,3,1,1,0,1,5,20,11.9,+10,Klay Thompson
2012-12-22,22-318,GSW,HOME,LAL,L (-3),1,39:00,6,16,.375,3,8,.375,3,4,.750,1,3,4,3,1,1,2,3,18,11.0,+5,Klay Thompson
2012-12-26,22-322,GSW,AWAY,UTA,W (+11),1,31:34,5,13,.385,2,3,.667,3,3,1.000,0,1,1,2,3,0,0,2,15,11.8,+18,Klay Thompson
2012-12-28,22-324,GSW,HOME,PHI,W (+7),1,38:58,5,14,.357,4,7,.571,0,0,,0,1,1,3,2,1,2,2,14,8.5,+5,Klay Thompson
2012-12-29,22-325,GSW,HOME,BOS,W (+18),1,26:12,4,9,.444,3,6,.500,2,2,1.000,0,6,6,1,1,2,0,3,13,12.0,+4,Klay Thompson
2013-01-02,22-329,GSW,HOME,LAC,W (+21),1,35:16,7,14,.500,5,9,.556,0,0,,1,2,3,3,1,0,4,4,19,10.8,+22,Klay Thompson
2013-01-05,22-332,GSW,AWAY,LAC,L (-26),1,30:20,4,10,.400,3,7,.429,3,4,.750,0,1,1,2,0,2,1,1,14,9.9,-28,Klay Thompson
2013-01-09,22-336,GSW,HOME,MEM,L (-7),1,42:27,6,13,.462,2,6,.333,6,6,1.000,2,5,7,7,1,0,1,3,20,19.9,+3,Klay Thompson
2013-01-11,22-338,GSW,HOME,POR,W (+6),1,36:50,6,14,.429,2,5,.400,2,2,1.000,0,4,4,2,1,0,5,5,16,5.2,+14,Klay Thompson
2013-01-13,22-340,GSW,AWAY,DEN,L (-11),1,39:16,6,16,.375,1,7,.143,0,0,,0,6,6,3,0,1,5,3,13,2.6,-7,Klay Thompson
2013-01-16,22-343,GSW,HOME,MIA,L (-17),1,28:35,1,8,.125,0,4,.000,0,0,,0,2,2,3,0,0,4,3,2,-5.7,-19,Klay Thompson
2013-01-18,22-345,GSW,AWAY,SAS,L (-7),1,39:10,7,20,.350,4,11,.364,3,3,1.000,0,3,3,3,2,0,2,1,21,12.4,-6,Klay Thompson
