DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2007-11-11,24-339,PHI,HOME,NOH,L (-21),0,3:59,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,-10,Lou Amundson
2007-11-13,24-341,PHI,AWAY,DAL,L (-15),0,3:47,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,4,2.6,+5,Lou Amundson
2007-11-14,24-342,PHI,AWAY,NOH,L (-19),0,12:27,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,5,0,-1.3,-15,Lou Amundson
2007-11-16,24-344,PHI,HOME,POR,W (+4),0,3:06,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+4,Lou Amundson
2007-11-20,24-348,PHI,AWAY,WAS,L (-15),0,9:52,2,2,1.000,0,0,,0,0,,2,2,4,0,0,0,0,1,4,5.0,+15,Lou Amundson
2007-11-27,24-355,PHI,AWAY,MIL,W (+15),0,2:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Lou Amundson
2007-12-10,25-003,PHI,HOME,HOU,W (+12),0,2:01,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,Lou Amundson
2007-12-26,25-019,PHI,HOME,MIA,W (+11),0,5:29,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.0,+5,Lou Amundson
2008-01-06,25-030,PHI,AWAY,DEN,L (-13),0,1:14,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3,Lou Amundson
2008-02-19,25-074,PHI,AWAY,MIN,L (-16),0,1:29,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,4,2.4,-1,Lou Amundson
2008-02-29,25-084,PHI,AWAY,GSW,L (-22),0,1:59,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3,Lou Amundson
2008-03-03,25-087,PHI,AWAY,LAC,W (+26),0,2:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4,Lou Amundson
2008-03-07,25-091,PHI,HOME,SEA,W (+34),0,5:30,2,4,.500,0,0,,1,3,.333,0,1,1,0,0,0,0,0,5,2.5,+3,Lou Amundson
2008-03-26,25-110,PHI,HOME,CHI,W (+22),0,1:59,0,0,,0,0,,0,2,.000,0,0,0,0,0,1,0,0,0,-0.1,-2,Lou Amundson
2008-04-12,25-127,PHI,AWAY,WAS,L (-16),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Lou Amundson
2008-04-16,25-131,PHI,AWAY,CHA,L (-6),0,5:01,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,+4,Lou Amundson
2007-02-24,24-079,UTA,HOME,BOS,W (+18),0,2:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Lou Amundson
2007-03-13,24-096,PHI,AWAY,ATL,L (-12),0,2:41,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,Lou Amundson
2007-03-18,24-101,PHI,HOME,HOU,L (-50),0,6:00,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,1,0,0,-1.1,-8,Lou Amundson
2007-03-28,24-111,PHI,AWAY,WAS,L (-3),0,4:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,0,Lou Amundson
