DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-10-23,22-300,DET,AWAY,CHI,L (-15),0,6:14,1,2,.500,0,1,.000,1,2,.500,1,1,2,1,2,0,0,1,3,4.9,+10,Luka Garza
2021-10-25,22-302,DET,AWAY,ATL,L (-18),0,12:44,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,1,1,4,2,-0.3,-22,Luka Garza
2021-10-28,22-305,DET,AWAY,PHI,L (-8),0,4:41,2,4,.500,2,3,.667,0,0,,0,0,0,0,0,0,0,2,6,3.2,-9,Luka Garza
2021-10-31,22-308,DET,AWAY,BRK,L (-26),0,8:38,0,1,.000,0,1,.000,2,2,1.000,1,0,1,0,1,0,0,1,2,2.6,-4,Luka Garza
2021-11-02,22-310,DET,HOME,MIL,L (-28),0,7:06,1,3,.333,0,0,,1,1,1.000,1,0,1,0,1,0,1,2,3,1.2,-4,Luka Garza
2021-11-12,22-320,DET,AWAY,CLE,L (-20),0,13:59,2,4,.500,0,1,.000,1,1,1.000,1,1,2,2,1,0,0,0,5,6.4,+4,Luka Garza
2021-11-15,22-323,DET,HOME,SAC,L (-22),0,17:15,2,4,.500,1,2,.500,0,0,,3,4,7,1,0,0,0,2,5,6.2,-4,Luka Garza
2021-11-19,22-327,DET,HOME,GSW,L (-3),0,7:22,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,1.6,-8,Luka Garza
2021-11-23,22-331,DET,HOME,MIA,L (-8),1,17:13,3,5,.600,1,1,1.000,0,0,,1,2,3,2,0,0,1,5,7,4.4,-6,Luka Garza
2021-11-24,22-332,DET,AWAY,MIL,L (-21),1,22:35,2,7,.286,0,2,.000,2,2,1.000,2,3,5,0,0,0,0,1,6,3.8,-22,Luka Garza
2021-11-26,22-334,DET,AWAY,LAC,L (-11),0,10:27,2,3,.667,0,0,,1,2,.500,1,2,3,0,0,0,0,0,5,4.6,+12,Luka Garza
2021-11-30,22-338,DET,AWAY,POR,L (-18),0,3:16,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,2,1.6,-1,Luka Garza
2021-12-02,22-340,DET,AWAY,PHO,L (-11),0,4:13,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,1,2,1,-1.6,-1,Luka Garza
2021-12-06,22-344,DET,HOME,OKC,L (-11),0,4:27,1,4,.250,0,0,,0,0,,3,1,4,0,0,0,0,2,2,1.2,-4,Luka Garza
2021-12-10,22-348,DET,AWAY,NOP,L (-16),0,2:39,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,2,0,3,0.0,+8,Luka Garza
2021-12-18,22-356,DET,HOME,HOU,L (-9),0,9:22,4,6,.667,1,2,.500,0,2,.000,3,0,3,0,0,0,1,2,9,5.9,-7,Luka Garza
2021-12-19,22-357,DET,HOME,MIA,W (+10),0,7:17,2,4,.500,0,2,.000,1,2,.500,2,0,2,0,0,0,0,1,5,3.6,-1,Luka Garza
2021-12-21,22-359,DET,AWAY,NYK,L (-14),0,4:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7,Luka Garza
2021-12-23,22-361,DET,AWAY,MIA,L (-3),0,5:00,1,1,1.000,0,0,,1,2,.500,3,0,3,0,0,0,0,0,3,4.4,-11,Luka Garza
2021-12-26,22-364,DET,AWAY,SAS,L (-35),1,20:15,7,14,.500,2,5,.400,4,5,.800,5,1,6,2,0,0,1,6,20,14.4,-17,Luka Garza
2021-12-29,23-002,DET,HOME,NYK,L (-9),1,39:14,1,10,.100,1,4,.250,1,2,.500,4,5,9,2,1,1,0,2,4,3.6,+14,Luka Garza
2022-01-01,23-005,DET,HOME,SAS,W (+1),1,39:39,7,12,.583,1,2,.500,5,8,.625,9,5,14,0,1,0,3,4,20,17.4,+15,Luka Garza
2022-01-03,23-007,DET,AWAY,MIL,W (+9),0,15:21,2,5,.400,0,1,.000,0,0,,3,1,4,1,0,0,3,4,4,-0.2,+3,Luka Garza
2022-01-05,23-009,DET,AWAY,CHO,L (-29),0,8:17,1,2,.500,0,1,.000,1,2,.500,1,1,2,0,0,0,0,1,3,2.2,+4,Luka Garza
2022-01-06,23-010,DET,AWAY,MEM,L (-30),0,18:07,3,8,.375,1,4,.250,1,1,1.000,1,3,4,3,0,0,0,1,8,6.9,+9,Luka Garza
2022-01-11,23-015,DET,AWAY,CHI,L (-46),0,10:06,2,6,.333,0,1,.000,2,4,.500,2,0,2,0,0,2,0,0,6,4.6,-9,Luka Garza
2022-01-16,23-020,DET,HOME,PHO,L (-27),0,6:47,2,3,.667,1,1,1.000,0,0,,0,3,3,0,0,0,1,1,5,3.2,-2,Luka Garza
2022-02-10,23-045,DET,HOME,MEM,L (-25),0,9:48,3,6,.500,1,1,1.000,0,0,,2,1,3,0,0,0,1,2,7,3.9,+8,Luka Garza
2022-02-11,23-046,DET,HOME,CHO,L (-22),0,3:46,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,0,2,3.1,+3,Luka Garza
2022-03-11,23-074,DET,AWAY,BOS,L (-11),0,1:41,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,4,3.6,+5,Luka Garza
2022-03-21,23-084,DET,HOME,POR,L (-4),0,16:39,2,4,.500,0,1,.000,7,11,.636,1,1,2,0,1,1,0,3,11,8.9,+3,Luka Garza
2022-04-10,23-104,DET,AWAY,PHI,L (-12),0,30:35,8,18,.444,2,7,.286,2,6,.333,7,3,10,4,0,1,1,3,20,16.1,-22,Luka Garza
2022-11-23,23-331,MIN,AWAY,IND,W (+14),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Luka Garza
2022-12-07,23-345,MIN,HOME,IND,W (+6),0,4:22,1,3,.333,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,1,4,2.6,-11,Luka Garza
2022-12-12,23-350,MIN,AWAY,POR,L (-21),0,4:03,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,+3,Luka Garza
2022-12-14,23-352,MIN,AWAY,LAC,L (-11),0,2:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+5,Luka Garza
