DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2020-12-23,22-227,TOR,HOME,NOP,L (-14),0,1:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,Malachi Flynn
2020-12-31,22-235,TOR,HOME,NYK,W (+17),0,2:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,Malachi Flynn
2021-01-04,22-239,TOR,HOME,BOS,L (-12),0,15:45,0,6,.000,0,4,.000,0,0,,0,0,0,1,1,0,0,1,0,-2.9,-3,Malachi Flynn
2021-01-06,22-241,TOR,AWAY,PHO,L (-8),0,3:47,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-1,Malachi Flynn
2021-01-08,22-243,TOR,AWAY,SAC,W (+21),0,16:48,5,6,.833,2,3,.667,0,0,,0,5,5,2,0,0,1,3,12,10.5,+6,Malachi Flynn
2021-01-10,22-245,TOR,AWAY,GSW,L (-1),0,12:34,0,3,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,1,0,-0.1,-5,Malachi Flynn
2021-01-14,22-249,TOR,HOME,CHO,W (+3),0,6:28,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,0,1,3,3.3,-7,Malachi Flynn
2021-01-16,22-251,TOR,HOME,CHO,W (+3),0,18:12,2,7,.286,1,3,.333,0,0,,0,1,1,3,1,0,1,1,5,2.9,+11,Malachi Flynn
2021-01-18,22-253,TOR,HOME,DAL,W (+23),0,2:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+5,Malachi Flynn
2021-01-22,22-257,TOR,HOME,MIA,W (+20),0,14:08,1,5,.200,1,4,.250,0,0,,0,1,1,3,0,0,1,2,3,0.5,0,Malachi Flynn
2021-01-24,22-259,TOR,AWAY,IND,W (+5),0,7:17,1,3,.333,0,2,.000,0,2,.000,0,0,0,2,1,0,0,1,2,1.5,-7,Malachi Flynn
2021-01-31,22-266,TOR,HOME,ORL,W (+13),0,2:02,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,4,2.7,-8,Malachi Flynn
2021-02-02,22-268,TOR,AWAY,ORL,W (+15),0,2:37,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3,Malachi Flynn
2021-02-18,22-284,TOR,AWAY,MIL,W (+14),0,4:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-7,Malachi Flynn
2021-02-19,22-285,TOR,AWAY,MIN,W (+5),0,14:57,1,6,.167,0,3,.000,2,2,1.000,0,2,2,0,0,0,0,1,4,0.4,-15,Malachi Flynn
2021-03-19,22-313,TOR,HOME,UTA,L (-3),0,17:39,1,4,.250,1,3,.333,0,0,,0,1,1,2,1,0,0,1,3,2.9,-9,Malachi Flynn
2021-03-21,22-315,TOR,AWAY,CLE,L (-11),0,12:22,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,1,4,3.7,-8,Malachi Flynn
2021-03-22,22-316,TOR,AWAY,HOU,L (-18),0,14:03,0,2,.000,0,1,.000,0,0,,0,1,1,3,0,0,1,0,0,0.0,+4,Malachi Flynn
2021-03-24,22-318,TOR,HOME,DEN,W (+24),0,5:43,0,4,.000,0,3,.000,0,0,,0,0,0,1,0,0,0,1,0,-2.5,-11,Malachi Flynn
2021-03-26,22-320,TOR,HOME,PHO,L (-4),0,14:13,2,5,.400,1,3,.333,0,0,,0,3,3,0,0,0,1,0,5,2.2,-7,Malachi Flynn
2021-03-28,22-322,TOR,HOME,POR,L (-5),0,10:29,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,0,0,0.3,-10,Malachi Flynn
2021-03-29,22-323,TOR,AWAY,DET,L (-14),0,18:21,2,4,.500,0,0,,1,2,.500,0,4,4,2,0,0,2,0,5,3.2,+2,Malachi Flynn
2021-03-31,22-325,TOR,AWAY,OKC,L (-10),0,19:32,1,4,.250,0,2,.000,0,0,,0,0,0,2,2,0,0,3,2,1.8,-17,Malachi Flynn
2021-04-02,22-327,TOR,HOME,GSW,W (+53),0,30:36,7,12,.583,1,4,.250,1,1,1.000,0,5,5,5,2,0,2,3,16,14.2,+34,Malachi Flynn
2021-04-05,22-330,TOR,HOME,WAS,W (+2),0,33:49,6,13,.462,2,4,.500,2,2,1.000,0,6,6,4,4,3,3,3,16,15.8,+11,Malachi Flynn
2021-04-06,22-331,TOR,HOME,LAL,L (-9),0,33:15,4,11,.364,2,4,.500,1,1,1.000,2,6,8,4,2,1,2,1,11,11.2,+3,Malachi Flynn
2021-04-08,22-333,TOR,HOME,CHI,L (-9),1,35:19,3,11,.273,3,7,.429,0,0,,0,3,3,8,2,0,2,2,9,8.2,+6,Malachi Flynn
2021-04-10,22-335,TOR,AWAY,CLE,W (+20),1,39:11,8,14,.571,2,3,.667,2,3,.667,0,2,2,11,2,0,3,3,20,19.1,+14,Malachi Flynn
2021-04-11,22-336,TOR,AWAY,NYK,L (-6),0,26:57,2,9,.222,1,4,.250,1,2,.500,0,5,5,4,0,1,3,3,6,0.9,-3,Malachi Flynn
2021-04-13,22-338,TOR,HOME,ATL,L (-5),1,35:23,8,18,.444,6,13,.462,0,0,,1,4,5,3,2,0,0,1,22,18.2,-4,Malachi Flynn
2021-04-14,22-339,TOR,HOME,SAS,W (+5),1,32:12,4,14,.286,3,7,.429,5,6,.833,1,3,4,7,2,0,0,2,16,15.1,-4,Malachi Flynn
2021-04-16,22-341,TOR,HOME,ORL,W (+11),1,34:11,3,12,.250,0,4,.000,0,0,,1,2,3,8,1,0,1,2,6,4.9,+6,Malachi Flynn
2021-04-18,22-343,TOR,HOME,OKC,W (+6),1,30:51,6,14,.429,3,5,.600,0,0,,1,6,7,5,0,0,1,1,15,12.2,+10,Malachi Flynn
2021-04-21,22-346,TOR,HOME,BRK,W (+11),0,11:03,2,5,.400,1,3,.333,0,0,,0,0,0,1,1,0,1,1,5,2.6,+2,Malachi Flynn
2021-04-24,22-349,TOR,AWAY,NYK,L (-17),0,5:31,0,0,,0,0,,2,3,.667,0,0,0,0,0,0,1,0,2,0.6,0,Malachi Flynn
2021-04-26,22-351,TOR,HOME,CLE,W (+16),0,24:07,4,6,.667,2,4,.500,8,8,1.000,1,4,5,5,2,0,1,2,18,21.0,+6,Malachi Flynn
2021-04-27,22-352,TOR,HOME,BRK,L (-13),0,20:33,4,8,.500,1,5,.200,4,4,1.000,0,2,2,3,1,0,0,2,13,11.9,-8,Malachi Flynn
