DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-11-12,32-165,UTA,AWAY,WAS,L (-8),0,5:19,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,-3,Matt Harpring
2008-11-14,32-167,UTA,AWAY,CHA,L (-8),0,14:07,2,2,1.000,0,0,,0,0,,1,1,2,1,0,1,2,2,4,3.0,0,Matt Harpring
2008-11-15,32-168,UTA,AWAY,CLE,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Matt Harpring
2008-11-17,32-170,UTA,HOME,PHO,W (+12),0,11:49,1,3,.333,0,0,,2,2,1.000,0,2,2,1,2,0,1,2,4,3.8,+10,Matt Harpring
2008-11-19,32-172,UTA,HOME,MIL,W (+11),0,8:35,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,0,2,3.4,+9,Matt Harpring
2008-11-21,32-174,UTA,AWAY,SAS,L (-25),0,9:26,2,3,.667,0,0,,0,0,,0,0,0,0,2,0,1,1,4,3.3,-18,Matt Harpring
2008-11-22,32-175,UTA,AWAY,MEM,W (+9),0,12:33,1,4,.250,0,0,,3,4,.750,0,3,3,0,1,0,1,2,5,2.3,+15,Matt Harpring
2008-11-26,32-179,UTA,HOME,MEM,W (+17),0,8:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,-6,Matt Harpring
2008-12-05,32-188,UTA,HOME,TOR,W (+27),0,11:32,6,9,.667,0,0,,2,3,.667,4,3,7,0,0,0,0,0,14,13.4,+11,Matt Harpring
2008-12-06,32-189,UTA,AWAY,PHO,L (-2),0,9:39,0,3,.000,0,0,,0,2,.000,0,1,1,1,0,0,0,0,0,-1.9,-4,Matt Harpring
2008-12-09,32-192,UTA,AWAY,MIN,W (+3),0,4:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-4,Matt Harpring
2008-12-11,32-194,UTA,HOME,POR,W (+9),0,8:18,2,4,.500,0,0,,2,2,1.000,0,0,0,0,0,0,1,3,6,1.8,+6,Matt Harpring
2008-12-13,32-196,UTA,HOME,ORL,L (-9),0,4:58,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2,+1,Matt Harpring
2008-12-15,32-198,UTA,AWAY,BOS,L (-9),0,9:52,0,3,.000,0,0,,2,2,1.000,1,3,4,0,1,1,0,3,2,2.0,+1,Matt Harpring
2008-12-17,32-200,UTA,AWAY,NJN,W (+11),0,9:14,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-1.5,+4,Matt Harpring
2008-12-19,32-202,UTA,AWAY,DET,W (+6),0,8:32,1,3,.333,0,0,,0,0,,2,0,2,0,1,0,0,2,2,1.9,+6,Matt Harpring
2008-12-20,32-203,UTA,AWAY,CHI,L (-8),0,6:24,0,2,.000,0,0,,2,2,1.000,1,1,2,0,1,1,1,1,2,1.9,-2,Matt Harpring
2008-12-23,32-206,UTA,AWAY,MIL,L (-8),0,26:37,3,6,.500,0,0,,0,0,,2,1,3,1,0,0,2,4,6,1.8,+2,Matt Harpring
2008-12-26,32-209,UTA,HOME,DAL,W (+9),0,16:10,1,3,.333,0,0,,4,5,.800,1,0,1,2,2,0,0,1,6,7.6,+1,Matt Harpring
2008-12-27,32-210,UTA,AWAY,HOU,L (-5),0,11:57,2,4,.500,0,0,,0,0,,0,0,0,0,2,0,0,1,4,3.6,+2,Matt Harpring
2008-12-29,32-212,UTA,HOME,PHI,W (+17),0,5:59,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,1,1,2,0.2,-4,Matt Harpring
2009-01-02,32-216,UTA,AWAY,LAL,L (-13),0,6:24,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-0.5,-3,Matt Harpring
2009-01-07,32-221,UTA,HOME,NOH,W (+26),0,12:09,5,7,.714,0,0,,0,0,,1,1,2,0,0,0,0,2,10,7.3,+17,Matt Harpring
2009-01-10,32-224,UTA,HOME,DET,W (+17),0,17:28,4,7,.571,0,0,,3,5,.600,2,0,2,0,0,0,1,4,11,5.7,+6,Matt Harpring
2009-01-12,32-226,UTA,HOME,IND,W (+7),0,8:40,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,2,2,2.6,-10,Matt Harpring
2009-01-14,32-228,UTA,AWAY,OKC,L (-21),0,17:53,4,8,.500,0,1,.000,2,4,.500,0,2,2,0,0,0,0,2,10,5.0,+5,Matt Harpring
2009-01-16,32-230,UTA,AWAY,MEM,W (+10),0,15:35,5,8,.625,0,0,,2,2,1.000,0,1,1,2,0,0,0,2,12,9.3,+1,Matt Harpring
2009-01-17,32-231,UTA,AWAY,DAL,L (-7),0,4:18,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,-7,Matt Harpring
2009-01-20,32-234,UTA,HOME,MIN,W (+5),0,15:16,2,5,.400,0,0,,2,2,1.000,2,1,3,1,3,0,0,0,6,8.7,0,Matt Harpring
2009-01-21,32-235,UTA,AWAY,HOU,L (-9),0,14:56,1,4,.250,0,0,,0,0,,0,2,2,0,1,0,0,2,2,0.4,+3,Matt Harpring
2009-01-24,32-238,UTA,HOME,CLE,L (-5),0,21:15,5,7,.714,0,0,,1,1,1.000,2,3,5,0,1,0,0,3,11,10.2,+12,Matt Harpring
