DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-04-23,30-248,BRK,HOME,BOS,W (+5),0,21:17,3,8,0.375,1,1,1.0,1,2,0.5,1,1,2,2,0,0,0,0,8,5.6,17,Mike James
2021-04-25,30-250,BRK,HOME,PHO,W (+9),0,6:39,0,1,0.0,0,1,0.0,2,4,0.5,0,1,1,1,1,0,1,0,2,1.5,-4,Mike James
2021-04-27,30-252,BRK,AWAY,TOR,W (+13),0,21:14,4,5,0.8,1,1,1.0,2,2,1.0,1,2,3,8,0,0,0,0,11,16.0,9,Mike James
2021-04-29,30-254,BRK,AWAY,IND,W (+17),0,25:01,0,7,0.0,0,4,0.0,1,2,0.5,0,3,3,7,0,0,4,2,1,-3.3,7,Mike James
2021-04-30,30-255,BRK,HOME,POR,L (-19),0,23:53,6,15,0.4,1,4,0.25,2,2,1.0,1,0,1,3,0,0,2,1,15,7.3,-14,Mike James
2021-05-02,30-257,BRK,AWAY,MIL,L (-3),0,5:07,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-3,Mike James
2021-05-04,30-259,BRK,AWAY,MIL,L (-6),0,9:47,4,6,0.667,2,3,0.667,0,0,,0,1,1,3,0,0,0,0,10,9.8,-8,Mike James
2021-05-06,30-261,BRK,AWAY,DAL,L (-4),0,15:30,1,3,0.333,0,1,0.0,0,0,,0,2,2,4,0,0,4,1,2,-0.7,12,Mike James
2021-05-08,30-263,BRK,AWAY,DEN,W (+6),0,10:26,1,3,0.333,0,1,0.0,4,4,1.0,0,2,2,1,2,0,2,0,6,5.6,1,Mike James
2021-05-11,30-266,BRK,AWAY,CHI,W (+8),0,26:49,1,7,0.143,1,4,0.25,8,8,1.0,0,7,7,6,1,1,1,2,11,12.7,5,Mike James
2021-05-12,30-267,BRK,HOME,SAS,W (+12),1,26:17,5,12,0.417,2,3,0.667,0,0,,0,2,2,5,0,0,1,2,12,7.9,4,Mike James
2021-05-15,30-270,BRK,HOME,CHI,W (+14),0,16:12,3,8,0.375,1,2,0.5,1,2,0.5,0,4,4,5,0,0,1,0,8,6.9,6,Mike James
2021-05-16,30-271,BRK,HOME,CLE,W (+14),0,27:48,6,16,0.375,2,6,0.333,0,1,0.0,0,4,4,8,2,0,2,2,14,10.8,-12,Mike James
2017-10-18,27-061,PHO,HOME,POR,L (-48),0,10:36,5,10,.500,2,3,.667,0,0,,1,1,2,1,1,0,1,1,12,8.3,+1,Mike James
2017-10-20,27-063,PHO,HOME,LAL,L (-2),0,22:02,4,9,.444,1,4,.250,4,4,1.000,0,0,0,1,0,1,0,1,13,9.3,+5,Mike James
