DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-12-28,22-311,OKC,AWAY,SAC,L (-6),0,11:48,1,3,.333,0,1,.000,2,2,1.000,0,5,5,0,0,2,0,1,4,4.8,-4,Olivier Sarr
2021-12-29,22-312,OKC,AWAY,PHO,L (-18),0,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,Olivier Sarr
2022-02-24,23-004,OKC,HOME,PHO,L (-20),0,0:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Olivier Sarr
2022-02-25,23-005,OKC,AWAY,IND,W (+4),0,21:27,2,4,.500,0,0,,0,0,,1,3,4,2,0,0,0,5,4,3.0,-1,Olivier Sarr
2022-02-28,23-008,OKC,HOME,SAC,L (-21),0,25:31,5,8,.625,1,2,.500,1,2,.500,0,4,4,0,0,0,0,4,12,7.6,0,Olivier Sarr
2022-03-02,23-010,OKC,AWAY,DEN,W (+12),0,13:51,3,5,.600,0,0,,0,0,,3,0,3,2,0,0,2,0,6,5.2,-11,Olivier Sarr
2022-03-04,23-012,OKC,HOME,MIN,L (-37),0,16:07,2,2,1.000,0,0,,1,2,.500,1,3,4,0,1,0,1,2,5,4.8,-28,Olivier Sarr
2022-03-06,23-014,OKC,HOME,UTA,L (-13),0,20:22,4,9,.444,1,4,.250,2,2,1.000,5,4,9,0,1,2,3,2,11,9.6,-6,Olivier Sarr
2022-03-08,23-016,OKC,HOME,MIL,L (-27),0,11:04,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,2,1,1,3,1.3,-5,Olivier Sarr
2022-03-09,23-017,OKC,AWAY,MIN,L (-30),0,9:19,0,1,.000,0,0,,0,0,,1,3,4,1,0,0,1,3,0,-0.6,+4,Olivier Sarr
2022-03-13,23-021,OKC,HOME,MEM,L (-7),0,15:51,1,3,.333,0,1,.000,0,0,,4,0,4,0,1,0,2,4,2,0.5,-5,Olivier Sarr
2022-03-14,23-022,OKC,HOME,CHO,L (-18),1,32:06,2,5,.400,0,1,.000,3,4,.750,3,4,7,3,0,1,1,3,7,7.8,-6,Olivier Sarr
2022-03-16,23-024,OKC,AWAY,SAS,L (-2),0,18:04,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,2,3,8,4.2,+5,Olivier Sarr
2022-03-18,23-026,OKC,AWAY,MIA,L (-12),1,14:20,0,0,,0,0,,0,0,,2,1,3,0,0,1,0,1,0,2.0,-10,Olivier Sarr
2022-03-20,23-028,OKC,AWAY,ORL,L (-5),0,18:25,2,2,1.000,0,0,,0,0,,1,3,4,1,0,0,0,3,4,4.5,+6,Olivier Sarr
2022-03-23,23-031,OKC,HOME,ORL,W (+16),0,19:13,3,5,.600,0,2,.000,2,3,.667,0,2,2,2,1,0,1,4,8,5.7,+24,Olivier Sarr
2022-03-26,23-034,OKC,AWAY,DEN,L (-6),0,19:23,2,4,.500,1,1,1.000,0,0,,1,1,2,2,0,0,0,2,5,4.6,-1,Olivier Sarr
2022-03-28,23-036,OKC,AWAY,POR,W (+3),0,34:49,5,7,.714,0,1,.000,2,3,.667,1,4,5,0,2,0,2,3,12,9.4,-3,Olivier Sarr
2022-03-30,23-038,OKC,HOME,ATL,L (-18),0,26:08,6,9,.667,1,3,.333,4,4,1.000,2,7,9,2,0,1,2,6,17,14.3,-1,Olivier Sarr
2022-04-01,23-040,OKC,HOME,DET,L (-9),0,29:39,4,7,.571,1,1,1.000,2,2,1.000,2,3,5,2,0,2,1,1,11,11.4,+4,Olivier Sarr
2022-04-03,23-042,OKC,HOME,PHO,W (+21),0,21:59,9,12,.750,5,6,.833,1,1,1.000,2,4,6,1,0,2,2,3,24,20.7,+15,Olivier Sarr
2022-04-05,23-044,OKC,HOME,POR,W (+4),0,38:55,3,8,.375,0,2,.000,4,4,1.000,5,7,12,1,0,2,1,1,10,11.9,+1,Olivier Sarr
2023-03-05,24-013,OKC,HOME,UTA,W (+10),0,10:54,1,4,.250,0,2,.000,0,0,,2,1,3,0,0,0,0,2,2,0.5,+3,Olivier Sarr
2023-03-08,24-016,OKC,AWAY,PHO,L (-31),0,10:49,2,3,.667,0,1,.000,1,1,1.000,0,2,2,0,0,1,0,0,5,5.0,-7,Olivier Sarr
2023-03-16,24-024,OKC,AWAY,TOR,L (-17),0,10:15,0,0,,0,0,,0,0,,1,0,1,0,0,2,1,3,0,-0.1,-2,Olivier Sarr
2023-03-21,24-029,OKC,AWAY,LAC,W (+1),0,19:15,1,4,.250,0,1,.000,2,2,1.000,4,2,6,2,0,2,2,3,4,4.6,+8,Olivier Sarr
2023-03-23,24-031,OKC,AWAY,LAC,L (-22),0,8:10,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,2,3,3.6,-2,Olivier Sarr
2023-03-29,24-037,OKC,HOME,DET,W (+1),0,7:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0,Olivier Sarr
2023-04-04,24-043,OKC,AWAY,GSW,L (-11),0,2:44,0,2,.000,0,0,,0,0,,2,0,2,0,0,0,0,0,0,0.0,+2,Olivier Sarr
2023-04-06,24-045,OKC,AWAY,UTA,W (+16),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Olivier Sarr
2023-04-09,24-048,OKC,HOME,MEM,W (+15),1,42:12,10,15,.667,0,2,.000,2,4,.500,2,13,15,1,1,0,1,6,22,18.3,+14,Olivier Sarr
