DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-11-14,21-187,ORL,AWAY,LAC,W (+21),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Olumide Oyedeji
2002-11-16,21-189,ORL,AWAY,GSW,L (-43),0,9:49,0,0,,0,0,,2,2,1.000,1,0,1,0,1,0,1,1,2,2.3,-9,Olumide Oyedeji
2002-11-19,21-192,ORL,AWAY,SEA,W (+17),0,1:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-1,Olumide Oyedeji
2002-11-20,21-193,ORL,AWAY,POR,L (-14),0,2:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,Olumide Oyedeji
2002-11-22,21-195,ORL,AWAY,IND,L (-36),0,12:00,2,2,1.000,0,0,,0,1,.000,2,4,6,0,0,0,0,4,4,4.0,-10,Olumide Oyedeji
2002-11-24,21-197,ORL,HOME,MIA,W (+2),0,7:33,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,-2,Olumide Oyedeji
2002-11-27,21-200,ORL,HOME,LAL,W (+10),0,1:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-2,Olumide Oyedeji
2002-11-30,21-203,ORL,HOME,ATL,W (+25),0,5:17,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,2,2,1.2,-4,Olumide Oyedeji
2002-12-13,21-216,ORL,HOME,GSW,W (+26),0,4:39,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,1,0,1.0,-1,Olumide Oyedeji
2002-12-15,21-218,ORL,AWAY,LAL,L (-23),0,7:36,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.9,-9,Olumide Oyedeji
2002-12-16,21-219,ORL,AWAY,PHO,L (-3),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Olumide Oyedeji
