DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-10-22,22-214,CLE,HOME,CHO,L (-11),0,1:52,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+3,RJ Nembhard Jr.
2021-11-18,22-241,CLE,HOME,GSW,L (-15),0,1:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,RJ Nembhard Jr.
2021-12-18,22-271,CLE,AWAY,MIL,W (+29),0,3:20,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,1.4,+4,RJ Nembhard Jr.
2021-12-26,22-279,CLE,HOME,TOR,W (+45),0,12:00,2,4,.500,0,0,,0,0,,0,1,1,6,0,0,0,1,4,6.1,+5,RJ Nembhard Jr.
2021-12-30,22-283,CLE,AWAY,WAS,L (-17),0,21:24,1,5,.200,0,1,.000,1,2,.500,0,0,0,2,0,0,0,1,3,0.5,-6,RJ Nembhard Jr.
2022-01-12,22-296,CLE,AWAY,UTA,W (+20),0,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,RJ Nembhard Jr.
2022-02-06,22-321,CLE,HOME,IND,W (+13),0,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3,RJ Nembhard Jr.
2022-02-26,22-341,CLE,HOME,WAS,W (+6),0,4:07,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3,RJ Nembhard Jr.
2022-03-02,22-345,CLE,HOME,CHO,L (-21),0,4:04,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,0.6,-1,RJ Nembhard Jr.
2022-03-11,22-354,CLE,AWAY,MIA,L (-12),0,2:29,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,2.7,+2,RJ Nembhard Jr.
2022-03-21,22-364,CLE,HOME,LAL,L (-11),0,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,RJ Nembhard Jr.
2022-03-24,23-002,CLE,AWAY,TOR,L (-13),0,1:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,RJ Nembhard Jr.
2022-03-30,23-008,CLE,HOME,DAL,L (-8),0,2:05,0,1,.000,0,0,,0,0,,1,0,1,1,1,0,0,0,0,1.7,+2,RJ Nembhard Jr.
2022-03-31,23-009,CLE,AWAY,ATL,L (-24),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,RJ Nembhard Jr.
2022-04-10,23-019,CLE,HOME,MIL,W (+18),0,3:10,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-12,RJ Nembhard Jr.
