DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2000-01-25,23-030,MIA,HOME,BOS,W (+26),0,7:00,2,4,0.5,0,0,,0,1,0.0,1,0,1,1,0,0,1,0,4,2.0,3,Tim James
2000-01-28,23-033,MIA,AWAY,TOR,L (-15),0,6:21,1,4,0.25,0,0,,0,0,,1,0,1,0,0,1,1,0,2,0.0,6,Tim James
2000-04-18,23-114,MIA,HOME,TOR,W (+24),0,6:00,2,5,0.4,0,0,,0,0,,1,1,2,1,0,2,0,1,4,4.0,9,Tim James
2000-04-19,23-115,MIA,AWAY,CHH,L (-10),0,4:05,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-0.1,1,Tim James
2000-10-31,23-310,CHH,AWAY,ATL,W (+24),0,4:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Tim James
2000-11-01,23-311,CHH,HOME,WAS,L (-18),0,4:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,1,1,2,1.0,+2,Tim James
2000-11-09,23-319,CHH,HOME,SEA,L (-8),0,5:19,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,0.2,0,Tim James
2000-11-11,23-321,CHH,AWAY,NYK,L (-14),0,8:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,0,Tim James
2000-11-14,23-324,CHH,AWAY,MIA,L (-3),0,10:49,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,1,2,2,0.5,-7,Tim James
2000-11-16,23-326,CHH,AWAY,HOU,L (-4),0,5:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7,Tim James
2000-11-20,23-330,CHH,AWAY,TOR,W (+36),0,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+5,Tim James
2000-11-24,23-334,CHH,AWAY,MIL,W (+16),0,4:09,0,2,.000,0,0,,2,4,.500,3,0,3,0,0,0,0,1,2,1.5,-12,Tim James
2000-11-29,23-339,CHH,HOME,TOR,W (+24),0,2:37,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2,Tim James
2000-12-05,23-345,CHH,AWAY,CLE,L (-5),0,10:29,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,1,2,1.6,+5,Tim James
2000-12-06,23-346,CHH,HOME,IND,W (+3),0,3:11,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8,Tim James
2000-12-08,23-348,CHH,HOME,LAC,W (+5),0,10:22,1,2,.500,0,0,,2,2,1.000,0,1,1,1,1,1,0,2,4,4.9,+4,Tim James
2000-12-09,23-349,CHH,AWAY,IND,L (-3),0,5:40,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,0,2,2.0,-2,Tim James
2000-12-15,23-355,CHH,AWAY,WAS,W (+14),0,3:57,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,-5,Tim James
2001-01-01,24-006,CHH,AWAY,POR,L (-22),0,8:11,0,4,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,-1.5,-5,Tim James
2001-02-08,24-044,CHH,HOME,ATL,W (+17),0,11:42,1,4,.250,0,0,,2,2,1.000,1,3,4,2,0,1,1,2,4,3.5,+8,Tim James
2001-02-13,24-049,CHH,AWAY,IND,W (+11),0,3:55,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,0,Tim James
2001-02-16,24-052,CHH,HOME,LAL,L (-5),0,9:00,0,3,.000,0,0,,0,0,,3,0,3,0,0,0,0,2,0,-0.8,+4,Tim James
2001-02-17,24-053,CHH,AWAY,MIL,W (+10),0,14:58,1,3,.333,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,4,3.6,+11,Tim James
2001-02-22,24-058,CHH,HOME,GSW,W (+2),0,7:57,0,3,.000,0,0,,0,0,,2,1,3,1,0,0,0,1,0,-0.1,-3,Tim James
2001-02-24,24-060,CHH,HOME,PHI,W (+1),0,7:26,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,+4,Tim James
2001-02-28,24-064,CHH,HOME,NJN,W (+3),0,5:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,Tim James
2001-03-02,24-066,CHH,AWAY,ATL,W (+6),0,4:26,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.9,-3,Tim James
2001-03-04,24-068,CHH,AWAY,BOS,W (+19),0,7:57,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,1,2,2,-0.5,-5,Tim James
2001-03-08,24-072,CHH,HOME,ORL,W (+13),0,10:32,2,3,.667,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,6,3.6,+7,Tim James
2001-03-10,24-074,CHH,HOME,MIL,W (+10),0,11:36,0,2,.000,0,0,,0,0,,0,1,1,1,1,0,0,1,0,0.2,+3,Tim James
2001-03-14,24-078,CHH,HOME,VAN,W (+5),0,3:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1,Tim James
2001-03-16,24-080,CHH,AWAY,CLE,L (-5),0,1:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,+1,Tim James
2001-04-03,24-098,CHH,AWAY,NJN,W (+15),0,1:26,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2,Tim James
2001-04-07,24-102,CHH,HOME,DET,L (-5),0,7:29,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,0,0,2,1.0,-2,Tim James
2001-11-06,24-315,PHI,HOME,IND,L (-10),0,7:27,0,2,.000,0,0,,0,2,.000,0,0,0,0,0,1,0,1,0,-1.9,0,Tim James
2001-11-08,24-317,PHI,AWAY,HOU,L (-5),0,3:26,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-7,Tim James
2001-11-13,24-322,PHI,AWAY,MIA,W (+6),0,6:07,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3.7,-3,Tim James
2001-11-14,24-323,PHI,HOME,CHH,W (+14),0,10:48,3,5,.600,0,0,,1,2,.500,3,0,3,0,0,0,1,3,7,4.2,+5,Tim James
2001-11-16,24-325,PHI,HOME,ATL,W (+20),0,3:18,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,Tim James
2001-11-17,24-326,PHI,AWAY,NJN,W (+12),0,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Tim James
2001-11-21,24-330,PHI,HOME,DET,W (+5),0,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,Tim James
