DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2007-10-31,25-244,IND,HOME,WAS,W (+9),0,15:26,2,6,.333,1,4,.250,0,0,,0,2,2,2,1,0,2,2,5,1.8,+3,Travis Diener
2007-11-02,25-246,IND,HOME,MIA,W (+2),0,13:13,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,2,0,0,-2.7,-7,Travis Diener
2007-11-03,25-247,IND,AWAY,MEM,W (+10),0,12:28,2,6,.333,0,3,.000,0,0,,0,1,1,3,0,0,0,3,4,1.8,+2,Travis Diener
2007-11-07,25-251,IND,HOME,LAC,L (-15),0,11:29,2,5,.400,2,5,.400,0,0,,0,1,1,5,1,0,0,2,6,7.3,+3,Travis Diener
2007-11-09,25-253,IND,AWAY,CHA,L (-9),0,19:16,1,6,.167,0,4,.000,0,0,,0,1,1,2,0,0,0,1,2,-0.5,-6,Travis Diener
2007-11-10,25-254,IND,HOME,DEN,L (-7),0,4:58,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,2.7,-2,Travis Diener
2007-11-13,25-257,IND,HOME,BOS,L (-15),0,17:09,1,6,.167,0,4,.000,0,0,,0,0,0,0,0,0,0,0,2,-1.8,-13,Travis Diener
2007-11-14,25-258,IND,AWAY,WAS,L (-13),0,8:54,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3,2.7,-4,Travis Diener
2007-11-16,25-260,IND,AWAY,TOR,L (-9),0,13:42,3,5,.600,2,3,.667,2,2,1.000,0,2,2,3,0,0,2,3,10,7.2,-8,Travis Diener
2007-11-17,25-261,IND,HOME,UTA,W (+20),0,6:54,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-5,Travis Diener
2007-11-20,25-264,IND,HOME,LAL,L (-20),0,8:17,2,5,.400,1,4,.250,0,0,,0,0,0,1,0,0,1,4,5,0.4,-1,Travis Diener
2007-11-23,25-267,IND,HOME,DAL,W (+4),0,6:43,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,1,1,2,0.3,-2,Travis Diener
2007-11-27,25-271,IND,AWAY,DEN,W (+2),0,4:04,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-9,Travis Diener
2007-11-28,25-272,IND,AWAY,POR,W (+6),0,3:30,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0.0,-1,Travis Diener
2007-11-30,25-274,IND,AWAY,SEA,L (-2),0,5:48,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-9,Travis Diener
2007-12-12,25-286,IND,HOME,CHI,W (+15),0,2:15,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4,Travis Diener
2007-12-21,25-295,IND,AWAY,MIN,L (-13),0,3:22,2,2,1.000,1,1,1.000,2,2,1.000,1,0,1,0,0,0,1,1,7,5.7,+3,Travis Diener
2007-12-28,25-302,IND,AWAY,DET,L (-13),0,6:52,4,5,.800,3,4,.750,0,0,,0,0,0,2,0,0,0,2,11,9.7,+8,Travis Diener
2007-12-31,25-305,IND,AWAY,CHA,L (-4),0,1:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-4,Travis Diener
2008-01-02,25-307,IND,HOME,MEM,L (-18),0,2:58,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-2,Travis Diener
2008-01-04,25-309,IND,HOME,ATL,W (+22),0,7:56,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-7,Travis Diener
2008-01-06,25-311,IND,AWAY,LAL,L (-16),0,10:56,2,6,.333,1,4,.250,0,0,,1,3,4,4,0,0,4,1,5,1.6,-1,Travis Diener
2008-01-09,25-314,IND,AWAY,PHO,L (-7),0,14:27,5,10,.500,1,5,.200,1,1,1.000,0,1,1,1,0,0,1,3,12,5.8,-6,Travis Diener
2008-01-12,25-317,IND,AWAY,SAC,W (+6),0,28:53,6,10,.600,5,7,.714,2,2,1.000,0,3,3,3,1,0,0,2,19,17.6,+5,Travis Diener
2008-01-13,25-318,IND,AWAY,GSW,L (-5),0,10:12,1,5,.200,0,4,.000,0,0,,0,1,1,1,1,0,1,1,2,-0.5,-12,Travis Diener
2008-01-16,25-321,IND,HOME,GSW,W (+8),0,32:26,2,12,.167,1,5,.200,6,6,1.000,0,2,2,6,0,0,4,3,11,3.0,+15,Travis Diener
2008-01-19,25-324,IND,HOME,SAC,L (-6),0,12:17,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,0,1,4,3.3,-6,Travis Diener
2008-01-21,25-326,IND,AWAY,PHI,W (+7),0,15:24,2,5,.400,2,4,.500,0,0,,0,3,3,6,0,0,1,1,6,7.0,+3,Travis Diener
2008-01-23,25-328,IND,AWAY,CHI,L (-13),0,18:18,4,10,.400,2,6,.333,0,0,,0,1,1,1,0,0,1,0,10,4.6,-6,Travis Diener
2008-01-24,25-329,IND,AWAY,MIL,L (-12),1,40:03,4,12,.333,2,7,.286,5,5,1.000,1,0,1,9,1,0,1,1,15,14.8,-8,Travis Diener
2008-01-26,25-331,IND,AWAY,MIA,L (-2),1,22:16,3,8,.375,2,4,.500,0,0,,0,1,1,3,2,0,2,1,8,5.6,-8,Travis Diener
2008-01-29,25-334,IND,HOME,DET,L (-6),1,36:59,6,10,.600,3,6,.500,3,4,.750,0,3,3,3,2,0,2,5,18,14.0,-4,Travis Diener
