DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2022-10-19,26-348,SAC,HOME,POR,L (-7),0,14:32,2,8,.250,2,7,.286,0,0,,0,4,4,0,1,0,0,0,6,3.4,-4,Trey Lyles
2022-10-23,26-352,SAC,AWAY,GSW,L (-5),0,3:56,1,3,.333,0,2,.000,0,0,,0,1,1,1,1,0,1,2,2,0.5,+4,Trey Lyles
2022-10-29,26-358,SAC,HOME,MIA,W (+6),0,18:22,4,7,.571,2,4,.500,0,2,.000,1,4,5,0,1,1,1,1,10,8.1,+3,Trey Lyles
2022-10-31,26-360,SAC,AWAY,CHO,W (+7),0,21:09,1,4,.250,1,3,.333,3,4,.750,2,2,4,3,1,2,2,4,6,6.1,+11,Trey Lyles
2022-11-02,26-362,SAC,AWAY,MIA,L (-3),0,12:51,1,3,.333,1,3,.333,0,0,,0,4,4,1,0,0,1,0,3,2.2,-4,Trey Lyles
2022-11-05,27-000,SAC,AWAY,ORL,W (+3),0,29:34,5,10,.500,4,7,.571,1,1,1.000,0,3,3,2,0,1,2,2,15,10.2,+10,Trey Lyles
2022-11-07,27-002,SAC,AWAY,GSW,L (-3),0,4:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+6,Trey Lyles
2022-11-09,27-004,SAC,HOME,CLE,W (+7),0,18:34,5,9,.556,4,7,.571,2,2,1.000,0,1,1,1,0,1,3,2,16,9.6,+1,Trey Lyles
2022-11-11,27-006,SAC,AWAY,LAL,W (+6),0,14:30,0,4,.000,0,4,.000,0,0,,1,1,2,1,0,0,0,0,0,-1.1,-7,Trey Lyles
2022-11-13,27-008,SAC,HOME,GSW,W (+7),0,5:26,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-9,Trey Lyles
