DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2013-10-30,25-178,BOS,AWAY,TOR,L (-6),1,26:41,4,9,.444,0,1,.000,5,8,.625,1,2,3,0,0,3,3,5,13,5.5,-17,Vitor Luiz Faverani
2013-11-01,25-180,BOS,HOME,MIL,L (-7),1,37:07,4,6,.667,0,1,.000,4,6,.667,6,12,18,1,1,6,3,4,12,17.7,+1,Vitor Luiz Faverani
2013-11-03,25-182,BOS,AWAY,DET,L (-10),1,18:32,4,6,.667,0,1,.000,0,0,,1,1,2,1,2,1,2,2,8,7.0,-7,Vitor Luiz Faverani
2013-11-04,25-183,BOS,AWAY,MEM,L (-7),1,27:38,2,4,.500,1,3,.333,0,0,,2,4,6,0,1,1,3,4,5,2.7,-19,Vitor Luiz Faverani
2013-11-06,25-185,BOS,HOME,UTA,W (+10),1,6:04,0,4,.000,0,1,.000,0,0,,1,2,3,2,0,0,0,1,0,-0.5,-8,Vitor Luiz Faverani
2013-11-08,25-187,BOS,AWAY,ORL,W (+2),1,16:31,1,4,.250,1,2,.500,0,0,,2,3,5,1,0,0,1,2,3,1.8,+2,Vitor Luiz Faverani
2013-11-09,25-188,BOS,AWAY,MIA,W (+1),0,2:41,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,+8,Vitor Luiz Faverani
2013-11-11,25-190,BOS,HOME,ORL,W (+15),0,14:24,2,4,.500,0,2,.000,0,0,,1,4,5,0,1,2,0,0,4,6.3,+9,Vitor Luiz Faverani
2013-11-13,25-192,BOS,HOME,CHA,L (-6),0,22:02,2,8,.250,1,2,.500,2,4,.500,3,6,9,1,0,1,3,3,7,2.5,+10,Vitor Luiz Faverani
2013-11-15,25-194,BOS,HOME,POR,L (-13),0,14:51,3,4,.750,1,1,1.000,2,3,.667,0,3,3,0,0,0,2,3,9,4.7,+1,Vitor Luiz Faverani
2013-11-16,25-195,BOS,AWAY,MIN,L (-18),1,26:35,3,7,.429,2,4,.500,1,2,.500,5,9,14,1,3,4,2,3,9,14.4,+2,Vitor Luiz Faverani
2013-11-19,25-198,BOS,AWAY,HOU,L (-24),1,14:28,2,6,.333,0,0,,1,2,.500,4,1,5,1,0,0,1,5,5,2.0,-19,Vitor Luiz Faverani
2013-11-20,25-199,BOS,AWAY,SAS,L (-11),0,2:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+2,Vitor Luiz Faverani
2013-11-22,25-201,BOS,HOME,IND,L (-15),0,10:48,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,0,0,-2.8,-9,Vitor Luiz Faverani
2013-11-23,25-202,BOS,AWAY,ATL,W (+7),0,14:08,4,6,.667,1,1,1.000,2,2,1.000,2,3,5,0,0,1,2,1,11,9.0,+10,Vitor Luiz Faverani
2013-11-25,25-204,BOS,AWAY,CHA,W (+10),0,12:59,2,5,.400,1,1,1.000,0,0,,0,2,2,1,0,0,1,4,5,1.0,+7,Vitor Luiz Faverani
2013-11-27,25-206,BOS,HOME,MEM,L (-7),0,13:10,3,8,.375,1,2,.500,0,0,,2,1,3,0,0,0,0,0,7,4.3,-9,Vitor Luiz Faverani
2013-11-29,25-208,BOS,HOME,CLE,W (+17),0,21:57,2,7,.286,0,2,.000,2,4,.500,2,7,9,0,1,2,1,5,6,4.0,+1,Vitor Luiz Faverani
2013-11-30,25-209,BOS,AWAY,MIL,L (-7),0,15:02,3,6,.500,0,0,,1,2,.500,0,0,0,0,0,0,1,2,7,1.8,-16,Vitor Luiz Faverani
2013-12-03,25-212,BOS,HOME,MIL,W (+8),0,6:45,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,1,0,-0.4,-2,Vitor Luiz Faverani
2013-12-06,25-215,BOS,HOME,DEN,W (+8),0,19:39,3,6,.500,1,2,.500,0,0,,2,2,4,2,0,1,2,3,7,4.9,+7,Vitor Luiz Faverani
2013-12-08,25-217,BOS,AWAY,NYK,W (+41),0,7:19,0,0,,0,0,,0,0,,1,1,2,0,0,0,2,2,0,-1.8,-5,Vitor Luiz Faverani
2013-12-10,25-219,BOS,AWAY,BRK,L (-8),0,4:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-12,Vitor Luiz Faverani
2013-12-11,25-220,BOS,HOME,LAC,L (-8),0,5:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Vitor Luiz Faverani
2013-12-13,25-222,BOS,HOME,NYK,W (+4),0,13:54,3,4,.750,1,2,.500,0,0,,0,4,4,1,0,1,1,2,7,6.2,+11,Vitor Luiz Faverani
2013-12-16,25-225,BOS,HOME,MIN,W (+4),0,11:53,3,4,.750,0,1,.000,0,0,,1,4,5,0,0,1,0,2,6,6.2,+4,Vitor Luiz Faverani
2013-12-18,25-227,BOS,HOME,DET,L (-1),0,10:35,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,2.0,-9,Vitor Luiz Faverani
2013-12-21,25-230,BOS,HOME,WAS,L (-7),0,7:25,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,+4,Vitor Luiz Faverani
2013-12-22,25-231,BOS,AWAY,IND,L (-27),0,13:05,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,2,1,2,0,-1.9,-6,Vitor Luiz Faverani
2014-01-02,25-242,BOS,AWAY,CHI,L (-12),0,9:07,1,5,.200,0,1,.000,2,2,1.000,1,0,1,0,1,0,2,2,4,-0.2,-13,Vitor Luiz Faverani
2014-01-05,25-245,BOS,AWAY,OKC,L (-23),0,6:36,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,0,0,0.3,-7,Vitor Luiz Faverani
