DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-03-30,26-247,CHI,HOME,TOR,L (-23),0,31:02,8,15,.533,0,1,.000,3,5,.600,0,4,4,6,4,1,1,3,19,18.8,-4,Walt Lemon Jr.
2019-04-01,26-249,CHI,AWAY,NYK,L (-8),1,30:40,3,12,.250,0,0,,0,1,.000,1,1,2,5,3,0,0,2,6,5.1,+2,Walt Lemon Jr.
2019-04-03,26-251,CHI,AWAY,WAS,W (+1),1,28:56,11,16,.688,0,0,,2,2,1.000,0,3,3,8,2,0,4,2,24,20.9,+4,Walt Lemon Jr.
2019-04-06,26-254,CHI,HOME,PHI,L (-20),1,30:01,4,16,.250,0,2,.000,0,0,,0,8,8,5,2,0,2,2,8,3.5,-19,Walt Lemon Jr.
2019-04-09,26-257,CHI,HOME,NYK,L (-10),0,18:13,3,9,.333,0,0,,3,3,1.000,1,3,4,2,0,0,1,3,9,4.7,+1,Walt Lemon Jr.
2019-04-10,26-258,CHI,AWAY,PHI,L (-16),0,28:17,9,19,.474,2,2,1.000,0,0,,2,4,6,4,0,0,2,2,20,12.9,-7,Walt Lemon Jr.
2018-02-23,25-212,NOP,HOME,MIA,W (+1),0,4:03,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-4,Walt Lemon Jr.
2018-02-26,25-215,NOP,HOME,PHO,W (+9),0,4:49,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-8,Walt Lemon Jr.
2018-02-28,25-217,NOP,AWAY,SAS,W (+5),0,5:19,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-5,Walt Lemon Jr.
2018-03-04,25-221,NOP,AWAY,DAL,W (+17),0,8:55,2,4,.500,1,1,1.000,1,2,.500,0,1,1,1,0,0,2,1,6,2.2,0,Walt Lemon Jr.
2018-03-09,25-226,NOP,HOME,WAS,L (-19),0,12:00,3,6,.500,0,0,,1,1,1.000,0,1,1,3,0,1,1,2,7,5.3,+2,Walt Lemon Jr.
