DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2012-11-02,21-301,POR,AWAY,OKC,L (-14),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Will Barton
2012-11-03,21-302,POR,AWAY,HOU,W (+10),0,15:29,2,7,.286,1,3,.333,0,0,,1,3,4,1,1,1,2,1,5,2.5,-6,Will Barton
2012-11-05,21-304,POR,AWAY,DAL,L (-23),0,1:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,Will Barton
2012-11-08,21-307,POR,HOME,LAC,L (-13),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,Will Barton
2012-11-10,21-309,POR,HOME,SAS,L (-3),0,2:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9,Will Barton
2012-11-12,21-311,POR,HOME,ATL,L (-8),0,2:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-2,Will Barton
2012-11-18,21-317,POR,HOME,CHI,W (+8),0,9:11,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,0,1,2,0.9,+1,Will Barton
2012-11-21,21-320,POR,AWAY,PHO,L (-27),0,6:21,0,3,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,0.5,-4,Will Barton
2012-11-23,21-322,POR,HOME,MIN,W (+8),0,5:49,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,Will Barton
2012-11-25,21-324,POR,AWAY,BRK,L (-13),0,9:09,1,3,.333,0,0,,0,0,,1,1,2,1,1,0,1,0,2,2.0,+3,Will Barton
2012-11-26,21-325,POR,AWAY,DET,L (-7),0,21:22,5,8,.625,1,2,.500,1,2,.500,0,1,1,0,2,0,0,1,12,9.9,-3,Will Barton
2012-11-28,21-327,POR,AWAY,WAS,L (-2),0,8:03,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,0.6,-6,Will Barton
2012-11-30,21-329,POR,AWAY,BOS,L (-18),0,17:00,1,5,.200,0,1,.000,1,2,.500,1,2,3,4,2,0,3,1,3,2.2,-5,Will Barton
2012-12-01,21-330,POR,AWAY,CLE,W (+1),0,12:47,3,5,.600,1,3,.333,0,0,,0,1,1,0,1,1,2,1,7,4.3,-14,Will Barton
2012-12-03,21-332,POR,AWAY,CHA,W (+6),0,11:31,3,5,.600,1,2,.500,0,2,.000,0,1,1,0,1,0,2,1,7,2.8,-8,Will Barton
2012-12-05,21-334,POR,AWAY,IND,L (-7),0,13:52,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,2,1,0,-4.2,-5,Will Barton
2012-12-10,21-339,POR,HOME,TOR,W (+18),0,11:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8,Will Barton
2012-12-13,21-342,POR,HOME,SAS,W (+8),0,6:22,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2,Will Barton
2012-12-16,21-345,POR,HOME,NOH,W (+1),0,7:12,1,6,.167,0,1,.000,0,0,,2,0,2,1,0,0,0,0,2,0.3,+5,Will Barton
2012-12-20,21-349,POR,HOME,DEN,W (+8),0,2:54,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1,Will Barton
