DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-05-23,27-084,LAL,AWAY,PHO,L (-9),0,24:07,4,9,0.444,2,4,0.5,0,0,,0,0,0,0,0,0,0,4,10,3.7,1,Alex Caruso
2021-05-25,27-086,LAL,AWAY,PHO,W (+7),0,18:47,2,5,0.4,0,2,0.0,0,0,,1,0,1,0,0,1,0,1,4,2.3,-8,Alex Caruso
2021-05-27,27-088,LAL,HOME,PHO,W (+14),0,20:26,2,5,0.4,0,1,0.0,0,0,,0,2,2,1,1,2,1,1,4,3.6,5,Alex Caruso
2021-05-30,27-091,LAL,HOME,PHO,L (-8),0,29:05,3,8,0.375,2,6,0.333,2,2,1.0,0,3,3,1,0,1,4,3,10,2.7,8,Alex Caruso
2021-06-01,27-093,LAL,AWAY,PHO,L (-30),0,20:30,2,8,0.25,1,4,0.25,0,0,,1,0,1,0,0,0,2,2,5,-1.9,-20,Alex Caruso
2021-06-03,27-095,LAL,HOME,PHO,L (-13),0,7:44,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9,-6,Alex Caruso
2022-04-17,28-048,CHI,AWAY,MIL,L (-7),1,32:51,3,7,.429,1,5,.200,0,0,,1,2,3,2,2,0,0,5,7,6.0,-10,Alex Caruso
2022-04-20,28-051,CHI,AWAY,MIL,W (+4),1,37:57,3,8,.375,3,7,.429,0,0,,1,1,2,10,2,2,1,1,9,14.6,+16,Alex Caruso
2022-04-22,28-053,CHI,HOME,MIL,L (-30),1,25:40,3,7,.429,3,5,.600,0,0,,0,2,2,1,0,0,0,3,9,5.4,-20,Alex Caruso
2022-04-24,28-055,CHI,HOME,MIL,L (-24),1,16:58,0,1,.000,0,1,.000,0,0,,0,4,4,4,1,2,0,2,0,4.9,-8,Alex Caruso
2020-08-18,26-172,LAL,HOME,POR,L (-7),0,29:03,1,6,.167,0,3,.000,0,0,,0,0,0,3,3,0,2,2,2,0.5,+12,Alex Caruso
2020-08-20,26-174,LAL,HOME,POR,W (+23),0,17:10,1,4,.250,1,4,.250,0,0,,3,2,5,3,1,0,1,3,3,4.2,+11,Alex Caruso
2020-08-22,26-176,LAL,AWAY,POR,W (+8),0,26:46,3,5,.600,1,2,.500,3,4,.750,1,3,4,7,0,1,2,4,10,10.9,+10,Alex Caruso
2020-08-24,26-178,LAL,AWAY,POR,W (+20),0,20:52,2,7,.286,1,4,.250,0,0,,0,3,3,3,0,0,1,3,5,1.7,+15,Alex Caruso
2020-08-29,26-183,LAL,HOME,POR,W (+9),0,25:20,3,5,.600,0,2,.000,1,2,.500,0,3,3,2,4,1,3,1,7,7.9,+5,Alex Caruso
2020-09-04,26-189,LAL,HOME,HOU,L (-15),0,16:12,4,7,.571,2,5,.400,4,4,1.000,2,0,2,4,1,0,2,5,14,11.9,-2,Alex Caruso
2020-09-06,26-191,LAL,HOME,HOU,W (+8),0,25:33,1,5,.200,0,2,.000,0,0,,1,0,1,4,1,0,2,3,2,0.2,+7,Alex Caruso
2020-09-08,26-193,LAL,AWAY,HOU,W (+10),0,24:48,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,2,1,5,3.3,+7,Alex Caruso
2020-09-10,26-195,LAL,AWAY,HOU,W (+10),0,29:43,5,9,.556,2,5,.400,4,4,1.000,0,3,3,2,1,2,1,4,16,13.8,+1,Alex Caruso
2020-09-12,26-197,LAL,HOME,HOU,W (+23),0,23:37,2,6,.333,1,4,.250,0,0,,0,2,2,2,1,2,1,1,5,4.6,-4,Alex Caruso
2020-09-18,26-203,LAL,HOME,DEN,W (+12),0,22:19,1,3,.333,0,2,.000,3,5,.600,1,1,2,4,0,1,0,4,5,5.4,+6,Alex Caruso
