DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2009-04-19,28-060,UTA,AWAY,LAL,L (-13),0,25:48,3,10,0.3,1,2,0.5,1,2,0.5,4,4,8,4,1,0,1,2,8,7.8,-21,Andrei Kirilenko
2009-04-21,28-062,UTA,AWAY,LAL,L (-10),0,16:37,2,3,0.667,0,0,,6,6,1.0,1,1,2,0,2,1,1,1,10,11.0,-2,Andrei Kirilenko
2009-04-23,28-064,UTA,HOME,LAL,W (+2),1,27:10,4,6,0.667,0,0,,0,0,,0,0,0,3,1,1,2,0,8,7.2,-9,Andrei Kirilenko
2009-04-25,28-066,UTA,HOME,LAL,L (-14),1,35:21,7,15,0.467,0,1,0.0,1,4,0.25,2,2,4,2,3,1,1,1,15,11.8,-4,Andrei Kirilenko
2009-04-27,28-068,UTA,AWAY,LAL,L (-11),1,31:23,6,13,0.462,0,2,0.0,2,2,1.0,0,0,0,1,4,0,0,2,14,11.2,-9,Andrei Kirilenko
2002-04-20,21-061,UTA,AWAY,SAC,L (-3),1,12:45,1,6,0.167,0,0,,0,0,,1,0,1,0,0,0,1,4,2,-3.7,-12,Andrei Kirilenko
2002-04-23,21-064,UTA,AWAY,SAC,W (+7),1,41:58,4,7,0.571,0,1,0.0,7,10,0.7,2,4,6,3,2,5,2,3,15,17.5,6,Andrei Kirilenko
2002-04-27,21-068,UTA,HOME,SAC,L (-3),1,37:30,2,8,0.25,0,3,0.0,4,4,1.0,0,2,2,0,3,3,0,3,8,7.7,-1,Andrei Kirilenko
2002-04-29,21-070,UTA,HOME,SAC,L (-5),1,28:39,4,7,0.571,0,0,,2,2,1.0,1,5,6,1,2,2,3,0,10,10.0,0,Andrei Kirilenko
2003-04-19,22-060,UTA,AWAY,SAC,L (-6),0,30:02,3,7,0.429,0,1,0.0,4,4,1.0,1,3,4,1,0,3,1,0,10,9.7,-12,Andrei Kirilenko
2003-04-21,22-062,UTA,AWAY,SAC,L (-13),0,29:45,3,9,0.333,1,4,0.25,10,12,0.833,3,3,6,1,2,3,2,1,17,16.5,1,Andrei Kirilenko
2003-04-26,22-067,UTA,HOME,SAC,W (+3),0,33:09,4,9,0.444,0,0,,2,2,1.0,1,4,5,3,0,1,1,2,10,8.2,5,Andrei Kirilenko
2003-04-28,22-069,UTA,HOME,SAC,L (-17),0,28:35,6,9,0.667,0,0,,3,4,0.75,1,3,4,1,0,3,1,1,15,13.7,-8,Andrei Kirilenko
2003-04-30,22-071,UTA,AWAY,SAC,L (-20),0,23:37,2,9,0.222,0,2,0.0,2,2,1.0,2,3,5,1,1,0,1,2,6,2.7,-8,Andrei Kirilenko
2010-05-08,29-079,UTA,HOME,LAL,L (-1),0,17:02,4,7,.571,0,0,,0,0,,3,3,6,0,1,1,0,1,8,9.0,-7,Andrei Kirilenko
2010-05-10,29-081,UTA,HOME,LAL,L (-15),0,12:29,1,3,.333,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,3,0.9,-6,Andrei Kirilenko
2007-04-21,26-062,UTA,AWAY,HOU,L (-9),1,15:57,1,3,0.333,0,0,,0,2,0.0,1,0,1,1,1,1,0,1,2,2.2,-6,Andrei Kirilenko
2007-04-23,26-064,UTA,AWAY,HOU,L (-8),1,17:35,0,3,0.0,0,1,0.0,0,0,,0,3,3,0,0,2,2,5,0,-3.8,-3,Andrei Kirilenko
2007-04-26,26-067,UTA,HOME,HOU,W (+14),1,26:39,1,2,0.5,0,0,,0,2,0.0,1,2,3,1,1,0,1,4,2,0.6,0,Andrei Kirilenko
2007-04-28,26-069,UTA,HOME,HOU,W (+13),1,29:03,0,1,0.0,0,0,,3,4,0.75,2,2,4,4,1,4,1,4,3,7.9,11,Andrei Kirilenko
2007-04-30,26-071,UTA,AWAY,HOU,L (-4),1,30:58,4,5,0.8,0,0,,0,0,,1,3,4,5,0,3,2,1,8,10.9,-4,Andrei Kirilenko
2007-05-03,26-074,UTA,HOME,HOU,W (+12),1,34:35,6,10,0.6,0,0,,2,2,1.0,2,3,5,4,3,5,1,4,14,18.4,20,Andrei Kirilenko
2007-05-05,26-076,UTA,AWAY,HOU,W (+4),1,32:15,2,6,0.333,1,1,1.0,3,4,0.75,1,1,2,1,0,1,1,2,8,4.8,-3,Andrei Kirilenko
2007-05-07,26-078,UTA,HOME,GSW,W (+4),1,39:52,3,8,0.375,0,1,0.0,7,8,0.875,0,7,7,4,1,7,3,3,13,14.8,9,Andrei Kirilenko
2007-05-09,26-080,UTA,HOME,GSW,W (+10),1,41:17,7,18,0.389,0,2,0.0,6,7,0.857,3,6,9,5,1,6,4,6,20,16.0,-9,Andrei Kirilenko
2007-05-11,26-082,UTA,AWAY,GSW,L (-20),1,38:56,6,14,0.429,1,1,1.0,2,2,1.0,1,4,5,5,0,3,5,3,15,8.9,-15,Andrei Kirilenko
2007-05-13,26-084,UTA,AWAY,GSW,W (+14),1,21:37,2,5,0.4,0,0,,8,8,1.0,3,5,8,2,0,0,1,5,12,11.3,6,Andrei Kirilenko
2007-05-15,26-086,UTA,HOME,GSW,W (+13),1,33:34,8,12,0.667,0,0,,5,5,1.0,6,9,15,1,3,0,1,2,21,24.6,4,Andrei Kirilenko
2007-05-20,26-091,UTA,AWAY,SAS,L (-8),1,29:17,3,5,0.6,1,1,1.0,0,0,,2,3,5,2,0,0,3,5,7,3.4,-5,Andrei Kirilenko
2007-05-22,26-093,UTA,AWAY,SAS,L (-9),1,37:34,5,11,0.455,0,0,,5,7,0.714,1,2,3,3,2,1,5,3,15,8.4,4,Andrei Kirilenko
2007-05-26,26-097,UTA,HOME,SAS,W (+26),1,29:49,0,2,0.0,0,0,,2,4,0.5,0,2,2,3,0,2,0,0,2,3.9,17,Andrei Kirilenko
2007-05-28,26-099,UTA,HOME,SAS,L (-12),1,36:15,3,7,0.429,0,1,0.0,3,4,0.75,3,5,8,1,1,4,3,2,9,9.2,-11,Andrei Kirilenko
2007-05-30,26-101,UTA,AWAY,SAS,L (-25),1,31:31,4,11,0.364,0,1,0.0,5,6,0.833,1,4,5,2,1,1,2,2,13,8.7,-12,Andrei Kirilenko
2008-04-19,27-061,UTA,AWAY,HOU,W (+11),1,40:22,8,12,0.667,1,2,0.5,4,5,0.8,0,4,4,3,2,1,0,3,21,20.2,2,Andrei Kirilenko
2008-04-21,27-063,UTA,AWAY,HOU,W (+6),1,33:56,1,8,0.125,0,2,0.0,1,2,0.5,4,4,8,4,1,1,1,2,3,4.1,10,Andrei Kirilenko
2008-04-24,27-066,UTA,HOME,HOU,L (-2),1,30:49,2,7,0.286,1,2,0.5,0,2,0.0,0,2,2,0,0,1,2,4,5,-2.2,3,Andrei Kirilenko
2008-04-26,27-068,UTA,HOME,HOU,W (+4),1,28:34,4,9,0.444,0,2,0.0,3,4,0.75,3,2,5,1,1,1,1,2,11,9.2,6,Andrei Kirilenko
2008-04-29,27-071,UTA,AWAY,HOU,L (-26),1,29:25,2,7,0.286,0,1,0.0,1,2,0.5,0,1,1,2,2,0,3,1,5,0.8,-11,Andrei Kirilenko
2008-05-02,27-074,UTA,HOME,HOU,W (+22),1,31:22,5,11,0.455,1,2,0.5,0,0,,2,2,4,2,1,3,0,4,11,10.2,19,Andrei Kirilenko
2008-05-04,27-076,UTA,AWAY,LAL,L (-11),1,30:26,5,11,0.455,0,3,0.0,1,2,0.5,0,6,6,3,2,5,1,6,11,10.9,-5,Andrei Kirilenko
2008-05-07,27-079,UTA,AWAY,LAL,L (-10),1,29:49,6,13,0.462,0,1,0.0,2,3,0.667,1,2,3,5,1,0,2,6,14,8.3,-10,Andrei Kirilenko
2008-05-09,27-081,UTA,HOME,LAL,W (+5),1,28:34,5,9,0.556,0,1,0.0,2,2,1.0,1,1,2,2,1,1,1,6,12,8.4,4,Andrei Kirilenko
2008-05-11,27-083,UTA,HOME,LAL,W (+8),1,37:40,4,4,1.0,0,0,,7,9,0.778,0,0,0,3,0,5,4,4,15,13.0,8,Andrei Kirilenko
2008-05-14,27-086,UTA,AWAY,LAL,L (-7),1,38:48,5,13,0.385,0,3,0.0,2,2,1.0,1,1,2,3,4,1,2,6,12,8.3,-7,Andrei Kirilenko
2008-05-16,27-088,UTA,HOME,LAL,L (-3),1,27:26,4,10,0.4,2,3,0.667,2,2,1.0,3,1,4,2,3,1,1,2,12,12.3,3,Andrei Kirilenko
2014-04-22,33-063,BRK,AWAY,TOR,L (-5),0,19:38,2,3,.667,0,0,,0,0,,2,1,3,1,4,0,0,1,4,8.7,-4,Andrei Kirilenko
2014-04-25,33-066,BRK,HOME,TOR,W (+4),0,17:04,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,1,0,1.2,+13,Andrei Kirilenko
2014-04-27,33-068,BRK,HOME,TOR,L (-8),0,15:02,0,1,.000,0,0,,1,2,.500,0,2,2,1,1,2,0,4,1,2.0,-3,Andrei Kirilenko
2014-04-30,33-071,BRK,AWAY,TOR,L (-2),0,3:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-7,Andrei Kirilenko
2014-05-02,33-073,BRK,HOME,TOR,W (+14),0,13:45,0,2,.000,0,0,,2,2,1.000,3,1,4,2,2,0,0,0,2,6.4,-1,Andrei Kirilenko
2014-05-04,33-075,BRK,AWAY,TOR,W (+1),0,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Andrei Kirilenko
2014-05-06,33-077,BRK,AWAY,MIA,L (-21),0,12:32,1,2,.500,0,0,,3,4,.750,1,1,2,1,1,1,0,3,5,5.8,+2,Andrei Kirilenko
2014-05-10,33-081,BRK,HOME,MIA,W (+14),0,19:00,1,1,1.000,0,0,,1,2,.500,1,2,3,1,1,0,0,0,3,5.3,+10,Andrei Kirilenko
