DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-21,33-172,TOR,AWAY,DET,L (-22),1,39:36,5,16,0.313,0,0,,5,6,0.833,4,10,14,1,1,2,1,1,15,12.9,-18,Antonio Davis
2002-04-24,33-175,TOR,AWAY,DET,L (-5),1,43:55,8,15,0.533,0,0,,5,6,0.833,4,10,14,2,0,0,1,2,21,18.7,-4,Antonio Davis
2002-04-27,33-178,TOR,HOME,DET,W (+10),1,43:06,14,19,0.737,0,0,,2,2,1.0,3,5,8,1,1,0,4,4,30,22.0,13,Antonio Davis
2002-04-29,33-180,TOR,HOME,DET,W (+6),1,38:54,5,15,0.333,0,0,,0,3,0.0,1,4,5,1,0,2,2,5,10,0.3,0,Antonio Davis
2002-05-02,33-183,TOR,AWAY,DET,L (-3),1,35:54,2,10,0.2,0,0,,5,11,0.455,4,8,12,2,0,1,2,5,9,3.7,1,Antonio Davis
2001-04-22,32-173,TOR,AWAY,NYK,L (-7),1,45:31,6,13,0.462,0,0,,7,8,0.875,6,9,15,1,0,0,3,1,19,16.1,-6,Antonio Davis
2001-04-26,32-177,TOR,AWAY,NYK,W (+20),1,38:21,6,12,0.5,0,0,,3,4,0.75,3,9,12,2,1,2,2,2,15,14.4,19,Antonio Davis
2001-04-29,32-180,TOR,HOME,NYK,L (-8),1,39:02,10,16,0.625,0,0,,1,2,0.5,4,8,12,1,0,2,4,5,21,14.7,-10,Antonio Davis
2001-05-02,32-183,TOR,HOME,NYK,W (+7),1,38:57,4,11,0.364,0,0,,2,2,1.0,4,5,9,1,1,4,4,5,10,6.7,7,Antonio Davis
2001-05-04,32-185,TOR,AWAY,NYK,W (+4),1,39:34,5,11,0.455,0,0,,4,6,0.667,4,8,12,2,1,2,2,2,14,13.7,7,Antonio Davis
2001-05-06,32-187,TOR,AWAY,PHI,W (+3),1,42:20,4,12,0.333,0,0,,2,4,0.5,4,8,12,3,1,2,0,3,10,10.9,3,Antonio Davis
2001-05-09,32-190,TOR,AWAY,PHI,L (-5),1,44:41,8,13,0.615,0,0,,3,4,0.75,1,9,10,3,0,0,1,1,19,16.8,-3,Antonio Davis
2001-05-11,32-192,TOR,HOME,PHI,W (+24),1,44:37,9,16,0.563,0,0,,2,2,1.0,3,11,14,2,1,3,2,3,20,19.1,24,Antonio Davis
2001-05-13,32-194,TOR,HOME,PHI,L (-5),1,44:12,4,10,0.4,0,0,,7,8,0.875,4,7,11,0,3,2,1,4,15,15.9,-7,Antonio Davis
2001-05-16,32-197,TOR,AWAY,PHI,L (-33),1,29:04,5,9,0.556,0,0,,4,4,1.0,2,2,4,2,0,1,0,3,14,12.6,-14,Antonio Davis
2001-05-18,32-199,TOR,HOME,PHI,W (+12),1,37:07,5,16,0.313,0,0,,7,7,1.0,4,9,13,4,1,2,1,1,17,17.1,4,Antonio Davis
2001-05-20,32-201,TOR,AWAY,PHI,L (-1),1,40:59,11,15,0.733,0,0,,1,2,0.5,2,7,9,2,1,2,1,5,23,20.8,11,Antonio Davis
2000-04-23,31-175,TOR,AWAY,NYK,L (-4),1,36:33,3,6,0.5,0,0,,3,6,0.5,1,8,9,2,0,0,2,1,9,6.9,-10,Antonio Davis
2000-04-26,31-178,TOR,AWAY,NYK,L (-1),1,27:38,4,6,0.667,0,0,,4,4,1.0,0,4,4,0,1,0,1,5,12,8.6,6,Antonio Davis
2000-04-30,31-182,TOR,HOME,NYK,L (-7),1,40:02,7,12,0.583,0,0,,4,4,1.0,6,6,12,1,0,4,1,3,18,19.7,-12,Antonio Davis
2005-04-24,36-175,CHI,HOME,WAS,W (+9),1,28:57,4,6,0.667,0,0,,1,2,0.5,1,2,3,3,0,2,0,3,9,9.6,7,Antonio Davis
2005-04-27,36-178,CHI,HOME,WAS,W (+10),1,28:57,5,9,0.556,0,0,,8,9,0.889,1,4,5,3,1,1,1,5,18,16.0,5,Antonio Davis
2005-04-30,36-181,CHI,AWAY,WAS,L (-18),1,29:18,4,11,0.364,0,0,,5,6,0.833,5,6,11,3,2,0,2,6,13,11.5,-1,Antonio Davis
2005-05-02,36-183,CHI,AWAY,WAS,L (-7),1,28:24,3,9,0.333,0,0,,2,4,0.5,4,3,7,0,1,0,4,4,8,1.2,-11,Antonio Davis
2005-05-04,36-185,CHI,HOME,WAS,L (-2),1,26:23,1,4,0.25,0,0,,1,2,0.5,2,4,6,1,0,0,1,4,3,0.9,-6,Antonio Davis
2005-05-06,36-187,CHI,AWAY,WAS,L (-3),1,29:47,3,7,0.429,0,0,,0,0,,4,5,9,1,0,1,1,3,6,5.8,-5,Antonio Davis
