DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-04-19,24-213,HOU,HOME,UTA,L (-11),0,11:09,1,4,0.25,0,0,,2,4,0.5,1,3,4,0,1,0,0,0,4,3.4,-12,Carl Landry
2008-04-21,24-215,HOU,HOME,UTA,L (-6),0,7:53,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,1,Carl Landry
2008-04-24,24-218,HOU,AWAY,UTA,W (+2),0,23:11,3,4,0.75,0,0,,1,1,1.0,7,4,11,0,0,2,1,3,7,10.7,9,Carl Landry
2008-04-26,24-220,HOU,AWAY,UTA,L (-4),0,31:19,3,6,0.5,0,0,,7,9,0.778,6,0,6,0,2,1,0,2,13,15.3,0,Carl Landry
2008-04-29,24-223,HOU,HOME,UTA,W (+26),0,22:32,3,8,0.375,0,0,,2,2,1.0,1,4,5,0,3,0,0,1,8,8.1,20,Carl Landry
2008-05-02,24-226,HOU,AWAY,UTA,L (-22),0,9:42,0,2,0.0,0,0,,0,0,,0,2,2,0,1,0,0,1,0,-0.2,-9,Carl Landry
2013-04-20,29-213,GSW,AWAY,DEN,L (-2),0,23:52,6,14,0.429,0,0,,2,2,1.0,2,3,5,1,1,1,1,1,14,9.9,-8,Carl Landry
2013-04-23,29-216,GSW,AWAY,DEN,W (+14),0,17:57,3,5,0.6,0,0,,3,4,0.75,2,2,4,0,0,0,2,3,9,5.1,-4,Carl Landry
2013-04-26,29-219,GSW,HOME,DEN,W (+2),0,26:31,8,17,0.471,0,0,,3,3,1.0,4,1,5,2,2,0,4,2,19,12.0,-4,Carl Landry
2013-04-28,29-221,GSW,HOME,DEN,W (+14),0,18:10,6,11,0.545,0,0,,5,6,0.833,0,1,1,2,1,0,1,0,17,13.0,6,Carl Landry
2013-04-30,29-223,GSW,AWAY,DEN,L (-7),0,20:49,3,5,0.6,0,0,,3,4,0.75,0,4,4,0,1,1,1,2,9,7.4,-4,Carl Landry
2013-05-02,29-225,GSW,HOME,DEN,W (+4),1,18:50,3,6,0.5,0,0,,3,3,1.0,0,5,5,0,0,0,1,3,9,5.3,-5,Carl Landry
2013-05-06,29-229,GSW,AWAY,SAS,L (-2),0,14:04,4,5,0.8,0,0,,0,3,0.0,2,4,6,1,0,0,3,3,8,4.0,3,Carl Landry
2013-05-08,29-231,GSW,AWAY,SAS,W (+9),0,13:46,4,5,0.8,0,0,,2,3,0.667,4,4,8,0,0,0,1,0,10,10.7,-1,Carl Landry
2013-05-10,29-233,GSW,HOME,SAS,L (-10),0,25:31,5,8,0.625,0,0,,4,4,1.0,1,6,7,4,0,0,0,5,14,13.7,-5,Carl Landry
2013-05-12,29-235,GSW,HOME,SAS,W (+10),1,23:35,2,9,0.222,0,0,,2,3,0.667,2,3,5,4,0,0,3,3,6,1.0,9,Carl Landry
2013-05-14,29-237,GSW,AWAY,SAS,L (-18),1,25:35,4,7,0.571,0,0,,8,12,0.667,2,4,6,2,1,0,1,3,16,13.9,-13,Carl Landry
2013-05-16,29-239,GSW,HOME,SAS,L (-12),0,17:15,4,8,0.5,0,0,,3,5,0.6,3,3,6,1,1,0,1,4,11,8.3,-7,Carl Landry
2011-04-17,27-210,NOH,AWAY,LAL,W (+9),1,33:15,6,13,0.462,0,0,,5,5,1.0,1,4,5,1,0,0,0,5,17,10.9,-2,Carl Landry
2011-04-20,27-213,NOH,AWAY,LAL,L (-9),1,35:27,4,12,0.333,0,0,,4,4,1.0,1,6,7,0,1,2,3,5,12,5.1,-10,Carl Landry
2011-04-22,27-215,NOH,HOME,LAL,L (-14),1,34:50,6,12,0.5,0,0,,11,12,0.917,3,2,5,0,0,0,3,3,23,15.1,-10,Carl Landry
2011-04-24,27-217,NOH,HOME,LAL,W (+5),1,39:00,6,11,0.545,0,0,,4,4,1.0,4,3,7,3,1,0,1,6,16,14.1,1,Carl Landry
2011-04-26,27-219,NOH,AWAY,LAL,L (-16),1,35:38,3,7,0.429,0,0,,2,4,0.5,2,2,4,2,2,1,3,3,8,5.4,-7,Carl Landry
2011-04-28,27-221,NOH,HOME,LAL,L (-18),1,34:32,6,13,0.462,0,0,,7,7,1.0,0,2,2,0,0,0,2,3,19,9.7,-14,Carl Landry
2009-04-18,25-211,HOU,AWAY,POR,W (+27),0,11:39,0,2,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,1,5,1,-3.8,-6,Carl Landry
2009-04-21,25-214,HOU,AWAY,POR,L (-4),0,14:04,2,4,0.5,0,0,,0,0,,0,3,3,0,0,0,0,0,4,2.9,3,Carl Landry
2009-04-24,25-217,HOU,HOME,POR,W (+3),0,22:52,5,7,0.714,0,0,,0,0,,0,2,2,1,1,0,0,3,10,8.2,6,Carl Landry
2009-04-26,25-219,HOU,HOME,POR,W (+1),0,12:48,2,4,0.5,0,0,,0,0,,2,2,4,0,0,0,1,2,4,2.2,-1,Carl Landry
2009-04-28,25-221,HOU,AWAY,POR,L (-11),0,12:37,1,3,0.333,0,0,,2,4,0.5,0,2,2,0,1,0,2,5,4,-0.9,6,Carl Landry
2009-04-30,25-223,HOU,HOME,POR,W (+16),0,18:48,2,5,0.4,0,0,,2,2,1.0,2,5,7,0,0,1,0,1,6,6.5,12,Carl Landry
2009-05-04,25-227,HOU,AWAY,LAL,W (+8),0,12:13,3,4,0.75,0,0,,1,2,0.5,1,1,2,0,0,0,2,0,7,4.0,-2,Carl Landry
2009-05-06,25-229,HOU,AWAY,LAL,L (-13),0,23:57,7,9,0.778,0,0,,7,13,0.538,5,5,10,0,0,0,5,0,21,15.1,11,Carl Landry
2009-05-08,25-231,HOU,HOME,LAL,L (-14),0,21:11,4,7,0.571,0,0,,2,2,1.0,2,4,6,0,0,0,0,1,10,8.9,2,Carl Landry
2009-05-10,25-233,HOU,HOME,LAL,W (+12),0,12:20,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9,3,Carl Landry
2009-05-12,25-235,HOU,AWAY,LAL,L (-40),0,27:59,4,6,0.667,0,0,,1,2,0.5,2,1,3,0,0,1,1,3,9,6.2,-31,Carl Landry
2009-05-14,25-237,HOU,HOME,LAL,W (+15),0,27:23,6,6,1.0,0,0,,3,6,0.5,2,7,9,0,0,2,2,3,15,13.7,19,Carl Landry
2009-05-17,25-240,HOU,AWAY,LAL,L (-19),0,21:53,2,10,0.2,0,2,0.0,0,0,,0,2,2,1,2,1,0,3,4,0.6,-4,Carl Landry
