DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2006-04-23,23-003,IND,AWAY,NJN,W (+2),0,8:38,0,1,0.0,0,1,0.0,0,0,,1,0,1,2,0,1,1,3,0,-0.1,-7,Danny Granger
2006-04-25,23-005,IND,AWAY,NJN,L (-15),1,31:07,3,8,0.375,3,5,0.6,2,2,1.0,1,2,3,3,1,2,0,5,11,10.4,-12,Danny Granger
2006-04-27,23-007,IND,HOME,NJN,W (+12),0,21:00,3,4,0.75,0,1,0.0,0,0,,0,2,2,1,0,1,2,4,6,2.8,2,Danny Granger
2006-04-29,23-009,IND,HOME,NJN,L (-9),0,31:08,3,5,0.6,2,2,1.0,2,2,1.0,0,8,8,1,0,1,2,2,10,8.7,5,Danny Granger
2006-05-02,23-012,IND,AWAY,NJN,L (-6),1,33:51,4,8,0.5,1,3,0.333,0,0,,2,10,12,2,2,2,0,4,9,12.6,-12,Danny Granger
2006-05-04,23-014,IND,HOME,NJN,L (-6),1,36:02,5,8,0.625,3,4,0.75,0,0,,3,2,5,1,1,0,2,2,13,11.0,-12,Danny Granger
2011-04-16,27-361,IND,AWAY,CHI,L (-5),1,39:50,10,20,0.5,4,8,0.5,0,0,,1,5,6,3,1,1,1,2,24,18.2,-5,Danny Granger
2011-04-18,27-363,IND,AWAY,CHI,L (-6),1,34:42,7,14,0.5,0,2,0.0,5,6,0.833,1,1,2,4,3,0,1,4,19,15.8,-12,Danny Granger
2011-04-21,28-001,IND,HOME,CHI,L (-4),1,34:34,10,21,0.476,1,5,0.2,0,0,,2,2,4,2,2,0,1,3,21,13.5,-9,Danny Granger
2011-04-23,28-003,IND,HOME,CHI,W (+5),1,37:36,9,19,0.474,0,4,0.0,6,7,0.857,1,9,10,4,0,0,1,0,24,19.1,-5,Danny Granger
2011-04-26,28-006,IND,AWAY,CHI,L (-27),1,36:44,7,16,0.438,3,4,0.75,3,3,1.0,1,5,6,3,0,0,3,3,20,11.7,-27,Danny Granger
2012-04-28,29-008,IND,HOME,ORL,L (-4),1,38:34,7,20,0.35,2,4,0.5,1,4,0.25,3,5,8,2,0,0,5,1,17,4.2,-10,Danny Granger
2012-04-30,29-010,IND,HOME,ORL,W (+15),1,41:00,7,21,0.333,1,10,0.1,3,3,1.0,3,4,7,0,0,1,2,2,18,7.3,19,Danny Granger
2012-05-02,29-012,IND,AWAY,ORL,W (+23),1,38:00,9,16,0.563,5,9,0.556,3,3,1.0,0,9,9,3,2,0,5,1,26,19.8,23,Danny Granger
2012-05-05,29-015,IND,AWAY,ORL,W (+2),1,42:08,9,20,0.45,2,8,0.25,1,1,1.0,3,4,7,1,0,1,2,3,21,12.1,-11,Danny Granger
