DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2023-04-16,27-084,MEM,HOME,LAL,L (-16),1,28:53,5,13,0.385,2,9,0.222,3,4,0.75,0,4,4,2,0,0,1,3,15,7.9,-18,Dillon Brooks
2023-04-19,27-087,MEM,HOME,LAL,W (+10),1,22:35,5,14,0.357,2,6,0.333,0,0,,0,1,1,3,0,0,2,5,12,2.6,8,Dillon Brooks
2023-04-22,27-090,MEM,AWAY,LAL,L (-10),1,19:10,3,13,0.231,1,5,0.2,0,1,0.0,1,1,2,0,1,0,1,2,7,-1.1,-6,Dillon Brooks
2023-04-24,27-092,MEM,AWAY,LAL,L (-6),1,40:55,4,11,0.364,1,7,0.143,2,2,1.0,1,4,5,4,0,0,1,5,11,6.6,2,Dillon Brooks
2023-04-26,27-094,MEM,HOME,LAL,W (+17),1,29:34,3,15,0.2,2,10,0.2,0,0,,0,2,2,0,0,0,1,4,8,-3.3,-7,Dillon Brooks
2023-04-28,27-096,MEM,AWAY,LAL,L (-40),1,26:06,4,11,0.364,2,5,0.4,0,0,,1,3,4,2,0,0,1,1,10,5.5,-23,Dillon Brooks
2021-05-23,25-121,MEM,AWAY,UTA,W (+3),1,36:05,13,26,0.5,2,5,0.4,3,6,0.5,3,4,7,2,2,2,1,2,31,23.1,14,Dillon Brooks
2021-05-26,25-124,MEM,AWAY,UTA,L (-12),1,28:11,10,14,0.714,2,2,1.0,1,1,1.0,0,2,2,1,1,0,1,5,23,16.5,3,Dillon Brooks
2021-05-29,25-127,MEM,HOME,UTA,L (-10),1,33:00,11,24,0.458,1,7,0.143,4,4,1.0,1,2,3,2,2,0,2,6,27,14.9,-6,Dillon Brooks
2021-05-31,25-129,MEM,HOME,UTA,L (-7),1,37:14,7,15,0.467,0,1,0.0,7,8,0.875,0,4,4,3,1,0,3,4,21,12.6,2,Dillon Brooks
2021-06-02,25-131,MEM,AWAY,UTA,L (-16),1,40:14,9,18,0.5,3,5,0.6,6,7,0.857,1,4,5,3,1,0,2,0,27,20.6,-19,Dillon Brooks
2022-04-16,26-084,MEM,HOME,MIN,L (-13),1,35:22,7,14,.500,3,4,.750,7,10,.700,0,1,1,1,0,0,3,5,24,11.8,-15,Dillon Brooks
2022-04-19,26-087,MEM,HOME,MIN,W (+28),1,25:54,3,11,.273,0,5,.000,3,3,1.000,0,1,1,4,1,0,3,2,9,2.8,+17,Dillon Brooks
2022-04-21,26-089,MEM,AWAY,MIN,W (+9),1,36:55,4,14,.286,1,6,.167,2,4,.500,1,3,4,2,1,0,3,3,11,1.8,+6,Dillon Brooks
2022-04-23,26-091,MEM,AWAY,MIN,L (-1),1,34:04,10,20,.500,3,4,.750,1,2,.500,1,1,2,1,1,1,4,5,24,11.0,-3,Dillon Brooks
2022-04-26,26-094,MEM,HOME,MIN,W (+2),1,35:42,3,18,.167,1,10,.100,1,2,.500,1,3,4,4,1,0,2,1,8,-0.8,+8,Dillon Brooks
2022-04-29,26-097,MEM,AWAY,MIN,W (+8),1,31:49,9,19,.474,5,6,.833,0,0,,2,1,3,2,1,0,1,6,23,14.0,-5,Dillon Brooks
2022-05-01,26-099,MEM,HOME,GSW,L (-1),1,30:18,3,13,.231,2,8,.250,0,0,,0,2,2,3,1,0,1,5,8,0.8,+9,Dillon Brooks
2022-05-03,26-101,MEM,HOME,GSW,W (+5),1,2:52,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-1.5,+7,Dillon Brooks
2022-05-07,26-105,MEM,AWAY,GSW,L (-30),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Dillon Brooks
2022-05-09,26-107,MEM,AWAY,GSW,L (-3),1,39:01,5,19,.263,2,9,.222,0,0,,0,5,5,8,0,1,4,5,12,2.5,-5,Dillon Brooks
2022-05-11,26-109,MEM,HOME,GSW,W (+39),1,24:14,5,13,.385,1,4,.250,1,2,.500,1,3,4,4,1,0,0,2,12,9.1,+38,Dillon Brooks
2022-05-13,26-111,MEM,AWAY,GSW,L (-14),1,39:08,11,28,.393,7,15,.467,1,2,.500,2,2,4,1,3,1,1,1,30,19.4,-11,Dillon Brooks
