DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2009-04-19,23-132,ORL,HOME,PHI,L (-2),1,38:04,11,13,.846,0,0,,9,12,.750,5,11,16,2,0,2,2,3,31,31.5,0,Dwight Howard
2009-04-22,23-135,ORL,HOME,PHI,W (+9),1,30:20,4,6,.667,0,0,,3,7,.429,4,6,10,2,1,4,2,6,11,12.2,-2,Dwight Howard
2009-04-24,23-137,ORL,AWAY,PHI,L (-2),1,44:34,12,16,.750,0,0,,12,14,.857,6,5,11,0,0,3,4,4,36,31.0,+1,Dwight Howard
2009-04-26,23-139,ORL,AWAY,PHI,W (+3),1,43:57,6,11,.545,0,1,.000,6,12,.500,3,15,18,0,1,3,1,3,18,17.8,+3,Dwight Howard
2009-04-28,23-141,ORL,HOME,PHI,W (+13),1,37:19,8,14,.571,0,0,,8,12,.667,10,14,24,1,1,2,4,4,24,24.5,+8,Dwight Howard
2009-04-30,23-143,ORL,AWAY,PHI,W (+25),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Dwight Howard
2009-05-04,23-147,ORL,AWAY,BOS,W (+5),1,43:22,6,12,.500,0,0,,4,5,.800,4,18,22,3,1,3,1,3,16,20.8,-2,Dwight Howard
2009-05-06,23-149,ORL,AWAY,BOS,L (-18),1,36:55,5,13,.385,0,0,,2,8,.250,2,10,12,1,0,0,5,4,12,1.0,-20,Dwight Howard
2009-05-08,23-151,ORL,HOME,BOS,W (+21),1,27:32,7,8,.875,0,0,,3,6,.500,2,12,14,0,2,5,3,5,17,18.5,+15,Dwight Howard
2009-05-10,23-153,ORL,HOME,BOS,L (-1),1,37:38,8,14,.571,0,0,,7,10,.700,5,12,17,2,0,3,1,4,23,23.2,-4,Dwight Howard
2009-05-12,23-155,ORL,AWAY,BOS,L (-4),1,37:23,5,10,.500,0,0,,2,3,.667,4,13,17,1,0,0,4,4,12,8.4,-6,Dwight Howard
2009-05-14,23-157,ORL,HOME,BOS,W (+8),1,42:45,9,16,.563,0,0,,5,12,.417,10,12,22,2,0,3,2,5,23,22.7,+10,Dwight Howard
2009-05-17,23-160,ORL,AWAY,BOS,W (+19),1,38:07,5,9,.556,0,0,,2,2,1.000,2,14,16,1,1,5,3,5,12,13.5,+26,Dwight Howard
