DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2009-04-19,27-092,MIA,AWAY,ATL,L (-26),1,40:11,8,21,0.381,1,6,0.167,2,4,0.5,0,5,5,5,3,0,8,3,19,5.5,-18,Dwyane Wade
2009-04-22,27-095,MIA,AWAY,ATL,W (+15),1,38:48,11,20,0.55,6,10,0.6,5,6,0.833,0,5,5,7,1,2,5,5,33,24.8,14,Dwyane Wade
2009-04-25,27-098,MIA,HOME,ATL,W (+29),1,41:15,10,21,0.476,4,8,0.5,5,5,1.0,2,5,7,8,1,4,3,1,29,27.2,34,Dwyane Wade
2009-04-27,27-100,MIA,HOME,ATL,L (-10),1,44:51,9,26,0.346,1,8,0.125,3,4,0.75,2,4,6,7,0,1,4,4,22,9.6,-4,Dwyane Wade
2009-04-29,27-102,MIA,AWAY,ATL,L (-15),1,38:58,9,19,0.474,1,2,0.5,10,13,0.769,0,4,4,4,0,0,1,4,29,19.5,-20,Dwyane Wade
2009-05-01,27-104,MIA,HOME,ATL,W (+26),1,39:06,11,23,0.478,3,7,0.429,16,17,0.941,0,5,5,2,0,2,0,1,41,32.8,32,Dwyane Wade
2009-05-03,27-106,MIA,AWAY,ATL,L (-13),1,42:04,10,25,0.4,2,9,0.222,9,9,1.0,0,3,3,4,1,2,4,2,31,18.8,-20,Dwyane Wade
2006-04-22,24-095,MIA,HOME,CHI,W (+5),1,44:33,8,21,.381,0,1,.000,14,16,.875,1,3,4,11,3,2,4,3,30,26.2,+6,Dwyane Wade
2006-04-24,24-097,MIA,HOME,CHI,W (+7),1,44:08,10,20,.500,0,1,.000,1,1,1.000,2,3,5,7,4,2,4,3,21,18.4,+6,Dwyane Wade
2006-04-27,24-100,MIA,AWAY,CHI,L (-19),1,41:08,9,22,.409,0,2,.000,8,9,.889,0,4,4,4,0,1,4,1,26,14.1,-15,Dwyane Wade
2006-04-30,24-103,MIA,AWAY,CHI,L (-6),1,45:17,8,23,.348,0,1,.000,4,4,1.000,4,2,6,10,3,2,5,3,20,15.7,-2,Dwyane Wade
2006-05-02,24-105,MIA,HOME,CHI,W (+14),1,33:13,9,18,.500,1,1,1.000,9,10,.900,1,4,5,5,1,1,3,1,28,22.3,+24,Dwyane Wade
2006-05-04,24-107,MIA,AWAY,CHI,W (+17),1,37:35,7,12,.583,2,3,.667,7,8,.875,0,3,3,6,1,0,2,6,23,18.7,+16,Dwyane Wade
2006-05-08,24-111,MIA,HOME,NJN,L (-12),1,40:55,8,19,.421,0,2,.000,9,15,.600,1,4,5,3,3,1,0,2,25,19.4,-14,Dwyane Wade
2006-05-10,24-113,MIA,HOME,NJN,W (+22),1,37:49,12,19,.632,3,3,1.000,4,4,1.000,1,4,5,6,4,0,1,4,31,30.0,+25,Dwyane Wade
2006-05-12,24-115,MIA,AWAY,NJN,W (+11),1,41:46,7,16,.438,2,3,.667,14,15,.933,2,5,7,10,2,1,6,4,30,26.2,+21,Dwyane Wade
2006-05-14,24-117,MIA,AWAY,NJN,W (+10),1,45:12,11,19,.579,0,0,,9,10,.900,0,7,7,8,2,0,4,2,31,26.6,+11,Dwyane Wade
2006-05-16,24-119,MIA,HOME,NJN,W (+1),1,43:55,7,19,.368,1,1,1.000,6,9,.667,0,6,6,6,1,1,7,4,21,8.4,0,Dwyane Wade
2006-05-23,24-126,MIA,AWAY,DET,W (+5),1,26:43,9,11,.818,0,0,,7,9,.778,0,3,3,5,2,1,5,4,25,20.6,+3,Dwyane Wade
2006-05-25,24-128,MIA,AWAY,DET,L (-4),1,46:16,11,20,.550,2,4,.500,8,8,1.000,1,6,7,5,2,1,9,2,32,21.3,-2,Dwyane Wade
2006-05-27,24-130,MIA,HOME,DET,W (+15),1,43:13,13,17,.765,0,0,,9,11,.818,2,6,8,4,2,1,4,4,35,30.6,+19,Dwyane Wade
2006-05-29,24-132,MIA,HOME,DET,W (+11),1,44:19,8,11,.727,0,0,,15,19,.789,0,6,6,5,2,2,2,1,31,31.2,+8,Dwyane Wade
2006-05-31,24-134,MIA,AWAY,DET,L (-13),1,44:39,11,20,.550,0,3,.000,1,3,.333,0,3,3,4,2,3,5,3,23,14.2,-5,Dwyane Wade
2006-06-02,24-136,MIA,HOME,DET,W (+17),1,37:22,6,15,.400,0,1,.000,2,2,1.000,1,3,4,10,1,1,3,2,14,12.4,+11,Dwyane Wade
2006-06-08,24-142,MIA,AWAY,DAL,L (-10),1,43:02,11,25,.440,0,2,.000,6,10,.600,3,3,6,6,4,1,5,4,28,18.6,-2,Dwyane Wade
2006-06-11,24-145,MIA,AWAY,DAL,L (-14),1,39:59,6,19,.316,0,0,,11,14,.786,4,4,8,3,2,1,4,4,23,14.1,-6,Dwyane Wade
2006-06-13,24-147,MIA,HOME,DAL,W (+2),1,43:05,14,26,.538,1,2,.500,13,18,.722,2,11,13,2,2,0,1,5,42,32.5,+6,Dwyane Wade
2006-06-15,24-149,MIA,HOME,DAL,W (+24),1,39:38,13,23,.565,2,5,.400,8,9,.889,0,6,6,3,1,1,4,4,36,24.7,+14,Dwyane Wade
2006-06-18,24-152,MIA,HOME,DAL,W (+1),1,50:06,11,28,.393,0,2,.000,21,25,.840,0,4,4,4,3,0,3,1,43,29.8,+1,Dwyane Wade
2006-06-20,24-154,MIA,AWAY,DAL,W (+3),1,45:24,10,18,.556,0,0,,16,21,.762,3,7,10,5,4,3,5,4,36,32.6,+9,Dwyane Wade
2010-04-17,28-090,MIA,AWAY,BOS,L (-9),1,40:22,11,18,0.611,0,4,0.0,4,6,0.667,1,7,8,6,3,2,7,2,26,20.6,-11,Dwyane Wade
2010-04-20,28-093,MIA,AWAY,BOS,L (-29),1,37:09,11,18,0.611,5,8,0.625,2,7,0.286,1,1,2,5,0,2,1,3,29,22.5,-29,Dwyane Wade
2010-04-23,28-096,MIA,HOME,BOS,L (-2),1,43:15,14,26,0.538,3,11,0.273,3,3,1.0,2,3,5,8,2,2,5,4,34,26.1,5,Dwyane Wade
2010-04-25,28-098,MIA,HOME,BOS,W (+9),1,43:25,16,24,0.667,5,7,0.714,9,14,0.643,0,5,5,5,2,0,6,4,46,33.0,7,Dwyane Wade
2010-04-27,28-100,MIA,AWAY,BOS,L (-10),1,45:38,10,24,0.417,2,7,0.286,9,10,0.9,2,6,8,10,1,2,7,3,31,22.2,-8,Dwyane Wade
2007-04-21,25-094,MIA,AWAY,CHI,L (-5),1,33:02,7,16,0.438,0,1,0.0,7,7,1.0,0,2,2,3,1,1,5,5,21,10.0,-7,Dwyane Wade
2007-04-24,25-097,MIA,AWAY,CHI,L (-18),1,40:37,9,19,0.474,0,0,,3,6,0.5,0,3,3,7,1,0,7,1,21,9.5,-11,Dwyane Wade
2007-04-27,25-100,MIA,HOME,CHI,L (-8),1,42:58,12,27,0.444,0,2,0.0,4,10,0.4,5,4,9,5,3,0,4,2,28,17.9,-12,Dwyane Wade
2007-04-29,25-102,MIA,HOME,CHI,L (-13),1,45:12,8,22,0.364,0,2,0.0,8,9,0.889,2,3,5,10,0,1,7,5,24,12.4,-10,Dwyane Wade
2004-04-18,22-092,MIA,HOME,NOH,W (+2),1,41:36,8,19,0.421,1,2,0.5,4,6,0.667,3,2,5,5,1,0,2,4,21,13.7,-1,Dwyane Wade
2004-04-21,22-095,MIA,HOME,NOH,W (+30),1,32:03,5,8,0.625,0,0,,4,4,1.0,0,2,2,6,1,0,5,2,14,10.4,22,Dwyane Wade
2004-04-24,22-098,MIA,AWAY,NOH,L (-6),1,30:40,1,8,0.125,0,1,0.0,0,0,,0,3,3,0,1,0,6,2,2,-8.1,-7,Dwyane Wade
2004-04-27,22-101,MIA,AWAY,NOH,L (-11),1,41:24,4,12,0.333,0,0,,3,3,1.0,1,1,2,10,2,0,2,3,11,11.0,-4,Dwyane Wade
2004-04-30,22-104,MIA,HOME,NOH,W (+4),1,37:09,9,17,0.529,1,1,1.0,2,4,0.5,1,4,5,5,2,0,4,3,21,14.1,8,Dwyane Wade
2004-05-02,22-106,MIA,AWAY,NOH,L (-6),1,47:02,10,17,0.588,1,1,1.0,6,8,0.75,2,5,7,6,0,1,4,3,27,20.9,-6,Dwyane Wade
2004-05-04,22-108,MIA,HOME,NOH,W (+8),1,39:34,5,18,0.278,0,1,0.0,2,2,1.0,1,3,4,7,2,0,4,5,12,3.9,6,Dwyane Wade
2004-05-06,22-110,MIA,AWAY,IND,L (-13),1,39:43,10,21,0.476,0,1,0.0,2,3,0.667,3,4,7,4,1,0,6,5,22,10.0,-13,Dwyane Wade
2004-05-08,22-112,MIA,AWAY,IND,L (-11),1,35:47,7,14,0.5,0,0,,5,6,0.833,2,2,4,5,2,0,6,5,19,11.1,-6,Dwyane Wade
2004-05-10,22-114,MIA,HOME,IND,W (+7),1,41:22,7,15,0.467,0,1,0.0,11,12,0.917,1,4,5,6,0,0,4,4,25,17.4,9,Dwyane Wade
2004-05-12,22-116,MIA,HOME,IND,W (+12),1,43:43,4,11,0.364,0,0,,12,17,0.706,1,2,3,7,0,1,4,2,20,14.0,10,Dwyane Wade
2004-05-15,22-119,MIA,AWAY,IND,L (-11),1,42:07,6,13,0.462,0,0,,4,6,0.667,1,2,3,10,2,0,3,2,16,15.0,-14,Dwyane Wade
2004-05-18,22-122,MIA,HOME,IND,L (-3),1,40:28,10,16,0.625,0,0,,4,4,1.0,0,2,2,2,3,2,4,5,24,17.2,2,Dwyane Wade
2016-04-17,34-091,MIA,HOME,CHO,W (+32),1,26:02,8,16,0.5,0,1,0.0,0,0,,1,3,4,7,0,0,1,1,16,13.1,28,Dwyane Wade
2016-04-20,34-094,MIA,HOME,CHO,W (+12),1,32:19,11,22,0.5,0,0,,6,7,0.857,1,2,3,8,2,1,2,3,28,23.0,15,Dwyane Wade
2016-04-23,34-097,MIA,AWAY,CHO,L (-16),1,32:51,7,20,0.35,0,0,,3,3,1.0,4,3,7,1,0,1,2,3,17,7.7,2,Dwyane Wade
2016-04-25,34-099,MIA,AWAY,CHO,L (-4),1,32:39,4,11,0.364,0,0,,4,6,0.667,1,6,7,10,0,2,4,4,12,10.4,3,Dwyane Wade
2016-04-27,34-101,MIA,HOME,CHO,L (-2),1,32:26,11,19,0.579,0,0,,3,4,0.75,1,4,5,4,0,0,5,0,25,15.4,-4,Dwyane Wade
2016-04-29,34-103,MIA,AWAY,CHO,W (+7),1,36:38,10,20,0.5,2,2,1.0,1,2,0.5,0,6,6,4,2,3,2,0,23,19.3,-2,Dwyane Wade
2016-05-01,34-105,MIA,HOME,CHO,W (+33),1,25:19,5,11,0.455,0,0,,2,2,1.0,0,6,6,1,0,0,2,2,12,6.0,20,Dwyane Wade
