DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-20,33-271,CHH,HOME,ORL,W (+1),1,24:07,3,12,0.25,0,0,,0,0,,5,4,9,2,0,3,1,5,6,4.0,-5,Elden Campbell
2002-04-23,33-274,CHH,HOME,ORL,L (-8),1,38:01,12,23,0.522,0,0,,3,4,0.75,2,11,13,4,1,3,1,3,27,23.7,0,Elden Campbell
2002-04-27,33-278,CHH,AWAY,ORL,W (+10),1,21:27,5,9,0.556,0,0,,0,0,,1,0,1,0,0,1,3,3,10,2.9,-24,Elden Campbell
2002-04-30,33-281,CHH,AWAY,ORL,W (+17),1,22:53,4,8,0.5,0,0,,2,2,1.0,1,6,7,2,0,2,2,3,10,8.1,-2,Elden Campbell
2002-05-05,33-286,CHH,AWAY,NJN,L (-6),1,30:45,8,18,0.444,0,0,,6,8,0.75,2,4,6,1,1,5,5,5,22,12.6,3,Elden Campbell
2002-05-07,33-288,CHH,AWAY,NJN,L (-14),1,32:13,6,14,0.429,0,0,,3,4,0.75,2,6,8,1,0,2,1,2,15,10.7,7,Elden Campbell
2002-05-09,33-290,CHH,HOME,NJN,W (+18),1,22:22,5,8,0.625,0,0,,4,6,0.667,0,5,5,3,0,2,0,5,14,12.6,7,Elden Campbell
2002-05-12,33-293,CHH,HOME,NJN,L (-10),1,34:46,2,9,0.222,0,1,0.0,3,4,0.75,0,6,6,2,3,3,1,3,7,7.2,-9,Elden Campbell
2002-05-15,33-296,CHH,AWAY,NJN,L (-8),1,26:50,4,9,0.444,0,0,,3,6,0.5,1,4,5,1,1,2,3,5,11,5.1,6,Elden Campbell
2001-04-21,32-272,CHH,AWAY,MIA,W (+26),1,24:13,2,5,0.4,0,0,,4,4,1.0,2,3,5,2,0,1,2,4,8,6.1,20,Elden Campbell
2001-04-23,32-274,CHH,AWAY,MIA,W (+26),1,22:04,1,7,0.143,0,0,,4,6,0.667,1,4,5,0,1,0,2,4,6,0.0,13,Elden Campbell
2001-04-27,32-278,CHH,HOME,MIA,W (+15),1,16:58,2,5,0.4,0,0,,1,2,0.5,0,3,3,0,0,1,1,6,5,0.1,-3,Elden Campbell
2001-05-06,32-287,CHH,AWAY,MIL,L (-12),1,34:56,6,16,0.375,0,0,,5,6,0.833,3,10,13,0,2,2,1,2,17,14.5,-5,Elden Campbell
2001-05-08,32-289,CHH,AWAY,MIL,L (-1),1,31:33,4,11,0.364,0,0,,5,5,1.0,2,6,8,0,0,1,0,2,13,10.0,0,Elden Campbell
