DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-04-19,26-174,BOS,AWAY,CLE,L (-13),1,34:11,4,12,0.333,1,1,1.0,3,3,1.0,0,7,7,5,1,0,2,3,12,8.6,-18,Evan Turner
2015-04-21,26-176,BOS,AWAY,CLE,L (-8),1,33:29,3,11,0.273,0,2,0.0,3,4,0.75,2,10,12,3,0,0,1,2,9,6.8,8,Evan Turner
2015-04-23,26-178,BOS,HOME,CLE,L (-8),1,33:04,8,15,0.533,1,1,1.0,2,2,1.0,0,8,8,8,2,0,4,4,19,16.1,2,Evan Turner
2015-04-26,26-181,BOS,HOME,CLE,L (-8),1,17:06,1,6,0.167,0,0,,0,0,,0,2,2,3,0,0,2,2,2,-1.9,-5,Evan Turner
2012-04-28,23-184,PHI,AWAY,CHI,L (-12),0,29:30,4,9,0.444,0,0,,4,5,0.8,1,2,3,5,3,0,3,2,12,10.9,-5,Evan Turner
2012-05-01,23-187,PHI,AWAY,CHI,W (+17),1,41:42,8,15,0.533,0,1,0.0,3,3,1.0,2,5,7,6,0,0,3,4,19,14.2,13,Evan Turner
2012-05-04,23-190,PHI,HOME,CHI,W (+5),1,40:42,5,12,0.417,0,2,0.0,6,8,0.75,2,7,9,1,0,0,1,2,16,11.2,5,Evan Turner
2012-05-06,23-192,PHI,HOME,CHI,W (+7),1,27:42,3,12,0.25,0,0,,3,6,0.5,0,6,6,3,1,0,2,5,9,1.5,4,Evan Turner
2012-05-08,23-194,PHI,AWAY,CHI,L (-8),1,33:16,2,7,0.286,0,0,,0,0,,1,7,8,2,0,0,4,4,4,-1.5,-10,Evan Turner
2012-05-10,23-196,PHI,HOME,CHI,W (+1),1,28:54,4,11,0.364,0,1,0.0,2,2,1.0,0,5,5,0,0,1,0,2,10,5.3,-10,Evan Turner
2012-05-12,23-198,PHI,AWAY,BOS,L (-1),1,41:52,7,13,0.538,0,0,,2,2,1.0,2,8,10,3,4,1,4,1,16,15.9,4,Evan Turner
2012-05-14,23-200,PHI,AWAY,BOS,W (+1),1,28:24,4,11,0.364,0,1,0.0,2,2,1.0,1,5,6,1,1,1,5,1,10,3.1,-15,Evan Turner
2012-05-16,23-202,PHI,HOME,BOS,L (-16),1,34:38,1,10,0.1,0,0,,2,4,0.5,0,8,8,3,1,2,0,3,4,2.3,-6,Evan Turner
2012-05-18,23-204,PHI,HOME,BOS,W (+9),1,36:03,5,22,0.227,0,0,,6,9,0.667,2,7,9,1,1,0,1,3,16,4.4,0,Evan Turner
2012-05-21,23-207,PHI,AWAY,BOS,L (-16),1,36:42,5,13,0.385,0,0,,1,2,0.5,0,10,10,3,0,0,1,5,11,5.6,-10,Evan Turner
2012-05-23,23-209,PHI,HOME,BOS,W (+7),1,38:24,5,11,0.455,0,1,0.0,2,5,0.4,0,9,9,4,0,1,4,1,12,6.9,7,Evan Turner
2012-05-26,23-212,PHI,AWAY,BOS,L (-10),1,31:21,3,8,0.375,0,0,,0,0,,3,5,8,0,1,0,2,3,6,3.0,-23,Evan Turner
2014-04-19,25-174,IND,HOME,ATL,L (-8),0,18:21,4,6,.667,1,1,1.000,0,0,,0,7,7,3,0,0,2,2,9,7.8,-3,Evan Turner
2014-04-22,25-177,IND,HOME,ATL,W (+16),0,11:19,1,1,1.000,1,1,1.000,0,0,,0,2,2,2,0,0,1,1,3,3.3,-12,Evan Turner
2014-04-24,25-179,IND,AWAY,ATL,L (-13),0,8:21,1,4,.250,1,2,.500,0,0,,0,0,0,1,1,0,0,1,3,1.9,-5,Evan Turner
2014-04-26,25-181,IND,AWAY,ATL,W (+3),0,20:34,4,8,.500,1,2,.500,2,2,1.000,0,2,2,4,0,0,2,2,11,7.6,-1,Evan Turner
2014-04-28,25-183,IND,HOME,ATL,L (-10),0,4:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-14,Evan Turner
2014-05-05,25-190,IND,HOME,WAS,L (-6),0,18:46,2,4,.500,0,0,,3,3,1.000,0,2,2,2,1,0,0,1,7,7.6,-8,Evan Turner
2014-05-07,25-192,IND,HOME,WAS,W (+4),0,8:03,0,0,,0,0,,0,0,,0,2,2,2,1,0,0,0,0,3.0,-3,Evan Turner
2014-05-09,25-194,IND,AWAY,WAS,W (+22),0,17:32,2,6,.333,0,0,,0,0,,0,2,2,1,0,0,1,2,4,0.1,-2,Evan Turner
2014-05-11,25-196,IND,AWAY,WAS,W (+3),0,8:34,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9,Evan Turner
2014-05-13,25-198,IND,HOME,WAS,L (-23),0,18:04,1,3,.333,0,0,,0,0,,0,4,4,3,1,0,1,0,2,3.6,+3,Evan Turner
2014-05-15,25-200,IND,AWAY,WAS,W (+13),0,11:36,0,0,,0,0,,0,0,,0,4,4,1,0,0,2,0,0,-0.1,+2,Evan Turner
2014-05-24,25-209,IND,AWAY,MIA,L (-12),0,3:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-5,Evan Turner
2019-04-14,30-169,POR,HOME,OKC,W (+5),0,16:25,1,3,0.333,0,0,,0,0,,1,3,4,3,1,0,1,0,2,4.0,2,Evan Turner
2019-04-16,30-171,POR,HOME,OKC,W (+20),0,11:34,0,2,0.0,0,0,,0,0,,0,3,3,0,0,0,2,3,0,-3.7,-3,Evan Turner
2019-04-19,30-174,POR,AWAY,OKC,L (-12),0,6:48,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,1,0,0,-1.1,-3,Evan Turner
2019-04-21,30-176,POR,AWAY,OKC,W (+13),0,5:36,0,2,0.0,0,0,,0,0,,1,3,4,0,0,0,1,0,0,-0.8,-9,Evan Turner
2019-04-23,30-178,POR,HOME,OKC,W (+3),0,15:51,0,2,0.0,0,0,,1,2,0.5,0,4,4,3,0,0,0,1,1,2.1,-1,Evan Turner
2019-04-29,30-184,POR,AWAY,DEN,L (-8),0,10:27,0,1,0.0,0,0,,0,0,,4,4,8,4,0,1,0,0,0,6.8,4,Evan Turner
2019-05-01,30-186,POR,AWAY,DEN,W (+7),0,18:01,2,4,0.5,0,0,,0,0,,0,4,4,3,0,0,1,2,4,3.5,5,Evan Turner
2019-05-03,30-188,POR,HOME,DEN,W (+3),0,12:30,0,1,0.0,0,0,,0,0,,0,1,1,1,1,0,0,2,0,0.5,-6,Evan Turner
2019-05-05,30-190,POR,HOME,DEN,L (-4),0,11:53,0,2,0.0,0,0,,0,0,,1,3,4,2,0,0,0,1,0,1.2,4,Evan Turner
2019-05-07,30-192,POR,AWAY,DEN,L (-26),0,11:03,0,0,,0,0,,0,0,,0,4,4,2,0,0,0,2,0,1.8,2,Evan Turner
2019-05-09,30-194,POR,HOME,DEN,W (+11),0,19:02,0,0,,0,0,,0,0,,0,7,7,7,0,0,1,2,0,5.2,6,Evan Turner
2019-05-12,30-197,POR,AWAY,DEN,W (+4),0,19:12,3,7,0.429,0,0,,8,9,0.889,2,5,7,2,0,1,0,4,14,13.3,1,Evan Turner
2019-05-14,30-199,POR,AWAY,GSW,L (-22),0,16:15,0,1,0.0,0,0,,0,0,,0,5,5,4,0,0,2,1,0,1.2,-4,Evan Turner
2019-05-16,30-201,POR,AWAY,GSW,L (-3),0,22:10,2,5,0.4,0,0,,2,2,1.0,1,4,5,0,0,0,0,2,6,4.4,0,Evan Turner
2019-05-18,30-203,POR,HOME,GSW,L (-11),0,17:25,5,6,0.833,1,1,1.0,1,2,0.5,1,2,3,1,1,0,2,0,12,10.4,5,Evan Turner
2019-05-20,30-205,POR,HOME,GSW,L (-2),0,31:01,2,8,0.25,0,0,,0,0,,1,6,7,3,0,1,2,2,4,1.7,-6,Evan Turner
2018-04-14,29-169,POR,HOME,NOP,L (-2),1,30:13,6,15,.400,1,4,.250,0,0,,4,3,7,0,1,1,4,2,13,5.5,-6,Evan Turner
