DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2014-04-20,26-132,CHA,AWAY,MIA,L (-11),1,32:22,3,9,0.333,0,3,0.0,0,1,0.0,1,7,8,3,0,0,1,2,6,3.6,0,Gerald Henderson
2014-04-23,26-135,CHA,AWAY,MIA,L (-4),1,31:38,5,11,0.455,0,3,0.0,5,7,0.714,0,4,4,1,3,1,1,6,15,10.7,-1,Gerald Henderson
2014-04-26,26-138,CHA,HOME,MIA,L (-13),1,21:23,2,6,0.333,0,2,0.0,2,4,0.5,0,2,2,1,0,0,1,1,6,1.7,-21,Gerald Henderson
2014-04-28,26-140,CHA,HOME,MIA,L (-11),1,33:40,4,11,0.364,0,1,0.0,4,5,0.8,0,2,2,4,1,0,3,3,12,5.7,-6,Gerald Henderson
2016-04-17,28-130,POR,AWAY,LAC,L (-20),0,29:58,7,12,0.583,2,2,1.0,0,0,,1,1,2,3,2,0,0,2,16,14.7,0,Gerald Henderson
2016-04-20,28-133,POR,AWAY,LAC,L (-21),0,17:39,2,6,0.333,0,1,0.0,0,0,,1,4,5,0,0,0,0,1,4,2.1,-16,Gerald Henderson
2016-04-23,28-136,POR,HOME,LAC,W (+8),0,15:44,1,7,0.143,0,1,0.0,0,0,,0,4,4,0,0,0,0,0,2,-1.3,-1,Gerald Henderson
2016-04-25,28-138,POR,HOME,LAC,W (+14),0,22:21,1,9,0.111,0,3,0.0,2,2,1.0,0,3,3,1,0,0,2,3,4,-3.5,3,Gerald Henderson
2016-04-27,28-140,POR,AWAY,LAC,W (+10),0,23:05,4,8,0.5,1,2,0.5,1,2,0.5,0,5,5,4,1,1,0,2,10,10.8,1,Gerald Henderson
2016-04-29,28-142,POR,HOME,LAC,W (+3),0,20:44,4,10,0.4,0,2,0.0,0,0,,3,2,5,1,0,0,0,3,8,4.8,4,Gerald Henderson
2016-05-01,28-144,POR,AWAY,GSW,L (-12),0,16:50,2,3,0.667,1,1,1.0,0,0,,0,3,3,3,0,1,2,1,5,5.0,2,Gerald Henderson
2016-05-03,28-146,POR,AWAY,GSW,L (-11),0,27:25,5,9,0.556,2,4,0.5,0,0,,0,2,2,3,1,0,0,3,12,10.2,-8,Gerald Henderson
2016-05-07,28-150,POR,HOME,GSW,W (+12),0,23:07,2,8,0.25,1,1,1.0,3,4,0.75,1,0,1,2,0,0,0,3,8,3.7,-5,Gerald Henderson
2016-05-09,28-152,POR,HOME,GSW,L (-7),0,21:12,2,7,0.286,0,1,0.0,2,2,1.0,0,2,2,0,2,1,1,2,6,3.4,-6,Gerald Henderson
2016-05-11,28-154,POR,AWAY,GSW,L (-4),0,15:36,0,3,0.0,0,1,0.0,1,2,0.5,0,3,3,0,0,0,0,1,1,-1.0,-5,Gerald Henderson
