DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2012-05-07,26-354,MEM,AWAY,LAC,L (-4),0,11:27,1,1,1.000,0,0,,1,2,.500,3,2,5,0,0,1,0,2,3,4.9,+5,Hamed Haddadi
2012-05-09,26-356,MEM,HOME,LAC,W (+12),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Hamed Haddadi
2012-05-11,26-358,MEM,AWAY,LAC,W (+2),0,2:51,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,0,0,2,3.7,+3,Hamed Haddadi
2012-05-13,26-360,MEM,HOME,LAC,L (-10),0,6:04,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,3,0,-0.8,-4,Hamed Haddadi
2011-04-17,25-333,MEM,AWAY,SAS,W (+3),0,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,Hamed Haddadi
2011-04-25,25-341,MEM,HOME,SAS,W (+18),0,9:06,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,+2,Hamed Haddadi
2011-04-27,25-343,MEM,AWAY,SAS,L (-7),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Hamed Haddadi
2011-04-29,25-345,MEM,HOME,SAS,W (+8),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Hamed Haddadi
2011-05-07,25-353,MEM,HOME,OKC,W (+8),0,5:39,0,1,.000,0,0,,5,6,.833,2,0,2,0,0,1,0,1,5,5.6,+6,Hamed Haddadi
2011-05-09,25-355,MEM,HOME,OKC,L (-10),0,3:09,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,2,0,1,0,0.2,+7,Hamed Haddadi
2011-05-11,25-357,MEM,AWAY,OKC,L (-27),0,7:27,2,4,.500,0,0,,0,0,,0,1,1,0,0,2,1,2,4,1.9,-4,Hamed Haddadi
2011-05-13,25-359,MEM,HOME,OKC,W (+12),0,1:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,Hamed Haddadi
2011-05-15,25-361,MEM,AWAY,OKC,L (-15),0,2:32,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+4,Hamed Haddadi
