DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-04-19,26-071,BOS,AWAY,CLE,L (-13),0,31:34,6,14,0.429,2,5,0.4,8,8,1.0,0,5,5,10,1,0,5,1,22,18.7,5,Isaiah Thomas
2015-04-21,26-073,BOS,AWAY,CLE,L (-8),0,30:02,6,14,0.429,0,3,0.0,10,10,1.0,1,0,1,7,1,0,4,2,22,16.4,-3,Isaiah Thomas
2015-04-23,26-075,BOS,HOME,CLE,L (-8),0,21:08,2,9,0.222,0,3,0.0,1,2,0.5,0,1,1,2,0,0,1,1,5,-0.6,-11,Isaiah Thomas
2015-04-26,26-078,BOS,HOME,CLE,L (-8),0,36:36,4,17,0.235,1,7,0.143,12,12,1.0,0,5,5,9,1,0,4,6,21,13.1,4,Isaiah Thomas
2016-04-16,27-069,BOS,AWAY,ATL,L (-1),1,36:42,8,21,0.381,4,10,0.4,7,9,0.778,1,2,3,8,1,1,3,4,27,18.7,-6,Isaiah Thomas
2016-04-19,27-072,BOS,AWAY,ATL,L (-17),1,30:20,4,15,0.267,1,6,0.167,7,8,0.875,0,3,3,2,0,1,3,2,16,5.9,-17,Isaiah Thomas
2016-04-22,27-075,BOS,HOME,ATL,W (+8),1,36:39,12,24,0.5,5,12,0.417,13,15,0.867,1,3,4,1,1,0,1,2,42,30.7,3,Isaiah Thomas
2016-04-24,27-077,BOS,HOME,ATL,W (+9),1,43:23,11,23,0.478,2,7,0.286,4,5,0.8,0,4,4,6,1,2,1,2,28,21.9,21,Isaiah Thomas
2016-04-26,27-079,BOS,AWAY,ATL,L (-27),1,29:19,3,12,0.25,0,4,0.0,1,3,0.333,0,1,1,3,0,0,3,4,7,-3.2,-33,Isaiah Thomas
2016-04-28,27-081,BOS,HOME,ATL,L (-12),1,43:10,9,24,0.375,1,7,0.143,6,7,0.857,0,3,3,10,1,1,3,4,25,16.4,-4,Isaiah Thomas
2017-04-16,28-068,BOS,HOME,CHI,L (-4),1,38:00,10,18,.556,3,7,.429,10,12,.833,0,6,6,6,1,0,6,3,33,23.4,+12,Isaiah Thomas
2017-04-18,28-070,BOS,HOME,CHI,L (-14),1,41:47,6,15,.400,1,5,.200,7,13,.538,2,2,4,2,1,0,5,2,20,8.1,-20,Isaiah Thomas
2017-04-21,28-073,BOS,AWAY,CHI,W (+17),1,31:27,7,18,.389,2,7,.286,0,0,,0,2,2,9,1,0,2,1,16,11.7,+2,Isaiah Thomas
2017-04-23,28-075,BOS,AWAY,CHI,W (+9),1,35:48,10,21,.476,1,9,.111,12,13,.923,0,4,4,7,1,0,5,4,33,22.4,+17,Isaiah Thomas
2017-04-26,28-078,BOS,HOME,CHI,W (+11),1,36:10,6,17,.353,1,10,.100,11,11,1.000,0,5,5,4,1,0,3,2,24,16.0,+13,Isaiah Thomas
2017-04-28,28-080,BOS,AWAY,CHI,W (+22),1,25:40,4,11,.364,1,7,.143,3,4,.750,0,5,5,6,1,0,1,3,12,10.0,+24,Isaiah Thomas
2017-04-30,28-082,BOS,HOME,WAS,W (+12),1,38:08,11,23,.478,5,11,.455,6,7,.857,0,1,1,9,0,1,2,0,33,26.2,0,Isaiah Thomas
2017-05-02,28-084,BOS,HOME,WAS,W (+10),1,44:33,18,33,.545,5,12,.417,12,13,.923,1,3,4,4,3,0,2,2,53,41.3,+10,Isaiah Thomas
2017-05-04,28-086,BOS,AWAY,WAS,L (-27),1,29:13,3,8,.375,0,2,.000,7,11,.636,0,3,3,4,0,0,2,3,13,7.5,-19,Isaiah Thomas
2017-05-07,28-089,BOS,AWAY,WAS,L (-19),1,31:06,7,14,.500,5,6,.833,0,0,,0,1,1,5,2,1,6,4,19,10.9,-30,Isaiah Thomas
2017-05-10,28-092,BOS,HOME,WAS,W (+22),1,34:33,5,13,.385,2,5,.400,6,7,.857,1,2,3,9,0,0,4,2,18,13.3,+13,Isaiah Thomas
2017-05-12,28-094,BOS,AWAY,WAS,L (-1),1,38:42,8,24,.333,5,13,.385,6,6,1.000,0,3,3,7,0,0,5,5,27,12.2,+5,Isaiah Thomas
2017-05-15,28-097,BOS,HOME,WAS,W (+10),1,39:44,9,21,.429,3,5,.600,8,9,.889,1,1,2,12,1,0,2,2,29,25.1,+8,Isaiah Thomas
2017-05-17,28-099,BOS,HOME,CLE,L (-13),1,38:15,7,19,.368,2,7,.286,1,3,.333,0,1,1,10,1,0,4,2,17,9.2,-20,Isaiah Thomas
2017-05-19,28-101,BOS,HOME,CLE,L (-44),1,17:35,0,6,.000,0,2,.000,2,2,1.000,0,3,3,6,0,0,1,0,2,1.9,-32,Isaiah Thomas
