DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2001-04-22,21-316,PHO,AWAY,SAC,W (+3),1,19:05,0,4,0.0,0,0,,0,0,,4,7,11,0,0,2,0,3,0,2.3,1,Jake Tsakalidis
2001-04-25,21-319,PHO,AWAY,SAC,L (-26),1,15:54,0,3,0.0,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-1.2,-13,Jake Tsakalidis
2001-04-29,21-323,PHO,HOME,SAC,L (-8),1,9:22,3,3,1.0,0,0,,0,0,,1,1,2,0,0,3,1,4,6,5.6,-4,Jake Tsakalidis
2001-05-02,21-326,PHO,HOME,SAC,L (-7),1,30:29,3,6,0.5,0,0,,0,0,,4,8,12,0,0,2,0,3,6,8.4,0,Jake Tsakalidis
2006-04-23,26-317,MEM,AWAY,DAL,L (-10),1,27:15,5,8,0.625,0,0,,1,2,0.5,3,5,8,2,1,0,2,5,11,9.0,-14,Jake Tsakalidis
2006-04-26,26-320,MEM,AWAY,DAL,L (-15),1,16:06,0,0,,0,0,,0,0,,1,1,2,0,0,0,2,3,0,-2.2,-15,Jake Tsakalidis
2006-04-29,26-323,MEM,HOME,DAL,L (-5),1,6:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,2,3,0,-3.6,4,Jake Tsakalidis
2006-05-01,26-325,MEM,HOME,DAL,L (-26),0,10:06,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,1,2,2,0.6,-6,Jake Tsakalidis
2004-04-17,24-312,MEM,AWAY,SAS,L (-24),0,2:56,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,3,0,2,-1.0,-3,Jake Tsakalidis
2007-04-28,27-322,HOU,AWAY,UTA,L (-13),0,2:49,0,0,,0,0,,2,2,1.000,1,3,4,0,0,0,0,0,2,3.6,+10,Jake Tsakalidis
