DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-20,24-051,IND,AWAY,NJN,W (+6),1,29:05,4,7,0.571,0,0,,0,0,,0,3,3,7,0,0,2,4,8,6.9,11,Jamaal Tinsley
2002-04-22,24-053,IND,AWAY,NJN,L (-16),1,15:19,0,0,,0,0,,0,0,,0,1,1,5,2,0,3,5,0,0.8,-5,Jamaal Tinsley
2002-04-26,24-057,IND,HOME,NJN,L (-1),1,27:47,3,9,0.333,0,1,0.0,2,3,0.667,1,3,4,9,0,0,1,2,8,8.6,2,Jamaal Tinsley
2002-04-30,24-061,IND,HOME,NJN,W (+23),1,10:22,1,2,0.5,0,0,,0,0,,1,0,1,1,0,0,4,0,2,-1.6,-5,Jamaal Tinsley
2002-05-02,24-063,IND,AWAY,NJN,L (-11),1,6:25,0,1,0.0,0,0,,0,0,,0,1,1,3,0,0,2,1,0,-0.7,-10,Jamaal Tinsley
2006-04-25,28-056,IND,AWAY,NJN,L (-15),0,7:15,1,3,.333,0,2,.000,0,0,,0,0,0,1,1,0,1,1,2,0.6,-16,Jamaal Tinsley
2003-04-19,25-050,IND,HOME,BOS,L (-3),1,42:48,5,7,0.714,3,5,0.6,1,2,0.5,1,3,4,9,0,0,3,4,14,14.0,5,Jamaal Tinsley
2003-04-21,25-052,IND,HOME,BOS,W (+12),1,39:20,5,7,0.714,4,5,0.8,1,2,0.5,1,2,3,7,1,0,1,4,15,16.3,18,Jamaal Tinsley
2003-04-24,25-055,IND,AWAY,BOS,L (-18),1,32:15,3,7,0.429,1,2,0.5,0,0,,1,1,2,8,1,0,1,4,7,8.3,-8,Jamaal Tinsley
2003-04-27,25-058,IND,AWAY,BOS,L (-10),1,38:01,5,7,0.714,0,0,,1,2,0.5,0,5,5,13,2,0,2,3,11,17.1,0,Jamaal Tinsley
2003-04-29,25-060,IND,HOME,BOS,W (+5),1,11:04,1,3,0.333,0,0,,0,0,,2,0,2,2,0,0,0,2,2,2.3,-10,Jamaal Tinsley
2003-05-01,25-062,IND,AWAY,BOS,L (-20),1,22:11,1,4,0.25,0,1,0.0,0,0,,1,1,2,0,0,0,1,3,2,-1.6,-14,Jamaal Tinsley
2004-04-17,26-049,IND,HOME,BOS,W (+16),1,29:24,2,6,0.333,1,4,0.25,0,0,,1,2,3,7,1,1,0,3,5,8.3,7,Jamaal Tinsley
2004-04-20,26-052,IND,HOME,BOS,W (+13),1,29:10,6,13,0.462,3,6,0.5,0,0,,1,1,2,6,2,0,1,3,15,13.3,-7,Jamaal Tinsley
2004-04-23,26-055,IND,AWAY,BOS,W (+23),1,24:04,3,9,0.333,1,4,0.25,0,0,,0,2,2,4,2,0,1,3,7,5.1,5,Jamaal Tinsley
2004-04-25,26-057,IND,AWAY,BOS,W (+15),1,28:52,2,2,1.0,0,0,,2,2,1.0,0,1,1,7,1,0,4,2,6,6.8,19,Jamaal Tinsley
2004-05-06,26-068,IND,HOME,MIA,W (+13),1,26:47,6,7,0.857,5,6,0.833,0,0,,0,2,2,5,2,0,3,4,17,16.0,14,Jamaal Tinsley
2004-05-08,26-070,IND,HOME,MIA,W (+11),1,26:57,0,1,0.0,0,1,0.0,1,1,1.0,0,2,2,9,3,0,0,2,1,9.4,13,Jamaal Tinsley
2004-05-10,26-072,IND,AWAY,MIA,L (-7),1,31:40,6,8,0.75,4,5,0.8,0,0,,0,3,3,5,0,0,2,5,16,13.2,3,Jamaal Tinsley
2004-05-12,26-074,IND,AWAY,MIA,L (-12),1,32:00,1,5,0.2,0,3,0.0,2,2,1.0,0,8,8,5,3,0,1,4,4,7.2,-2,Jamaal Tinsley
2004-05-15,26-077,IND,HOME,MIA,W (+11),1,31:06,3,9,0.333,0,3,0.0,1,1,1.0,1,5,6,8,3,0,3,4,7,8.1,8,Jamaal Tinsley
2004-05-18,26-080,IND,AWAY,MIA,W (+3),1,30:48,4,14,0.286,0,5,0.0,2,2,1.0,2,4,6,3,3,0,4,3,10,4.3,2,Jamaal Tinsley
2004-05-22,26-084,IND,HOME,DET,W (+4),1,32:53,5,12,0.417,1,5,0.2,2,2,1.0,0,1,1,5,4,0,3,4,13,9.8,11,Jamaal Tinsley
2004-05-24,26-086,IND,HOME,DET,L (-5),1,18:25,2,7,0.286,0,3,0.0,0,0,,1,2,3,1,1,1,2,6,4,-0.8,-2,Jamaal Tinsley
2004-05-26,26-088,IND,AWAY,DET,L (-7),1,30:27,4,11,0.364,1,4,0.25,3,4,0.75,0,1,1,4,2,0,3,6,12,5.2,-13,Jamaal Tinsley
2004-05-28,26-090,IND,AWAY,DET,W (+15),1,19:42,2,5,0.4,0,0,,0,0,,0,2,2,5,0,0,3,3,4,1.2,14,Jamaal Tinsley
2004-05-30,26-092,IND,HOME,DET,L (-18),1,26:29,3,13,0.231,0,5,0.0,2,2,1.0,0,3,3,5,1,1,1,3,8,4.0,-15,Jamaal Tinsley
2004-06-01,26-094,IND,AWAY,DET,L (-4),1,3:32,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.1,1,Jamaal Tinsley
2012-04-29,34-061,UTA,AWAY,SAS,L (-15),0,20:20,3,8,0.375,1,1,1.0,2,2,1.0,0,1,1,5,1,0,2,2,9,6.6,-3,Jamaal Tinsley
2012-05-02,34-064,UTA,AWAY,SAS,L (-31),0,19:02,1,6,0.167,0,1,0.0,2,2,1.0,0,0,0,3,1,0,3,3,4,-0.9,3,Jamaal Tinsley
2012-05-05,34-067,UTA,HOME,SAS,L (-12),0,12:47,0,2,0.0,0,1,0.0,0,0,,0,1,1,4,0,0,0,1,0,1.3,-1,Jamaal Tinsley
2012-05-07,34-069,UTA,HOME,SAS,L (-6),0,12:31,1,4,0.25,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,-1.8,-21,Jamaal Tinsley
2005-04-23,27-054,IND,AWAY,BOS,L (-20),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jamaal Tinsley
2005-04-25,27-056,IND,AWAY,BOS,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jamaal Tinsley
2005-04-28,27-059,IND,HOME,BOS,W (+23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jamaal Tinsley
2005-04-30,27-061,IND,HOME,BOS,L (-31),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jamaal Tinsley
2005-05-03,27-064,IND,AWAY,BOS,W (+5),1,27:57,3,9,.333,0,2,.000,0,0,,0,1,1,7,5,0,4,5,6,5.1,+3,Jamaal Tinsley
