DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2009-04-18,27-272,DAL,AWAY,SAS,W (+8),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,James Singleton
2009-04-20,27-274,DAL,AWAY,SAS,L (-21),0,4:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,+1,James Singleton
2009-04-23,27-277,DAL,HOME,SAS,W (+21),0,11:53,2,3,.667,1,2,.500,0,2,.000,1,2,3,0,0,0,0,1,5,3.8,-18,James Singleton
2009-04-25,27-279,DAL,HOME,SAS,W (+9),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,James Singleton
2009-05-03,27-287,DAL,AWAY,DEN,L (-14),0,3:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,+2,James Singleton
2009-05-05,27-289,DAL,AWAY,DEN,L (-12),0,13:41,2,5,.400,1,2,.500,0,0,,0,2,2,0,0,0,1,2,5,1.1,-9,James Singleton
2009-05-09,27-293,DAL,HOME,DEN,L (-1),0,4:28,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,3,0,0.2,-1,James Singleton
2009-05-11,27-295,DAL,HOME,DEN,W (+2),0,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,James Singleton
2009-05-13,27-297,DAL,AWAY,DEN,L (-14),0,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,James Singleton
2006-04-24,24-278,LAC,HOME,DEN,W (+11),0,4:32,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,3,0,-1.6,-7,James Singleton
2006-04-27,24-281,LAC,AWAY,DEN,L (-7),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,,James Singleton
2006-04-29,24-283,LAC,AWAY,DEN,W (+14),0,0:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,James Singleton
2006-05-01,24-285,LAC,HOME,DEN,W (+18),0,0:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+3,James Singleton
2006-05-10,24-294,LAC,AWAY,PHO,W (+25),0,2:32,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1,James Singleton
2006-05-14,24-298,LAC,HOME,PHO,W (+7),0,3:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,James Singleton
2006-05-16,24-300,LAC,AWAY,PHO,L (-7),0,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,James Singleton
