DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-04-13,32-042,GSW,HOME,LAC,W (+17),0,1:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Jonas Jerebko
2019-04-15,32-044,GSW,HOME,LAC,L (-4),0,3:56,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-0.4,+2,Jonas Jerebko
2019-04-18,32-047,GSW,AWAY,LAC,W (+27),0,7:35,0,1,.000,0,0,,0,0,,0,2,2,2,0,1,0,0,0,2.0,-5,Jonas Jerebko
2019-04-26,32-055,GSW,AWAY,LAC,W (+19),0,2:25,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,0.6,0,Jonas Jerebko
2019-04-30,32-059,GSW,HOME,HOU,W (+6),0,9:44,2,4,.500,0,0,,0,0,,2,3,5,0,0,0,0,0,4,4.3,+2,Jonas Jerebko
2019-05-04,32-063,GSW,AWAY,HOU,L (-5),0,4:10,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-12,Jonas Jerebko
2019-05-08,32-067,GSW,HOME,HOU,W (+5),0,5:06,1,3,.333,1,3,.333,0,0,,1,0,1,0,0,0,0,0,3,2.0,+1,Jonas Jerebko
2019-05-10,32-069,GSW,AWAY,HOU,W (+5),0,12:00,1,3,.333,0,2,.000,0,0,,1,0,1,2,0,0,1,2,2,0.6,+4,Jonas Jerebko
2019-05-14,32-073,GSW,HOME,POR,W (+22),0,14:52,3,5,.600,1,1,1.000,2,2,1.000,1,4,5,2,0,0,0,1,9,9.6,+12,Jonas Jerebko
2019-05-16,32-075,GSW,HOME,POR,W (+3),0,14:48,0,3,.000,0,1,.000,0,0,,3,4,7,2,0,1,0,1,0,2.9,-2,Jonas Jerebko
2019-05-18,32-077,GSW,AWAY,POR,W (+11),0,8:57,1,2,.500,0,0,,0,0,,0,3,3,1,0,0,0,1,2,2.2,-5,Jonas Jerebko
2019-05-20,32-079,GSW,AWAY,POR,W (+2),0,9:52,0,4,.000,0,2,.000,0,0,,2,0,2,1,1,0,1,0,0,-0.7,-1,Jonas Jerebko
2019-05-30,32-089,GSW,AWAY,TOR,L (-9),0,7:35,2,4,.500,2,3,.667,0,0,,1,0,1,0,0,0,0,0,6,4.7,-1,Jonas Jerebko
2019-06-02,32-092,GSW,AWAY,TOR,W (+5),0,6:04,1,4,.250,0,2,.000,0,0,,1,1,2,0,0,0,0,1,2,0.2,-9,Jonas Jerebko
2019-06-05,32-095,GSW,HOME,TOR,L (-14),0,9:51,1,6,.167,1,3,.333,3,4,.750,2,0,2,1,0,0,0,1,6,3.5,0,Jonas Jerebko
2019-06-13,32-103,GSW,HOME,TOR,L (-4),0,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Jonas Jerebko
2018-04-15,31-044,UTA,AWAY,OKC,L (-8),0,3:54,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-7,Jonas Jerebko
