DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2022-04-17,36-023,MIA,HOME,ATL,W (+24),1,28:42,4,8,.500,2,4,.500,0,0,,0,4,4,9,2,0,0,1,10,15.1,+21,Kyle Lowry
2022-04-19,36-025,MIA,HOME,ATL,W (+10),1,37:06,2,8,.250,1,6,.167,4,5,.800,0,3,3,2,0,3,3,1,9,4.8,+12,Kyle Lowry
2022-04-22,36-028,MIA,AWAY,ATL,L (-1),1,22:51,2,7,.286,2,6,.333,0,0,,0,4,4,5,0,0,0,3,6,5.4,+18,Kyle Lowry
2022-05-06,36-042,MIA,AWAY,PHI,L (-20),1,25:21,0,4,.000,0,2,.000,0,0,,2,2,4,3,1,0,1,4,0,-0.3,-10,Kyle Lowry
2022-05-08,36-044,MIA,AWAY,PHI,L (-8),1,30:16,3,10,.300,0,6,.000,0,0,,0,3,3,7,2,0,4,2,6,3.2,-1,Kyle Lowry
2022-05-21,36-057,MIA,AWAY,BOS,W (+6),1,29:00,4,11,.364,2,7,.286,1,1,1.000,0,1,1,6,4,0,2,2,11,10.6,+10,Kyle Lowry
2022-05-23,36-059,MIA,AWAY,BOS,L (-20),1,21:25,1,6,.167,1,3,.333,0,0,,0,5,5,2,0,2,2,2,3,0.7,-27,Kyle Lowry
2022-05-25,36-061,MIA,HOME,BOS,L (-13),1,24:40,0,6,.000,0,5,.000,0,0,,0,1,1,0,0,0,3,5,0,-8.9,-7,Kyle Lowry
2022-05-27,36-063,MIA,AWAY,BOS,W (+8),1,36:51,5,14,.357,4,9,.444,4,4,1.000,0,4,4,10,1,1,2,6,18,15.7,+2,Kyle Lowry
2022-05-29,36-065,MIA,HOME,BOS,L (-4),1,38:42,4,12,.333,1,6,.167,6,9,.667,1,6,7,3,2,1,2,3,15,11.1,-2,Kyle Lowry
2017-04-15,31-021,TOR,HOME,MIL,L (-14),1,33:52,2,11,.182,0,6,.000,0,1,.000,1,1,2,6,2,0,1,4,4,1.3,-22,Kyle Lowry
2017-04-18,31-024,TOR,HOME,MIL,W (+6),1,39:17,6,12,.500,2,5,.400,8,9,.889,0,4,4,5,3,1,4,3,22,18.8,+7,Kyle Lowry
2017-04-20,31-026,TOR,AWAY,MIL,L (-27),1,34:38,4,10,.400,2,5,.400,3,4,.750,0,5,5,2,0,1,3,5,13,5.8,-18,Kyle Lowry
