DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2013-04-21,26-224,MIL,AWAY,MIA,L (-23),1,29:11,2,4,0.5,0,2,0.0,2,2,1.0,1,2,3,0,1,0,2,4,6,2.7,-15,Luc Mbah a Moute
2013-04-23,26-226,MIL,AWAY,MIA,L (-12),1,32:34,3,7,0.429,0,0,,0,2,0.0,0,1,1,2,2,0,0,2,6,4.4,-6,Luc Mbah a Moute
2013-04-25,26-228,MIL,HOME,MIA,L (-13),1,33:24,3,5,0.6,0,1,0.0,6,8,0.75,1,5,6,2,0,0,1,1,12,11.1,-17,Luc Mbah a Moute
2013-04-28,26-231,MIL,HOME,MIA,L (-11),1,40:23,2,7,0.286,0,1,0.0,5,6,0.833,2,2,4,3,1,0,2,2,9,6.8,-14,Luc Mbah a Moute
2017-04-15,30-218,LAC,HOME,UTA,L (-2),1,35:36,2,6,0.333,2,4,0.5,1,2,0.5,2,2,4,0,0,0,0,2,7,4.4,-3,Luc Mbah a Moute
2017-04-18,30-221,LAC,HOME,UTA,W (+8),1,37:47,2,5,0.4,0,2,0.0,0,0,,3,5,8,2,0,1,1,3,4,4.8,15,Luc Mbah a Moute
2017-04-21,30-224,LAC,AWAY,UTA,W (+5),1,36:32,6,9,0.667,1,2,0.5,2,4,0.5,3,3,6,1,1,1,0,3,15,14.5,2,Luc Mbah a Moute
2017-04-23,30-226,LAC,AWAY,UTA,L (-7),1,33:42,1,8,0.125,0,3,0.0,3,4,0.75,0,5,5,1,3,0,1,0,5,3.6,-11,Luc Mbah a Moute
2017-04-25,30-228,LAC,HOME,UTA,L (-4),1,36:52,1,5,0.2,1,3,0.333,4,4,1.0,0,4,4,2,3,0,1,1,7,8.1,-10,Luc Mbah a Moute
2017-04-28,30-231,LAC,AWAY,UTA,W (+5),1,28:44,5,8,0.625,1,1,1.0,2,4,0.5,1,5,6,1,1,0,0,4,13,10.9,-9,Luc Mbah a Moute
2017-04-30,30-233,LAC,HOME,UTA,L (-13),1,14:34,0,2,0.0,0,1,0.0,2,2,1.0,1,1,2,0,0,2,0,3,2,1.8,-9,Luc Mbah a Moute
2018-04-29,31-232,HOU,HOME,UTA,W (+14),0,20:39,1,5,.200,1,2,.500,0,0,,0,3,3,0,1,1,0,4,3,0.9,-1,Luc Mbah a Moute
2018-05-02,31-235,HOU,HOME,UTA,L (-8),0,16:01,1,4,.250,0,2,.000,2,3,.667,0,4,4,1,0,1,1,0,4,2.8,-10,Luc Mbah a Moute
2018-05-04,31-237,HOU,AWAY,UTA,W (+21),0,21:46,1,4,.250,0,2,.000,0,0,,0,4,4,0,0,1,0,2,2,0.7,-11,Luc Mbah a Moute
2018-05-06,31-239,HOU,AWAY,UTA,W (+13),0,16:09,1,3,.333,0,2,.000,1,1,1.000,0,2,2,0,2,1,1,0,3,3.6,+3,Luc Mbah a Moute
2018-05-08,31-241,HOU,HOME,UTA,W (+10),0,20:26,3,5,.600,1,2,.500,1,1,1.000,0,2,2,2,1,0,2,1,8,6.3,+3,Luc Mbah a Moute
2018-05-14,31-247,HOU,HOME,GSW,L (-13),0,17:28,0,6,.000,0,2,.000,0,0,,1,3,4,0,0,0,1,0,0,-3.6,-14,Luc Mbah a Moute
2018-05-16,31-249,HOU,HOME,GSW,W (+22),0,6:53,1,5,.200,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-0.4,-7,Luc Mbah a Moute
2018-05-20,31-253,HOU,AWAY,GSW,L (-41),0,15:19,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,3,1.3,-28,Luc Mbah a Moute
2018-05-26,31-259,HOU,AWAY,GSW,L (-29),0,14:33,0,2,.000,0,1,.000,0,2,.000,1,0,1,0,2,0,0,1,0,0.1,-1,Luc Mbah a Moute
2016-04-17,29-221,LAC,HOME,POR,W (+20),1,18:41,0,0,,0,0,,0,0,,0,5,5,1,0,0,0,3,0,1.0,+10,Luc Mbah a Moute
2016-04-20,29-224,LAC,HOME,POR,W (+21),1,20:06,1,1,1.000,0,0,,0,0,,0,2,2,0,3,0,1,2,2,3.5,0,Luc Mbah a Moute
2016-04-23,29-227,LAC,AWAY,POR,L (-8),1,15:10,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,4,2.9,-8,Luc Mbah a Moute
2016-04-25,29-229,LAC,AWAY,POR,L (-14),1,10:33,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9,Luc Mbah a Moute
2016-04-29,29-233,LAC,AWAY,POR,L (-3),1,13:54,1,2,.500,0,0,,1,1,1.000,2,0,2,0,0,0,1,2,3,1.6,-12,Luc Mbah a Moute
2010-04-17,23-220,MIL,AWAY,ATL,L (-10),1,31:19,4,5,0.8,0,0,,0,1,0.0,2,4,6,0,1,0,0,4,8,7.7,-12,Luc Mbah a Moute
2010-04-20,23-223,MIL,AWAY,ATL,L (-10),1,18:35,4,8,0.5,0,1,0.0,0,2,0.0,3,1,4,0,0,0,1,2,8,3.8,-14,Luc Mbah a Moute
2010-04-24,23-227,MIL,HOME,ATL,W (+18),1,29:41,5,7,0.714,0,0,,2,2,1.0,1,4,5,2,0,0,1,1,12,11.0,27,Luc Mbah a Moute
2010-04-26,23-229,MIL,HOME,ATL,W (+7),1,27:40,3,9,0.333,0,0,,4,6,0.667,2,3,5,1,0,0,2,2,10,4.3,-1,Luc Mbah a Moute
2010-04-28,23-231,MIL,AWAY,ATL,W (+4),1,28:59,4,8,0.5,0,1,0.0,1,3,0.333,1,4,5,0,0,0,0,3,9,4.9,-1,Luc Mbah a Moute
2010-04-30,23-233,MIL,HOME,ATL,L (-14),1,19:44,1,4,0.25,0,0,,2,2,1.0,2,6,8,2,0,0,2,1,4,3.8,-11,Luc Mbah a Moute
2010-05-02,23-235,MIL,AWAY,ATL,L (-21),1,22:26,5,9,0.556,0,0,,3,4,0.75,3,3,6,0,1,0,1,2,13,10.5,-2,Luc Mbah a Moute
